rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,62,"Koch,Nick",TCNJ,New Jersey Athletic Conference (NJAC),njac,27,34.55555555555556,22.48,4.37,4.78,1.37,0.07,2.925925925925926,6.859278516463371,94
2,75,"Downs,Cameron",Rutgers-Camden,New Jersey Athletic Conference (NJAC),njac,21,32.714285714285715,20.33,6.1,1.19,2.0,1.14,2.619047619047619,6.506166202942718,94
3,90,Jacob Morales,Montclair State,New Jersey Athletic Conference (NJAC),njac,27,28.59259259259259,19.04,6.0,3.19,1.52,0.37,2.259259259259259,6.201086770101767,94
4,92,"Solomon,Matthew",TCNJ,New Jersey Athletic Conference (NJAC),njac,27,33.851851851851855,14.41,11.56,3.04,1.0,0.41,1.8148148148148149,6.153334853646867,94
5,141,"Dextraze,Daniel",Kean,New Jersey Athletic Conference (NJAC),njac,26,33.84615384615385,14.54,7.77,2.04,1.46,1.23,1.9230769230769231,5.583918548836539,93
6,231,"Rogers-Robinson,Bakhi",NJCU,New Jersey Athletic Conference (NJAC),njac,26,33.73076923076923,20.62,4.12,2.04,2.35,0.08,3.230769230769231,4.7771999166158325,92
7,280,"Cantey,Taz",Rowan,New Jersey Athletic Conference (NJAC),njac,27,32.48148148148148,17.63,5.56,3.37,1.93,0.15,3.3333333333333335,4.475492075288612,91
8,307,"Brown Jr.,Phil",Kean,New Jersey Athletic Conference (NJAC),njac,14,34.42857142857143,12.43,8.0,1.86,0.79,1.64,2.142857142857143,4.263039552952566,91
9,369,Kabrien Goss,Montclair State,New Jersey Athletic Conference (NJAC),njac,27,27.22222222222222,14.67,2.93,5.78,1.59,0.04,3.0,3.8039547779861342,90
10,443,"Jeffers-Viera,Malachi",Kean,New Jersey Athletic Conference (NJAC),njac,26,34.11538461538461,15.38,4.96,2.46,1.62,0.85,3.1923076923076925,3.4511562259762605,89
11,485,Cristian Nicholson,Montclair State,New Jersey Athletic Conference (NJAC),njac,27,29.555555555555557,11.44,2.89,4.7,1.81,0.22,2.074074074074074,3.191303487620433,89
12,529,"Williams,Brycen",Rowan,New Jersey Athletic Conference (NJAC),njac,27,33.7037037037037,16.78,1.56,1.26,1.41,0.22,1.4074074074074074,3.0136796914767796,88
13,570,"Brown,Ayden",Rutgers-Newark,New Jersey Athletic Conference (NJAC),njac,25,33.48,13.8,4.84,2.0,1.56,0.52,2.4,2.835136602844921,88
14,593,"Harper,Justin",Stockton,New Jersey Athletic Conference (NJAC),njac,27,27.185185185185187,15.63,5.26,2.44,0.74,0.33,2.592592592592593,2.7740897385091525,87
15,595,"Crawford,Donovan",NJCU,New Jersey Athletic Conference (NJAC),njac,26,27.23076923076923,10.0,8.38,1.73,1.08,0.5,1.5384615384615383,2.7721986402004695,87
16,691,"Gobel,Jack",William Paterson,New Jersey Athletic Conference (NJAC),njac,24,31.708333333333332,14.08,2.5,1.42,1.46,0.33,1.5,2.399367007245669,86
17,747,"Murray,Raheem",Rutgers-Newark,New Jersey Athletic Conference (NJAC),njac,23,30.956521739130434,15.04,4.52,2.22,1.13,0.09,2.608695652173913,2.170909835625205,85
18,806,"Alexandre,David",TCNJ,New Jersey Athletic Conference (NJAC),njac,23,29.73913043478261,10.48,3.87,2.91,1.57,0.13,1.6956521739130437,1.9955585095116295,84
19,849,Myles Primas,Montclair State,New Jersey Athletic Conference (NJAC),njac,27,22.03703703703704,9.11,4.07,1.04,1.41,0.85,0.925925925925926,1.869106195668639,84
20,856,"Orock Jr.,Fred",William Paterson,New Jersey Athletic Conference (NJAC),njac,14,20.142857142857142,9.79,5.36,0.79,0.86,1.0,1.1428571428571428,1.848387869188855,84
21,901,"Baker,Khalil",Rowan,New Jersey Athletic Conference (NJAC),njac,27,22.77777777777778,12.33,7.37,1.26,0.56,0.41,2.2222222222222223,1.6722931682750903,83
22,947,"Crawford,Andrew",Stockton,New Jersey Athletic Conference (NJAC),njac,27,27.11111111111111,7.89,4.59,3.41,1.78,0.04,1.7407407407407407,1.533010047736937,83
23,967,"Murchison,Tyrell",Ramapo,New Jersey Athletic Conference (NJAC),njac,25,35.2,8.32,5.4,2.32,2.36,0.48,2.6,1.4469227295940537,82
24,1011,"Barlow,Elijah",Ramapo,New Jersey Athletic Conference (NJAC),njac,23,33.73913043478261,13.22,3.3,1.83,1.04,0.09,2.0,1.2989508855168737,82
25,1039,"Hutchinson,Enoch",Ramapo,New Jersey Athletic Conference (NJAC),njac,10,31.3,8.6,4.1,2.5,1.9,0.3,2.0,1.2090633714220789,81
26,1051,"Paul,Ethan",William Paterson,New Jersey Athletic Conference (NJAC),njac,25,22.4,9.52,5.08,1.48,0.8,0.76,1.64,1.1654570986157675,81
27,1121,"Mickens,Orion",Ramapo,New Jersey Athletic Conference (NJAC),njac,21,24.238095238095237,8.0,8.33,0.48,0.38,0.67,1.1904761904761905,0.9760527174552917,80
28,1151,"Okocha,Jonathan",TCNJ,New Jersey Athletic Conference (NJAC),njac,27,29.40740740740741,10.52,3.56,1.11,1.0,0.04,0.8888888888888888,0.9122655796254532,80
29,1183,"Campbell,Eriq",Stockton,New Jersey Athletic Conference (NJAC),njac,27,26.59259259259259,10.48,5.78,1.7,0.96,0.3,2.259259259259259,0.832353036774762,79
30,1185,"Irby,Kareem",Kean,New Jersey Athletic Conference (NJAC),njac,26,29.423076923076923,13.85,2.27,1.27,1.12,0.0,1.9615384615384617,0.8271189581929199,79
31,1203,"Bell IV,Charlie",Stockton,New Jersey Athletic Conference (NJAC),njac,27,25.185185185185187,10.41,4.85,0.63,0.74,0.3,1.148148148148148,0.7858579335314032,79
32,1218,Eric Benjamin,Rutgers-Camden,New Jersey Athletic Conference (NJAC),njac,18,30.5,12.56,3.0,1.39,1.11,0.0,1.8333333333333333,0.7562711457390416,79
33,1264,"Crump,Braelen",Kean,New Jersey Athletic Conference (NJAC),njac,24,34.333333333333336,8.88,2.04,3.21,1.46,0.08,1.75,0.6299971209488651,78
34,1336,Ahmad Robertson,Montclair State,New Jersey Athletic Conference (NJAC),njac,27,18.14814814814815,8.59,3.67,1.59,1.15,0.41,1.4444444444444444,0.4586264330773447,77
35,1349,"Mckee,Logan",Stockton,New Jersey Athletic Conference (NJAC),njac,24,19.541666666666668,7.79,5.46,1.29,0.79,0.67,1.5416666666666667,0.4228151598655694,77
36,1351,"Brown,Eli'sha",Rutgers-Newark,New Jersey Athletic Conference (NJAC),njac,21,25.285714285714285,4.9,5.29,2.19,0.62,1.43,1.6666666666666667,0.4199483102655841,77
37,1368,"Senft,Ryan",Rutgers-Camden,New Jersey Athletic Conference (NJAC),njac,23,27.782608695652176,8.13,5.39,3.13,1.22,0.04,2.4347826086956523,0.3854733454780077,77
38,1442,"Gaither,Tayvon",Stockton,New Jersey Athletic Conference (NJAC),njac,27,22.0,11.96,4.41,1.56,0.37,0.11,2.111111111111111,0.2080934224269157,76
39,1529,"Orange,Khamai",Rowan,New Jersey Athletic Conference (NJAC),njac,25,23.2,6.44,4.28,1.56,1.88,0.2,1.68,-0.0661871309974159,75
40,1600,"Pirone,Michael",Rowan,New Jersey Athletic Conference (NJAC),njac,27,22.77777777777778,7.48,3.19,1.11,1.26,0.22,1.1111111111111112,-0.267542606731256,74
41,1606,"Merrick,Nahsir",William Paterson,New Jersey Athletic Conference (NJAC),njac,24,25.0,3.75,3.79,1.88,1.54,0.92,1.4166666666666667,-0.2725253178189883,74
42,1609,"Hyde,Delani",William Paterson,New Jersey Athletic Conference (NJAC),njac,24,19.541666666666668,7.79,4.46,0.75,0.67,0.92,1.7083333333333333,-0.2825007348644803,74
43,1745,Christian Cevis,Montclair State,New Jersey Athletic Conference (NJAC),njac,26,18.03846153846154,5.81,2.12,2.0,1.46,0.35,1.3076923076923077,-0.6102578534871252,72
