rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
1,4,"Bigham,Fletcher",Sewanee,Southern Athletic Association (SAA),saa,25,32.4,19.36,11.04,2.36,1.08,2.72,2.12,10.345492856610168,98
2,83,"Dotson,Phil",Rhodes,Southern Athletic Association (SAA),saa,22,28.727272727272727,21.41,3.14,2.41,1.41,0.0,1.181818181818182,6.288623920226377,94
3,160,"Bronson,Will",Trinity,Southern Athletic Association (SAA),saa,27,26.22222222222222,13.22,9.7,1.26,0.44,2.19,1.962962962962963,5.367768282839272,93
4,239,"Huxtable,Jackson",Rhodes,Southern Athletic Association (SAA),saa,27,25.88888888888889,16.59,5.67,1.56,1.37,1.0,2.1481481481481484,4.736860814830781,92
5,282,"Dooley,Malachi",Oglethorpe,Southern Athletic Association (SAA),saa,25,34.8,18.04,5.2,3.12,1.04,0.24,2.56,4.454758923677681,91
6,294,"Jones Jr.,Shawn",Rhodes,Southern Athletic Association (SAA),saa,26,29.03846153846154,11.19,6.19,3.38,1.08,0.96,1.3846153846153846,4.382777413784697,91
7,419,"Toney,Jaxon",Millsaps,Southern Athletic Association (SAA),saa,26,21.923076923076923,12.42,6.85,1.08,0.77,1.62,1.8846153846153848,3.5679473845675855,90
8,434,"Bakken,Jack",Sewanee,Southern Athletic Association (SAA),saa,26,28.26923076923077,10.15,7.85,3.46,1.5,0.31,1.9615384615384617,3.509717568080547,89
9,441,"Avaliani,Nikolas",Sewanee,Southern Athletic Association (SAA),saa,26,31.884615384615383,18.04,4.46,1.77,1.15,0.15,2.3846153846153846,3.4702534356889565,89
10,475,"Shene,Ryan",Centre,Southern Athletic Association (SAA),saa,26,26.03846153846154,9.27,5.96,2.23,1.46,0.88,1.1538461538461535,3.24614052607513,89
11,489,"King,Nile",Berry,Southern Athletic Association (SAA),saa,13,25.923076923076923,13.15,6.92,1.85,1.0,0.38,1.7692307692307692,3.1721270675828315,89
12,492,"Enakpene,Shobby",Southwestern,Southern Athletic Association (SAA),saa,27,27.22222222222222,17.56,3.07,2.41,0.96,0.19,2.2962962962962963,3.165144332846192,89
13,536,"Lewis,Aedan",Southwestern,Southern Athletic Association (SAA),saa,27,26.22222222222222,13.07,5.93,1.19,1.41,0.22,1.3703703703703705,2.992641634158503,88
14,537,"Thomas,Kalib",Centre,Southern Athletic Association (SAA),saa,23,29.73913043478261,14.48,3.61,2.7,0.74,0.17,1.434782608695652,2.9759310264331096,88
15,574,"Fenn,Zach",Trinity,Southern Athletic Association (SAA),saa,27,24.37037037037037,6.59,3.44,2.85,3.56,0.37,1.3703703703703705,2.8204956814992763,88
16,626,"Lombard,Trevor",Rhodes,Southern Athletic Association (SAA),saa,26,28.46153846153846,10.88,4.54,2.54,1.42,0.15,1.1538461538461535,2.643687283187264,87
17,639,"Kemp,Jackson",Oglethorpe,Southern Athletic Association (SAA),saa,25,32.8,12.4,7.48,1.28,0.76,0.48,1.76,2.568931710088141,87
18,687,"Ingram,Drake",Centre,Southern Athletic Association (SAA),saa,26,22.846153846153847,15.42,2.73,1.31,0.46,0.27,1.0384615384615383,2.4204811749689017,86
19,712,"James,Davion",Millsaps,Southern Athletic Association (SAA),saa,26,27.923076923076923,11.81,4.38,2.65,2.27,0.19,2.6153846153846154,2.302883259407289,86
20,844,"Carrier,Reid",Sewanee,Southern Athletic Association (SAA),saa,24,30.375,12.79,3.25,4.96,0.96,0.04,3.0416666666666665,1.889201287114572,84
21,870,"Wahl,Nolan",Centre,Southern Athletic Association (SAA),saa,25,23.72,10.84,7.64,0.84,0.6,0.32,1.32,1.7968988797430414,84
22,885,"Combest Jr.,David",Millsaps,Southern Athletic Association (SAA),saa,25,25.6,7.2,6.04,2.96,1.88,0.16,1.72,1.7327678134943376,83
23,898,"Balo,Dean",Trinity,Southern Athletic Association (SAA),saa,27,28.77777777777778,11.96,4.33,2.93,1.0,0.04,2.074074074074074,1.686010374839491,83
24,908,"Watkins,Carter",Oglethorpe,Southern Athletic Association (SAA),saa,25,29.68,12.44,4.68,1.8,0.68,0.24,1.68,1.6371699421202646,83
25,910,"Pope,Cameron",Berry,Southern Athletic Association (SAA),saa,25,26.64,13.12,4.2,3.12,0.96,0.08,2.64,1.6316276313823266,83
26,992,"Hamilton,Landen",Centre,Southern Athletic Association (SAA),saa,26,25.615384615384617,10.35,2.88,3.77,1.42,0.08,2.230769230769231,1.3475799320561146,82
