conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,composite_score,rank,rating,global_rank
ll,Liberty League (LL),2025-26,baseball,RPI,Oehlschlaeger Ian,,,,45,44,169.0,58.0,74.0,58.0,11.0,3.0,11.0,28.0,4.0,16.0,24.0,9.0,20.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.546,124.0,216.0,21.0,0.952,0.438,0.734,63.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,71.0,0.986,0.0,0.0,8.0,7.0,34.0,32.0,"20,56",0.36,20.0,56.0,"50,109",0.46,50.0,109.0,"30,68",0.44,30.0,68.0,"24,49",0.49,24.0,49.0,0.0,0.0,0.0,0.0,"18,27","16,24","76,122",205,0.0,0.0,0.0,22,0.0,0.0,0.0,11.0,36.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.509413716157777,1,99,25
ll,Liberty League (LL),2025-26,baseball,Skidmore,Sam Kornet,,,,40,40,156.0,40.0,53.0,45.0,11.0,0.0,12.0,29.0,3.0,6.0,32.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.456,100.0,193.0,1.0,1.0,0.34,0.641,288.0,15.0,6.0,0.0,0.0,0.0,0.0,19.0,0.0,309.0,0.981,0.0,0.0,3.0,3.0,14.0,56.0,"13,56",0.23,13.0,56.0,"31,104",0.3,31.0,104.0,"22,70",0.31,22.0,70.0,"10,37",0.27,10.0,37.0,0.0,0.0,0.0,0.0,"15,28","11,21","53,117",226,0.0,0.0,0.0,0,0.0,0.0,0.0,9.0,46.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.289669041547493,2,96,95
ll,Liberty League (LL),2025-26,baseball,RPI,Krishnappa Ayush,,,,41,39,153.0,38.0,65.0,58.0,13.0,2.0,7.0,16.0,0.0,2.0,24.0,5.0,8.0,1.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.472,103.0,179.0,9.0,0.889,0.425,0.673,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,10.0,34.0,32.0,"22,51",0.43,22.0,51.0,"47,103",0.46,47.0,103.0,"32,69",0.46,32.0,69.0,"16,42",0.38,16.0,42.0,0.0,0.0,0.0,0.0,"15,36","14,21","72,114",395,0.0,0.0,0.0,2,0.0,0.0,0.0,18.0,35.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.943028054265486,3,95,104
ll,Liberty League (LL),2025-26,baseball,RPI,Hicks Aidan,,,,45,44,178.0,60.0,53.0,38.0,10.0,5.0,4.0,31.0,0.0,6.0,23.0,5.0,27.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.413,85.0,224.0,31.0,0.871,0.298,0.478,98.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.981,0.0,0.0,12.0,6.0,45.0,54.0,"12,48",0.25,12.0,48.0,"26,84",0.31,26.0,84.0,"20,55",0.36,20.0,55.0,"10,43",0.23,10.0,43.0,0.0,0.0,0.0,0.0,"36,77","15,23","53,102",422,0.0,0.0,0.0,34,0.0,0.0,0.0,14.0,33.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.114508517936992,4,94,148
ll,Liberty League (LL),2025-26,baseball,RIT,Moses Jarin,,,,35,35,141.0,34.0,35.0,43.0,9.0,1.0,10.0,19.0,5.0,7.0,36.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.365,76.0,167.0,5.0,1.0,0.248,0.539,71.0,89.0,8.0,0.0,0.0,0.0,0.0,17.0,0.0,168.0,0.952,0.0,0.0,4.0,5.0,26.0,40.0,"11,44",0.25,11.0,44.0,"25,89",0.28,25.0,89.0,"20,62",0.32,20.0,62.0,"12,38",0.32,12.0,38.0,0.0,0.0,0.0,0.0,"12,40","10,23","41,99",144,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6110700339046895,5,93,231
ll,Liberty League (LL),2025-26,baseball,Union,Caleb Miller,,,,40,39,149.0,38.0,43.0,27.0,6.0,3.0,7.0,20.0,1.0,11.0,31.0,6.0,23.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.407,76.0,182.0,25.0,0.92,0.289,0.51,216.0,32.0,4.0,6.0,0.0,52.0,17.0,2.0,0.0,252.0,0.984,69.0,0.754,5.0,5.0,20.0,51.0,"11,36",0.31,11.0,36.0,"19,70",0.27,19.0,70.0,"12,45",0.27,12.0,45.0,"6,32",0.19,6.0,32.0,0.0,0.0,0.0,0.0,"25,63","6,8","36,78",91,0.0,0.0,0.0,"0,1",0.0,0.0,1.0,9.0,27.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1834847595972295,6,92,250
ll,Liberty League (LL),2025-26,baseball,Ithaca,Collin Feeney,,,,41,41,154.0,50.0,49.0,24.0,6.0,4.0,3.0,28.0,0.0,9.0,28.0,7.0,35.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.448,72.0,194.0,39.0,0.897,0.318,0.468,100.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.935,0.0,0.0,3.0,4.0,35.0,41.0,"16,44",0.36,16.0,44.0,"28,81",0.35,28.0,81.0,"17,51",0.33,17.0,51.0,"8,24",0.33,8.0,24.0,0.0,0.0,0.0,0.0,"15,41","6,14","51,98",213,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,35.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82778742614071,7,92,275
ll,Liberty League (LL),2025-26,baseball,Ithaca,Andrew McDermott,,,,40,39,139.0,46.0,49.0,30.0,11.0,0.0,6.0,37.0,2.0,13.0,27.0,9.0,10.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.521,78.0,192.0,13.0,0.769,0.353,0.561,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,0.0,0.0,2.0,1.0,23.0,41.0,"12,32",0.38,12.0,32.0,"22,62",0.35,22.0,62.0,"10,31",0.32,10.0,31.0,"7,22",0.32,7.0,22.0,0.0,0.0,0.0,0.0,"31,61","7,11","45,82",186,0.0,0.0,0.0,2,0.0,0.0,0.0,8.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.624452643528579,8,91,351
ll,Liberty League (LL),2025-26,baseball,Skidmore,Eddie Galvao,,,,37,33,128.0,30.0,42.0,39.0,5.0,3.0,7.0,17.0,0.0,1.0,29.0,11.0,7.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.403,74.0,150.0,9.0,0.778,0.328,0.578,34.0,58.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,100.0,0.92,0.0,0.0,4.0,2.0,16.0,40.0,"14,46",0.3,14.0,46.0,"26,78",0.33,26.0,78.0,"21,58",0.36,21.0,58.0,"10,27",0.37,10.0,27.0,0.0,0.0,0.0,0.0,"14,27","11,17","40,86",236,0.0,0.0,0.0,48,0.0,0.0,0.0,13.0,34.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.507954525090513,9,90,380
ll,Liberty League (LL),2025-26,baseball,Rochester,Josh Leadem,,,,33,33,125.0,35.0,49.0,24.0,4.0,2.0,3.0,17.0,1.0,10.0,13.0,2.0,28.0,8.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.484,66.0,159.0,36.0,0.778,0.392,0.528,80.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.988,0.0,0.0,2.0,9.0,30.0,38.0,"11,37",0.3,11.0,37.0,"26,67",0.39,26.0,67.0,"20,41",0.49,20.0,41.0,"8,22",0.36,8.0,22.0,0.0,0.0,0.0,0.0,"16,31","10,14","49,86",5,0.0,0.0,0.0,0,0.0,0.0,0.0,18.0,20.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,4.5,17.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.294,6.0,3.0,0.0,"0,1","1,3","1,2",0.0,"0,1",6.1303638215405405,10,90,395
