conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,composite_score,rank,rating,global_rank
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Middlebury,K. McCauslan,,,,41,41,156,39,52,48,13,2,13,30,2,5,25,3,11,2,0,2,0,0,0,4,1,6,0,0.451,108,193,13,0.846,0.333,0.692,90,5,1,0,0,0,0,2,0,96,0.99,0,0.0,4,7,37,41,"14,55",0.25,14,55,"30,90",0.33,30,90,"14,58",0.24,14,58,"5,18",0.28,5,18,0,0,0,0,"9,23","11,16","53,104",224,0.0,0,0,0,0.0,0,0,11,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.229017163358447,1,99,54
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Bowdoin,Kevin Murray,,,,35,35,121,47,36,31,10,2,8,24,0,6,26,6,20,2,1,1,0,0,0,2,0,4,0,0.434,74,153,22,0.909,0.298,0.612,263,18,4,0,0,0,0,20,0,285,0.986,0,0.0,7,5,23,31,"16,47",0.34,16,47,"19,64",0.3,19,64,"10,42",0.24,10,42,"4,12",0.33,4,12,0,0,0,0,"9,24","8,20","40,76",96,0.0,0,0,0,0.0,0,0,4,19,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,1.0,0.0,0.0,"1,1","0,2",0,0.0,"0,1",8.136245938258524,2,96,195
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Tufts,Ben Leonard,,,,37,37,132,36,43,27,11,2,9,33,2,8,22,9,11,1,0,3,0,0,0,2,1,3,0,0.477,85,176,12,0.917,0.326,0.644,56,2,2,0,0,0,0,0,0,60,0.967,0,0.0,4,2,26,40,"10,33",0.3,10,33,"18,57",0.32,18,57,"5,30",0.17,5,30,"5,20",0.25,5,20,0,0,0,0,"20,47","8,13","37,69",94,0.0,0,0,0,0.0,0,0,10,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.726916072967806,3,95,248
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Williams,James O'connor,,,,35,35,130,32,42,41,9,1,8,19,1,2,28,11,6,0,1,8,0,0,0,1,1,4,0,0.396,77,160,6,1.0,0.323,0.592,225,6,2,0,0,1,0,18,0,233,0.991,1,1.0,4,4,28,41,"15,50",0.3,15,50,"24,83",0.29,24,83,"14,51",0.27,14,51,"4,16",0.25,4,16,0,0,0,0,"9,21","15,20","56,103",198,0.0,0,0,10,0.0,0,0,21,31,0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,7.0,1.0,0.0,0.0,2.25,15.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,5.0,0.0,0.0,"0,1","1,7",0,0.0,"0,1",7.479950447443375,4,93,294
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Trinity,Tyler Bernst,,,,33,32,108,50,37,17,14,2,7,31,0,4,19,7,20,2,1,1,0,0,0,0,0,0,0,0.5,76,145,22,0.909,0.343,0.704,56,60,11,0,0,0,0,8,0,127,0.913,0,0.0,3,3,22,30,"3,33",0.09,3,33,"11,43",0.26,11,43,"7,30",0.23,7,30,"6,17",0.35,6,17,0,0,0,0,"25,43","5,6","23,53",14,0.0,0,0,0,0.0,0,0,4,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.137197366340417,5,93,300
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Wesleyan,"Little, Ernie",,,,36,36,147,38,49,33,7,4,2,10,0,13,13,7,31,2,1,1,0,0,0,0,1,1,0,0.421,70,172,33,0.939,0.333,0.476,69,73,5,0,0,0,0,21,0,147,0.966,0,0.0,7,7,39,43,"12,37",0.32,12,37,"24,61",0.39,24,61,"19,44",0.43,19,44,"6,19",0.32,6,19,0,0,0,0,"22,55","11,14","44,73",65,0.0,0,0,0,0.0,0,0,3,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.752770579439597,6,92,316
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Wesleyan,"Diaz, Evan",,,,35,35,129,37,41,28,9,5,6,29,2,4,22,5,12,4,0,2,0,0,0,4,1,8,0,0.451,78,164,16,0.75,0.318,0.605,18,58,19,0,0,0,0,3,0,95,0.8,0,0.0,2,2,25,41,"12,45",0.27,12,45,"23,70",0.33,23,70,"14,47",0.3,14,47,"3,15",0.2,3,15,0,0,0,0,"9,25","8,21","40,82",10,0.0,0,0,0,0.0,0,0,7,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.451696240175649,7,91,435
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Middlebury,N. Samii,,,,32,32,119,37,51,36,19,1,5,18,1,9,20,6,4,2,0,3,0,0,0,1,0,2,0,0.523,87,149,6,0.667,0.429,0.731,23,65,8,0,0,0,0,6,0,96,0.917,0,0.0,6,6,18,31,"13,36",0.36,13,36,"27,57",0.47,27,57,"17,36",0.47,17,36,"12,15",0.8,12,15,0,0,0,0,"20,36","10,14","49,69",93,0.0,0,0,0,0.0,0,0,7,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42169899450945,8,91,466
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Williams,Ryan Nakajima,,,,37,37,149,35,59,42,11,4,2,14,0,0,19,4,13,2,1,3,0,0,0,3,1,3,0,0.44,84,167,15,0.867,0.396,0.564,110,3,2,0,0,0,0,1,0,115,0.983,0,0.0,4,6,40,31,"18,48",0.38,18,48,"32,81",0.4,32,81,"25,57",0.44,25,57,"10,21",0.48,10,21,0,0,0,0,"13,34","16,19","51,87",810,0.0,0,0,0,0.0,0,0,20,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.300827805467898,9,90,451
nescac,New England Small College Athletic Conference (NESCAC),2025-26,baseball,Trinity,Dylan Schnit,,,,37,37,122,35,45,36,8,2,4,33,0,1,18,7,8,5,0,4,0,0,0,1,1,2,0,0.494,69,160,13,0.615,0.369,0.566,183,12,5,0,0,0,0,5,0,200,0.975,0,0.0,5,3,41,19,"11,27",0.41,11,27,"27,69",0.39,27,69,"20,53",0.38,20,53,"10,19",0.53,10,19,0,0,0,0,"16,29","12,24","56,78",20,0.0,0,0,0,0.0,0,0,28,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.94928940058828,10,89,545
