conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,composite_score,rank,rating,global_rank
nwc,Northwest Conference (NWC),2025-26,baseball,Whitworth,Gray Caleb,,,,45,45,178.0,48.0,70.0,54.0,14.0,0.0,14.0,21.0,3.0,6.0,42.0,12.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.471,126.0,207.0,9.0,0.778,0.393,0.708,100.0,49.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,152.0,0.98,0.0,0.0,4.0,5.0,33.0,30.0,"26,61",0.43,26.0,61.0,"35,105",0.33,35.0,105.0,"22,64",0.34,22.0,64.0,"6,16",0.38,6.0,16.0,0.0,0.0,0.0,0.0,"23,35","13,26","54,112",279,0.0,0.0,0.0,0,0.0,0.0,0.0,15.0,38.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.387500073514387,1,99,34
nwc,Northwest Conference (NWC),2025-26,baseball,Whitman,"Otte,Halen",,,,39,39,142.0,38.0,45.0,56.0,8.0,0.0,17.0,23.0,3.0,7.0,19.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.429,104.0,175.0,1.0,1.0,0.317,0.732,187.0,17.0,6.0,7.0,0.0,16.0,5.0,13.0,0.0,210.0,0.971,21.0,0.762,3.0,4.0,38.0,38.0,"17,44",0.39,17.0,44.0,"28,79",0.35,28.0,79.0,"20,55",0.36,20.0,55.0,"7,20",0.35,7.0,20.0,0.0,0.0,0.0,0.0,"15,39","16,17","53,91",110,0.0,0.0,0.0,0,0.0,0.0,0.0,20.0,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.088287899087778,2,96,33
nwc,Northwest Conference (NWC),2025-26,baseball,Lewis & Clark,W. Heron,,,,38,38,141.0,39.0,52.0,41.0,6.0,0.0,14.0,20.0,0.0,3.0,30.0,9.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.449,100.0,169.0,3.0,0.667,0.369,0.709,294.0,11.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,306.0,0.997,0.0,0.0,1.0,6.0,23.0,40.0,"16,44",0.36,16.0,44.0,"28,71",0.39,28.0,71.0,"16,49",0.33,16.0,49.0,"3,6",0.5,3.0,6.0,0.0,0.0,0.0,0.0,"17,40","10,13","48,83",58,0.0,0.0,0.0,0,0.0,0.0,0.0,16.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.451940761595763,3,94,74
nwc,Northwest Conference (NWC),2025-26,baseball,Whitworth,Coffield Carson,,,,44,44,167.0,34.0,46.0,54.0,9.0,1.0,10.0,13.0,0.0,15.0,22.0,2.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.366,87.0,202.0,4.0,0.75,0.275,0.521,313.0,10.0,5.0,0.0,0.0,0.0,0.0,31.0,0.0,328.0,0.985,0.0,0.0,3.0,9.0,34.0,68.0,"17,53",0.32,17.0,53.0,"35,104",0.34,35.0,104.0,"24,59",0.41,24.0,59.0,"5,12",0.42,5.0,12.0,0.0,0.0,0.0,0.0,"14,39","14,19","61,123",96,0.0,0.0,0.0,0,0.0,0.0,0.0,20.0,33.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7538140558109045,4,93,127
nwc,Northwest Conference (NWC),2025-26,baseball,Whitworth,Memarian Kyle,,,,41,41,170.0,39.0,71.0,31.0,13.0,4.0,5.0,15.0,0.0,2.0,10.0,3.0,12.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.468,107.0,189.0,21.0,0.571,0.418,0.629,90.0,16.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,109.0,0.972,0.0,0.0,11.0,7.0,43.0,36.0,"26,59",0.44,26.0,59.0,"41,89",0.46,41.0,89.0,"25,56",0.45,25.0,56.0,"7,15",0.47,7.0,15.0,0.0,0.0,0.0,0.0,"16,40","5,9","60,97",107,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,35.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.966918646078069,5,93,239
nwc,Northwest Conference (NWC),2025-26,baseball,Linfield,Porter Luke,,,,36,30,116.0,26.0,33.0,41.0,6.0,2.0,12.0,15.0,0.0,10.0,34.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.411,79.0,141.0,1.0,0.0,0.284,0.681,19.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,22.0,0.909,0.0,0.0,2.0,1.0,23.0,24.0,"12,38",0.32,12.0,38.0,"19,62",0.31,19.0,62.0,"15,41",0.37,15.0,41.0,"2,8",0.25,2.0,8.0,0.0,0.0,0.0,0.0,"12,29","6,12","33,71",106,0.0,0.0,0.0,44,0.0,0.0,0.0,4.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.384208488374327,6,92,229
nwc,Northwest Conference (NWC),2025-26,baseball,Lewis & Clark,B. Davis,,,,38,38,133.0,40.0,38.0,34.0,8.0,1.0,9.0,23.0,0.0,4.0,24.0,4.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.401,75.0,163.0,4.0,0.75,0.286,0.564,92.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.979,0.0,0.0,5.0,2.0,29.0,41.0,"11,39",0.28,11.0,39.0,"25,65",0.38,25.0,65.0,"14,46",0.3,14.0,46.0,"4,8",0.5,4.0,8.0,0.0,0.0,0.0,0.0,"17,36","9,13","42,73",76,0.0,0.0,0.0,0,0.0,0.0,0.0,8.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.179699612708853,7,91,295
nwc,Northwest Conference (NWC),2025-26,baseball,Willamette,Nate Hamburger,,,,36,36,128.0,39.0,50.0,20.0,9.0,2.0,4.0,28.0,0.0,2.0,18.0,9.0,24.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.5,75.0,160.0,28.0,0.857,0.391,0.586,89.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,1.0,0.0,0.0,3.0,3.0,21.0,37.0,"15,40",0.38,15.0,40.0,"24,51",0.47,24.0,51.0,"12,26",0.46,12.0,26.0,"5,13",0.38,5.0,13.0,0.0,0.0,0.0,0.0,"22,43","4,9","40,63",47,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.103041703951397,8,90,410
nwc,Northwest Conference (NWC),2025-26,baseball,Willamette,Tassos Foster,,,,37,37,141.0,43.0,43.0,30.0,9.0,3.0,6.0,31.0,0.0,9.0,22.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0,0.456,76.0,182.0,9.0,1.0,0.305,0.539,42.0,65.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,115.0,0.93,0.0,0.0,3.0,2.0,34.0,37.0,"10,38",0.26,10.0,38.0,"23,69",0.33,23.0,69.0,"14,42",0.33,14.0,42.0,"4,12",0.33,4.0,12.0,0.0,0.0,0.0,0.0,"18,48","6,13","44,84",10,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,36.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.843331334792686,9,90,409
nwc,Northwest Conference (NWC),2025-26,baseball,Lewis & Clark,M. Aikawa,,,,38,38,145.0,35.0,54.0,37.0,14.0,1.0,4.0,25.0,0.0,6.0,20.0,9.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.483,82.0,177.0,10.0,0.9,0.372,0.566,35.0,55.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,97.0,0.928,0.0,0.0,5.0,5.0,30.0,36.0,"20,55",0.36,20.0,55.0,"31,70",0.44,31.0,70.0,"22,48",0.46,22.0,48.0,"4,8",0.5,4.0,8.0,0.0,0.0,0.0,0.0,"16,38","9,13","54,85",100,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.762751576680491,10,89,449
