conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
ccc,The Commonwealth Coast Conference (CCC),2025-26,mbball,Endicott College,"Kinney,Elijah",0,F,23,23,22,186,318,18,46,147,120,510,62,22,29,670,89,180,269,46,1,38,0,0,0.58,0.39,0.82,22.17,11.7,1.26,0.96,2.7,1.6521739130434783,13.4787140487438,1,99,545
ccc,The Commonwealth Coast Conference (CCC),2025-26,mbball,Endicott College,"Montagnino,Marcus",0,F,34,26,25,216,374,22,62,160,130,584,5,44,113,862,48,161,209,37,1,60,0,0,0.58,0.35,0.81,22.46,8.04,4.35,1.69,0.19,2.3076923076923075,12.582815078297072,2,95,546
ccc,The Commonwealth Coast Conference (CCC),2025-26,mbball,University of New England,"Jackson,Jaelen",0,G,4,9,13,81,136,13,43,40,31,206,8,17,2,289,19,57,76,22,0,12,0,0,0.6,0.3,0.78,22.89,8.44,0.22,1.89,0.89,1.3333333333333333,10.759503400623084,3,93,593
ccc,The Commonwealth Coast Conference (CCC),2025-26,mbball,Nichols College,"Flowers-Smith,Javen",0,G,0,26,20,188,423,34,111,165,119,529,11,53,130,830,23,59,82,60,2,88,3,0,0.44,0.31,0.72,20.35,3.15,5.0,2.04,0.42,3.3846153846153846,9.729873919187222,4,92,551
ccc,The Commonwealth Coast Conference (CCC),2025-26,mbball,Western New England University,"Vlajkovic,Luka",0,F,2,24,24,135,306,18,70,134,80,368,15,30,83,767,79,165,244,58,2,64,1,0,0.44,0.26,0.6,15.33,10.17,3.46,1.25,0.63,2.6666666666666665,8.604441803608026,5,91,671
ccc,The Commonwealth Coast Conference (CCC),2025-26,mbball,Gordon College,"Brooks,Ryan",0,F,24,18,18,107,172,1,1,57,36,251,15,13,65,561,22,118,140,30,0,24,0,0,0.62,1.0,0.63,13.94,7.78,3.61,0.72,0.83,1.3333333333333333,8.517152136201855,6,90,665
ccc,The Commonwealth Coast Conference (CCC),2025-26,mbball,University of New England,"Torres,Adrian",0,G,3,26,26,147,315,16,64,96,52,362,7,80,101,858,13,97,110,70,0,55,2,0,0.47,0.25,0.54,13.92,4.23,3.88,3.08,0.27,2.1153846153846154,7.907729057619868,7,89,592
ccc,The Commonwealth Coast Conference (CCC),2025-26,mbball,Roger Williams University,"Miller,Finn",0,G,11,25,25,142,299,12,36,140,86,382,5,31,88,719,55,136,191,44,0,67,0,0,0.47,0.33,0.61,15.28,7.64,3.52,1.24,0.2,2.68,7.625455843221278,8,88,576
ccc,The Commonwealth Coast Conference (CCC),2025-26,mbball,University of New England,"Lux,Adam",0,F,20,26,25,142,317,52,130,96,84,420,4,23,37,829,40,120,160,53,0,41,0,0,0.45,0.4,0.88,16.15,6.15,1.42,0.88,0.15,1.5769230769230769,6.913929078234229,9,87,601
ccc,The Commonwealth Coast Conference (CCC),2025-26,mbball,Suffolk University,James Jones,0,*,15,27,27,129,287,22,77,76,44,324,10,42,53,818,87,131,218,61,0,31,1,0,0.45,0.29,0.58,12.0,8.07,1.96,1.56,0.37,1.1481481481481481,6.704683444176037,10,86,719
