conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
ll,Liberty League (LL),2025-26,mbball,Union,"Plesser,Jack",0,F,33,25,24,214,387,10,22,168,128,566,37,25,37,788,53,137,190,58,0,40,1,0,0.55,0.45,0.76,22.64,7.6,1.48,1.0,1.48,1.6,12.31514449987567,1,99,2112
ll,Liberty League (LL),2025-26,mbball,St. Lawrence,"Dudzinski,Adam",0,F,33,27,27,147,325,57,147,157,108,459,24,46,35,967,42,179,221,48,0,45,0,0,0.45,0.39,0.69,17.0,8.19,1.3,1.7,0.89,1.6666666666666667,9.298826735997155,2,94,2212
ll,Liberty League (LL),2025-26,mbball,Ithaca,"Cabral,Evan",0,G,15,23,20,143,316,37,108,140,85,408,4,55,58,661,28,70,98,49,1,60,0,0,0.45,0.34,0.61,17.74,4.26,2.52,2.39,0.17,2.608695652173913,8.194282148911867,3,93,2074
ll,Liberty League (LL),2025-26,mbball,Clarkson,"Burns,Braeden",0,F,24,25,25,158,322,28,76,121,82,426,4,35,60,839,34,112,146,53,0,55,1,0,0.49,0.37,0.68,17.04,5.84,2.4,1.4,0.16,2.2,8.085430384826358,4,91,2147
ll,Liberty League (LL),2025-26,mbball,Hobart,"Nedd,Monty",0,G,2,24,23,116,256,20,72,129,95,347,7,56,86,673,15,130,145,55,0,60,1,0,0.45,0.28,0.74,14.46,6.04,3.58,2.33,0.29,2.5,7.945356766035436,5,90,2084
ll,Liberty League (LL),2025-26,mbball,Vassar,"Fitzgerald,Shea",0,G,3,28,28,144,385,79,212,112,99,466,0,43,80,934,24,118,142,46,0,50,0,0,0.37,0.37,0.88,16.64,5.07,2.86,1.54,0.0,1.7857142857142858,7.831811121324685,6,89,2121
ll,Liberty League (LL),2025-26,mbball,RPI,"Deppe,Andrew",0,F,41,27,26,136,278,28,84,89,55,355,18,38,89,817,36,119,155,66,0,40,1,0,0.49,0.33,0.62,13.15,5.74,3.3,1.41,0.67,1.4814814814814814,7.59307227600212,7,88,2179
ll,Liberty League (LL),2025-26,mbball,Skidmore,"Roy,Aidan",0,G,2,25,25,112,320,43,168,112,87,354,18,33,99,842,6,108,114,45,1,43,0,0,0.35,0.26,0.78,14.16,4.56,3.96,1.32,0.72,1.72,7.4432664419982695,8,87,2151
ll,Liberty League (LL),2025-26,mbball,Skidmore,"Gooden,Jacob",0,G,15,18,18,124,271,16,45,114,79,343,10,23,45,584,14,27,41,31,2,55,0,0,0.46,0.36,0.69,19.06,2.28,2.5,1.28,0.56,3.0555555555555554,7.352043744205178,9,86,2159
ll,Liberty League (LL),2025-26,mbball,Ithaca,"Zenker,Matthew",0,F,8,25,25,154,317,61,157,46,34,403,17,22,50,710,42,88,130,40,2,59,0,0,0.49,0.39,0.74,16.12,5.2,2.0,0.88,0.68,2.36,7.073276803511486,10,85,2069
