conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Hood,"Yarbrough,Jevon",0,G,5,27,27,223,414,55,135,213,189,690,3,51,170,965,32,138,170,53,0,116,3,0,0.54,0.41,0.89,25.56,6.3,6.3,1.89,0.11,4.296296296296297,12.997622505849822,1,99,2232
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,York,"Rowe,Jayden",0,G,1,27,27,249,543,68,216,178,126,692,47,32,85,879,39,151,190,66,3,99,1,0,0.46,0.31,0.71,25.63,7.04,3.15,1.19,1.74,3.6666666666666665,12.344944038266547,2,96,2305
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,DeSales,"Thomas,Jayden",0,G,6,26,26,210,439,34,118,264,212,666,1,40,143,985,26,158,184,38,0,119,0,0,0.48,0.29,0.8,25.62,7.08,5.5,1.54,0.04,4.576923076923077,12.199566364529591,3,94,2417
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Albright,"Mitchell,Qadir",0,G,2,26,26,191,370,66,153,130,109,557,9,32,56,818,11,84,95,52,1,49,1,0,0.52,0.43,0.84,21.42,3.65,2.15,1.23,0.35,1.8846153846153846,9.224194849899146,4,93,2270
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Eastern,"Onyeka,Olise",0,F,1,24,24,130,262,16,50,179,115,391,52,27,28,727,65,192,257,39,1,59,0,0,0.5,0.32,0.64,16.29,10.71,1.17,1.13,2.17,2.4583333333333335,9.219750229402631,5,92,2447
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Alvernia,"Hamilton,Elijah",0,F,15,24,24,169,289,1,1,130,87,426,24,22,29,801,60,117,177,55,1,49,3,0,0.58,1.0,0.67,17.75,7.38,1.21,0.92,1.0,2.0416666666666665,8.423600702579362,6,91,2258
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,King's,Ben Rodner-Tims,0,*,1,25,25,185,351,16,50,129,66,452,6,27,104,848,34,97,131,54,0,73,1,0,0.53,0.32,0.51,18.08,5.24,4.16,1.08,0.24,2.92,8.403157645826083,7,91,2341
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Stevens,"Scholl,Tommy",0,G,22,27,27,164,362,67,187,129,94,489,2,41,56,910,27,150,177,43,0,52,0,0,0.45,0.36,0.73,18.11,6.56,2.07,1.52,0.07,1.9259259259259258,8.383635320026665,8,90,2334
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Albright,"Dupree,Phanique",0,F,5,25,25,148,273,15,46,70,49,360,60,19,30,770,61,139,200,61,0,33,3,0,0.54,0.33,0.7,14.4,8.0,1.2,0.76,2.4,1.32,8.253242441382815,9,89,2284
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Widener,"Bright,Myles",0,G,10,25,25,170,389,63,188,114,84,487,0,27,65,767,28,74,102,54,0,62,1,0,0.44,0.34,0.74,19.48,4.08,2.6,1.08,0.0,2.48,7.755615576418257,10,89,2293
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Alvernia,"Cottrell,Robert",0,G,3,21,19,112,249,36,89,119,96,356,7,35,73,739,9,69,78,46,0,48,0,0,0.45,0.4,0.81,16.95,3.71,3.48,1.67,0.33,2.2857142857142856,7.729311328944317,11,88,2249
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Arcadia,"Johnson,Nas",0,G,1,21,21,118,277,43,136,118,94,373,4,23,80,679,7,81,88,37,2,55,0,0,0.43,0.32,0.8,17.76,4.19,3.81,1.1,0.19,2.619047619047619,7.669353014471326,12,88,2393
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Albright,"McWhite,Chase",0,G,22,22,21,101,217,22,68,58,51,275,37,26,61,648,32,160,192,31,0,50,0,0,0.47,0.32,0.88,12.5,8.73,2.77,1.18,1.68,2.272727272727273,7.456426611256602,13,87,2279
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Stevens,"Chhabra,Harmehar",0,F,14,27,27,140,265,9,37,154,97,386,16,25,126,809,30,142,172,85,2,77,3,0,0.53,0.24,0.63,14.3,6.37,4.67,0.93,0.59,2.8518518518518516,7.443050998583372,14,87,2332
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,King's,Jake Karnish,0,*,22,10,10,40,96,9,32,30,21,110,1,13,40,323,24,79,103,23,1,16,0,0,0.42,0.28,0.7,11.0,10.3,4.0,1.3,0.1,1.6,7.328012508746784,15,86,2351
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Messiah,"Lyles,Caleb",0,G,1,25,25,149,343,24,118,170,138,460,4,33,52,841,36,114,150,67,0,81,1,0,0.43,0.2,0.81,18.4,6.0,2.08,1.32,0.16,3.24,7.302158464543526,16,86,2465
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Arcadia,"Lynam,Jamison",0,F,30,26,25,173,370,66,156,62,48,460,2,43,78,863,18,51,69,37,3,61,0,0,0.47,0.42,0.77,17.69,2.65,3.0,1.65,0.08,2.3461538461538463,7.29959909553357,17,85,2408
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Hood,"Robinson,Kullen",0,G,13,27,27,172,314,39,102,75,64,447,9,18,57,821,59,93,152,37,0,54,0,0,0.55,0.38,0.85,16.56,5.63,2.11,0.67,0.33,2.0,7.137629124095495,18,85,2236
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Misericordia,"Gallagher,Jack",0,G,12,27,27,122,252,10,48,142,99,353,26,46,46,756,70,153,223,81,0,55,3,0,0.48,0.21,0.7,13.07,8.26,1.7,1.7,0.96,2.037037037037037,7.066762498021589,19,84,2512
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Alvernia,"Dearry,Rasheem",0,G,6,25,24,146,326,53,151,65,58,403,3,39,50,840,19,102,121,62,3,44,1,0,0.45,0.35,0.89,16.12,4.84,2.0,1.56,0.12,1.76,7.034156840336162,20,84,2252
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Hood,"Huseby,Jude",0,F,12,27,27,122,234,28,84,93,59,331,13,32,68,780,70,154,224,67,0,54,2,0,0.52,0.33,0.63,12.26,8.3,2.52,1.19,0.48,2.0,6.597243978753175,21,84,2235
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Delaware Valley,"Redding,Antonio",0,G,2,25,23,154,323,50,124,94,79,437,1,24,72,876,17,57,74,55,2,67,0,0,0.48,0.4,0.84,17.48,2.96,2.88,0.96,0.04,2.68,6.510564938567794,22,83,2362
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Misericordia,"Prociak,Matt",0,F,33,27,27,141,345,40,142,112,87,409,10,11,35,824,63,133,196,38,0,38,0,0,0.41,0.28,0.78,15.15,7.26,1.3,0.41,0.37,1.4074074074074074,6.464261160878549,23,83,2518
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Delaware Valley,"Herrin,Mike",0,G,1,25,19,140,288,17,70,140,101,398,4,32,39,694,20,120,140,63,2,61,0,0,0.49,0.24,0.72,15.92,5.6,1.56,1.28,0.16,2.44,6.3943223799424045,24,83,2361
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Hood,"Cox,Garrett",0,F,22,25,25,113,233,43,122,72,49,318,17,20,44,699,54,138,192,62,0,35,2,0,0.48,0.35,0.68,12.72,7.68,1.76,0.8,0.68,1.4,6.367869663633693,25,82,2241
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Stevens,"Maddison,Kyle",0,G,5,27,27,137,331,53,172,76,60,387,6,42,102,899,31,73,104,60,1,72,0,0,0.41,0.31,0.79,14.33,3.85,3.78,1.56,0.22,2.6666666666666665,6.1974606346008265,26,82,2326
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,York,"Landis,Tate",0,G,20,27,27,118,284,47,134,102,75,358,5,47,94,811,25,63,88,65,0,58,2,0,0.42,0.35,0.74,13.26,3.26,3.48,1.74,0.19,2.1481481481481484,5.831982639375802,27,82,2315
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,FDU - Florham,"Smith,Chris",0,F,21,25,24,147,252,4,28,108,67,365,15,16,28,776,54,88,142,49,1,54,0,0,0.58,0.14,0.62,14.6,5.68,1.12,0.64,0.6,2.16,5.804591505220402,28,81,2491
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Stevenson,"Beaman,Kole",0,G,7,25,25,132,296,37,113,67,56,357,10,23,34,740,29,81,110,56,0,31,2,0,0.45,0.33,0.84,14.28,4.4,1.36,0.92,0.4,1.24,5.765339484534939,29,81,2385
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,FDU - Florham,"Denvir,Frankie",0,G,30,25,22,99,253,56,154,72,67,321,3,37,64,676,43,81,124,77,1,45,3,0,0.39,0.36,0.93,12.84,4.96,2.56,1.48,0.12,1.8,5.610928894548081,30,81,2496
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Arcadia,"Okocha,Joshua",0,G,0,26,26,87,213,10,53,130,75,259,15,40,49,763,54,142,196,71,1,30,3,0,0.41,0.19,0.58,9.96,7.54,1.88,1.54,0.58,1.1538461538461537,5.553491309378968,31,80,2392
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Alvernia,"Stanley,Janye",0,G,4,25,23,119,270,49,131,78,61,348,11,23,44,800,12,124,136,43,3,55,1,0,0.44,0.37,0.78,13.92,5.44,1.76,0.92,0.44,2.2,5.487130916776307,32,80,2250
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Messiah,"McBride,Johnny",0,F,21,25,25,116,209,1,9,80,40,273,34,18,32,678,74,137,211,72,0,57,3,0,0.56,0.11,0.5,10.92,8.44,1.28,0.72,1.36,2.28,5.475437273775569,33,80,2473
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Lebanon Valley,"Sejuste,Giovanni",0,G,9,24,10,120,222,7,18,115,84,331,19,19,18,575,35,88,123,39,0,45,0,0,0.54,0.39,0.73,13.79,5.13,0.75,0.79,0.79,1.875,5.375045667054517,34,79,2433
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Albright,"Stanton,Jeremiah",0,G,1,25,25,116,277,46,128,52,39,317,4,16,128,766,6,72,78,45,0,72,0,0,0.42,0.36,0.75,12.68,3.12,5.12,0.64,0.16,2.88,5.1110767099582075,35,79,2269
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Lebanon Valley,"Tang,Kyle",0,G,2,25,25,91,182,8,25,97,70,260,2,48,114,798,20,64,84,62,0,66,1,0,0.5,0.32,0.72,10.4,3.36,4.56,1.92,0.08,2.64,5.025986464587501,36,79,2430
mac,Middle Atlantic Conferences (MAC),2025-26,mbball,Messiah,"Wert,Ben",0,G,23,19,19,96,199,35,86,40,24,251,11,18,13,506,21,60,81,38,0,29,1,0,0.48,0.41,0.6,13.21,4.26,0.68,0.95,0.58,1.5263157894736843,4.856264182567032,37,78,2474
