conference_code,conference,season,team,player_name,first_name,last_name,games_played,mpg,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,K Rogers,K,Rogers,27,36.3,20.1,8.0,4.6,1.7,0.4,3.4,8.491005445988408,1,99,2528
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,J Jackson,J,Jackson,20,33.3,21.9,7.9,1.8,0.8,0.3,2.1,8.127847153709501,2,93,2527
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,C Williams,C,Williams,25,35.7,19.8,5.6,2.4,1.3,0.3,2.5,6.74181288323909,3,90,2529
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,A Barry,A,Barry,26,32.4,15.2,5.2,2.3,2.1,0.8,1.7,5.8529364374426045,4,88,2534
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,J Okla,J,Okla,27,31.7,14.9,9.0,1.8,1.6,0.1,2.0,5.51304809308107,5,86,2535
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,D Kikuba,D,Kikuba,26,29.3,13.1,4.5,5.6,2.1,0.1,2.8,5.074378275451389,6,85,2542
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,Z Taylor,Z,Taylor,25,31.1,16.4,6.1,2.8,0.6,0.4,2.6,5.058364184916368,7,83,2531
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Worcester St.,J Annan,J,Annan,26,27.4,11.5,6.2,3.0,2.0,1.6,2.1,5.037799432334658,8,82,2547
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,X Lewis,X,Lewis,24,33.6,14.2,3.4,2.9,1.9,0.0,1.1,4.859164243208565,9,81,2536
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,J Thomson,J,Thomson,27,27.6,10.1,11.6,1.1,1.0,1.3,1.2,4.813493497192668,10,80,2552
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,R Orleans,R,Orleans,26,28.6,13.4,9.7,0.4,1.2,0.5,1.6,4.603209471684024,11,79,2539
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,F Koite,F,Koite,26,27.8,15.4,4.2,1.2,1.9,0.7,2.0,4.591238592491108,12,78,2533
