conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
nwc,Northwest Conference (NWC),2025-26,mbball,Willamette,"Overby,Tanner",0,G,2,22,22,187,355,25,55,166,143,542,9,51,71,631,29,78,107,33,0,53,0,0,0.53,0.45,0.86,24.64,4.86,3.23,2.32,0.41,2.409090909090909,12.737977716906382,1,99,4613
nwc,Northwest Conference (NWC),2025-26,mbball,Pacific,"Hrboka,Anthony",0,G,4,25,25,207,455,72,186,39,32,518,1,53,81,891,13,53,66,11,0,54,0,0,0.45,0.39,0.82,20.72,2.64,3.24,2.12,0.04,2.16,9.493894790015435,2,94,4650
nwc,Northwest Conference (NWC),2025-26,mbball,George Fox ,"Cooks,Donovan",0,G,5,18,17,107,279,35,102,120,99,348,2,24,70,555,15,53,68,24,0,44,0,0,0.38,0.34,0.83,19.33,3.78,3.89,1.33,0.11,2.4444444444444446,8.747999606848833,3,92,4676
nwc,Northwest Conference (NWC),2025-26,mbball,Lewis & Clark,"Treadwell,Andre",0,G,4,20,18,140,294,60,144,43,31,371,7,15,22,595,26,106,132,29,0,29,0,0,0.48,0.42,0.72,18.55,6.6,1.1,0.75,0.35,1.45,8.723914362392357,4,91,4690
nwc,Northwest Conference (NWC),2025-26,mbball,Pacific Lutheran ,"Kapranos,Charlie",0,F,12,17,17,90,176,18,47,54,37,235,7,21,74,513,34,107,141,45,0,35,0,0,0.51,0.38,0.69,13.82,8.29,4.35,1.24,0.41,2.0588235294117645,8.722328282371352,5,90,4729
nwc,Northwest Conference (NWC),2025-26,mbball,Whitworth,"Behil,Stephen",0,F,15,27,26,174,371,64,174,55,49,461,8,27,54,776,36,163,199,45,0,51,0,0,0.47,0.37,0.89,17.07,7.37,2.0,1.0,0.3,1.8888888888888888,8.48496884413949,6,89,4640
nwc,Northwest Conference (NWC),2025-26,mbball,Whitworth,"Bateman,Caden",0,F,10,27,26,140,252,5,20,76,53,338,34,19,39,650,70,145,215,53,1,25,1,0,0.56,0.25,0.7,12.52,7.96,1.44,0.7,1.26,0.9259259259259259,7.78707279680285,7,88,4636
nwc,Northwest Conference (NWC),2025-26,mbball,Lewis & Clark,"White,Justin",0,F,13,22,21,116,245,17,52,54,31,280,21,40,60,607,39,116,155,63,0,45,1,0,0.47,0.33,0.57,12.73,7.05,2.73,1.82,0.95,2.0454545454545454,7.5292753123352245,8,87,4694
nwc,Northwest Conference (NWC),2025-26,mbball,Pacific,"Vacco,Max",0,G,1,24,24,96,218,7,31,78,51,250,12,73,124,684,33,98,131,46,0,48,2,0,0.44,0.23,0.65,10.42,5.46,5.17,3.04,0.5,2.0,7.4349278125427,9,86,4647
nwc,Northwest Conference (NWC),2025-26,mbball,Pacific Lutheran ,"Tellez,Ben",0,G,11,25,25,143,331,73,171,113,90,449,5,29,50,775,25,70,95,33,0,54,1,0,0.43,0.43,0.8,17.96,3.8,2.0,1.16,0.2,2.16,7.338505393711299,10,85,4728
nwc,Northwest Conference (NWC),2025-26,mbball,Whitworth,"Nyquist,Ben",0,G,11,27,26,110,213,19,65,109,81,320,3,91,96,741,40,76,116,59,0,40,0,0,0.52,0.29,0.74,11.85,4.3,3.56,3.37,0.11,1.4814814814814814,7.307407854595138,11,84,4637
nwc,Northwest Conference (NWC),2025-26,mbball,George Fox ,"Natche,Sydney",0,G,11,24,24,158,340,19,59,148,99,434,6,28,33,578,42,53,95,44,0,73,1,0,0.46,0.32,0.67,18.08,3.96,1.38,1.17,0.25,3.0416666666666665,6.540717611302586,12,84,4678
nwc,Northwest Conference (NWC),2025-26,mbball,Puget Sound,"Rutherfurd,Hugo",0,C,37,25,25,126,266,17,47,81,60,329,51,6,26,686,34,102,136,62,1,44,1,0,0.47,0.36,0.74,13.16,5.44,1.04,0.24,2.04,1.76,6.506380491513158,13,83,4721
nwc,Northwest Conference (NWC),2025-26,mbball,Puget Sound,"Miller,Zane",0,F,1,26,26,126,296,45,117,58,46,343,6,30,82,751,47,79,126,63,0,40,2,0,0.43,0.38,0.79,13.19,4.85,3.15,1.15,0.23,1.5384615384615385,6.4690665937262635,14,82,4704
nwc,Northwest Conference (NWC),2025-26,mbball,Whitman,"Efe Isik,Ali",0,,9,25,24,117,254,16,54,117,88,338,10,28,80,709,27,98,125,30,0,65,0,0,0.46,0.3,0.75,13.52,5.0,3.2,1.12,0.4,2.6,6.096997593121409,15,82,4742
nwc,Northwest Conference (NWC),2025-26,mbball,Whitman,"Sarenac,Milos",0,,7,16,10,61,125,5,14,73,52,179,4,8,35,338,53,92,145,30,0,34,0,0,0.49,0.36,0.71,11.19,9.06,2.19,0.5,0.25,2.125,5.757613970546415,16,81,4741
nwc,Northwest Conference (NWC),2025-26,mbball,Pacific,"Gray,Lucas",0,G,2,25,25,102,247,41,125,59,49,294,5,73,76,703,19,55,74,40,1,48,0,0,0.41,0.33,0.83,11.76,2.96,3.04,2.92,0.2,1.92,5.650409250127513,17,81,4648
nwc,Northwest Conference (NWC),2025-26,mbball,Linfield,Garrett Callsen,0,*,55,24,23,125,210,9,18,70,45,304,13,11,21,600,56,84,140,50,0,55,0,0,0.6,0.5,0.64,12.67,5.83,0.88,0.46,0.54,2.2916666666666665,5.029510007289795,18,80,4775
nwc,Northwest Conference (NWC),2025-26,mbball,Linfield,Dayton Magana,0,*,3,24,24,113,284,63,161,38,27,316,2,30,67,735,4,61,65,47,0,48,1,0,0.4,0.39,0.71,13.17,2.71,2.79,1.25,0.08,2.0,4.964604676029732,19,79,4761
