conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,MUW,"Huguley,Tray",0,F,03,25,23,246,378,4,14,104,80,576,38,26,66,876,64,228,292,49,1,57,2,0,0.65,0.29,0.77,23.04,11.68,2.64,1.04,1.52,2.28,14.446653155689873,1,99,6000
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Principia,"Simon,Nolan",0,G,13,21,21,180,381,23,62,166,136,519,2,65,77,772,19,90,109,48,3,112,1,0,0.47,0.37,0.82,24.71,5.19,3.67,3.1,0.1,5.333333333333333,11.282077308904164,2,95,6137
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Webster,"Nelson,Charles",0,F,01,27,26,183,383,55,133,89,78,499,8,50,101,839,28,70,98,28,0,57,0,0,0.48,0.41,0.88,18.48,3.63,3.74,1.85,0.3,2.111111111111111,9.587137798352181,3,93,5974
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,MUW,"Austin,Joe Haze",0,F,05,27,17,132,269,33,99,88,72,369,41,91,105,856,43,104,147,64,1,85,3,0,0.49,0.33,0.82,13.67,5.44,3.89,3.37,1.52,3.1481481481481484,8.97401192277714,4,92,6002
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Greenville,"Lofton,Tim",0,,00,26,18,155,306,5,38,61,43,358,35,76,32,491,77,110,187,82,0,40,5,0,0.51,0.13,0.7,13.77,7.19,1.23,2.92,1.35,1.5384615384615385,8.691464147194552,5,90,5955
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Blackburn,"Jordan,Evan",0,G,20,26,26,166,349,55,135,80,61,448,4,59,54,832,31,94,125,33,0,50,0,0,0.48,0.41,0.76,17.23,4.81,2.08,2.27,0.15,1.9230769230769231,8.540601806335063,6,89,6019
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Blackburn,"Jeter,Jaylen",0,G,10,26,8,154,311,40,117,148,113,461,5,67,33,706,28,61,89,66,0,40,1,0,0.5,0.34,0.76,17.73,3.42,1.27,2.58,0.19,1.5384615384615385,8.326659633192618,7,88,6017
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Webster,"Chartrand,Ethan",0,F,30,16,12,109,194,20,57,28,22,260,8,24,23,431,15,42,57,17,0,12,0,0,0.56,0.35,0.79,16.25,3.56,1.44,1.5,0.5,0.75,8.098004093365049,8,88,5983
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Lyon,"Taylor,Trevon",0,,14,27,27,167,358,21,81,91,44,399,30,35,34,746,51,154,205,50,2,47,0,0,0.47,0.26,0.48,14.78,7.59,1.26,1.3,1.11,1.7407407407407407,8.019355828944741,9,87,6045
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Westminster,"Johnson,Jamile",0,C,12,25,25,121,190,0,1,110,57,299,64,16,27,677,60,127,187,49,0,32,0,0,0.64,0.0,0.52,11.96,7.48,1.08,0.64,2.56,1.28,7.929395850626332,10,86,6062
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Spalding,"Morris,Lekendrick",0,F,10,25,23,168,237,0,1,95,45,381,18,8,48,664,47,125,172,65,2,64,2,0,0.71,0.0,0.47,15.24,6.88,1.92,0.32,0.72,2.56,7.5416634143861225,11,85,6116
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Eureka,"Provost,Jaxson",0,G,12,24,23,146,321,47,118,105,83,422,1,33,69,660,12,48,60,33,2,57,0,0,0.45,0.4,0.79,17.58,2.5,2.88,1.38,0.04,2.375,7.507576245172063,12,85,6091
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Greenville,"Williford,Joshua",0,,01,24,14,142,283,20,68,111,82,386,5,48,39,412,49,46,95,63,3,41,4,0,0.5,0.29,0.74,16.08,3.96,1.63,2.0,0.21,1.7083333333333333,7.505051521613733,13,84,5956
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Principia,"Roberts,Mikhali",0,F,04,21,20,125,291,10,49,89,53,313,16,17,15,656,51,116,167,37,1,39,1,0,0.43,0.2,0.6,14.9,7.95,0.71,0.81,0.76,1.8571428571428572,7.129744940445408,14,84,6133
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Westminster,"Gohring,Walker",0,G,04,25,23,142,359,41,122,97,79,404,4,25,79,807,17,103,120,48,0,74,1,0,0.4,0.34,0.81,16.16,4.8,3.16,1.0,0.16,2.96,7.097945615601873,15,83,6059
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,MUW,"Shephard,Tyler",0,G,11,27,23,144,276,26,73,110,82,396,17,36,56,830,22,105,127,56,1,58,1,0,0.52,0.36,0.75,14.67,4.7,2.07,1.33,0.63,2.1481481481481484,7.019202878695987,16,82,6004
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Lyon,"Reed,Stephen",0,,00,27,27,105,200,6,17,162,107,323,8,64,63,739,73,72,145,64,0,71,1,0,0.53,0.35,0.66,11.96,5.37,2.33,2.37,0.3,2.6296296296296298,6.091279296671932,17,82,6033
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Spalding,"McCampbell,Devonte",0,F,11,24,17,88,161,0,2,91,56,232,9,21,71,637,55,136,191,44,0,56,2,0,0.55,0.0,0.62,9.67,7.96,2.96,0.88,0.38,2.3333333333333335,5.724043887474475,18,81,6117
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,MUW,"Walker,Trent",0,G,15,27,26,86,199,18,69,78,67,257,8,33,95,936,37,142,179,62,2,54,3,0,0.43,0.26,0.86,9.52,6.63,3.52,1.22,0.3,2.0,5.6840264437148935,19,81,6006
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Webster,"Sykes II,Jemard",0,G,02,27,27,103,229,42,111,30,26,274,7,35,70,774,48,87,135,45,0,30,0,0,0.45,0.38,0.87,10.15,5.0,2.59,1.3,0.26,1.1111111111111112,5.552298668174968,20,80,5975
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Webster,"Painter,Adam",0,F,33,27,27,106,201,2,5,75,47,261,9,30,61,703,51,124,175,43,0,37,0,0,0.53,0.4,0.63,9.67,6.48,2.26,1.11,0.33,1.3703703703703705,5.5249819490872225,21,80,5986
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,MUW,"McCaine,Devin",0,G,10,25,19,143,272,23,75,68,47,356,1,23,48,772,20,40,60,38,1,50,0,0,0.53,0.31,0.69,14.24,2.4,1.92,0.92,0.04,2.0,5.416979249125429,22,79,6003
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Lyon,"Brown,Kenneth",0,,23,27,26,105,295,32,126,59,39,281,21,44,38,778,38,104,142,41,1,29,0,0,0.36,0.25,0.66,10.41,5.26,1.41,1.63,0.78,1.0740740740740742,5.400336002552993,23,79,6049
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Greenville,"Goad,Elijah",0,G,06,26,12,110,285,69,198,52,45,334,3,46,45,518,27,33,60,54,0,35,1,0,0.39,0.35,0.87,12.85,2.31,1.73,1.77,0.12,1.3461538461538463,5.2816180536230855,24,78,5961
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Westminster,"Garner,Kolton",0,G,23,24,21,98,250,58,168,56,46,300,20,22,36,637,7,78,85,44,1,48,1,0,0.39,0.35,0.82,12.5,3.54,1.5,0.92,0.83,2.0,4.956899055183566,25,78,6067
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Lyon,"West,Colbie",0,F,10,8,8,39,71,1,5,38,31,110,0,6,10,154,16,24,40,9,0,10,0,0,0.55,0.2,0.82,13.75,5.0,1.25,0.75,0.0,1.25,4.842075269540928,26,78,6041
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Lyon,"Sorrell,Xavier",0,,11,27,19,91,153,0,3,45,27,209,25,58,32,689,87,88,175,76,0,57,3,0,0.59,0.0,0.6,7.74,6.48,1.19,2.15,0.93,2.111111111111111,4.518660731635952,27,77,6042
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Greenville,"Mobley,Elliot",0,,03,25,12,81,168,0,1,61,42,204,8,47,100,475,26,45,71,68,0,55,2,0,0.48,0.0,0.69,8.16,2.84,4.0,1.88,0.32,2.2,4.443240935750031,28,77,5958
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Blackburn,"Cook,Payton",0,F,07,25,25,82,155,21,56,27,20,205,26,22,38,667,39,108,147,69,0,44,2,0,0.53,0.38,0.74,8.2,5.88,1.52,0.88,1.04,1.76,4.260035410182731,29,76,6014
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Eureka,"Coker,Andrew",0,F,33,25,25,89,188,19,62,60,41,238,11,16,30,567,36,123,159,62,1,42,1,0,0.47,0.31,0.68,9.52,6.36,1.2,0.64,0.44,1.68,4.190520106301427,30,76,6103
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Blackburn,"Welch,Kcion",0,G,02,26,26,80,153,10,27,79,51,221,21,28,40,727,44,84,128,70,0,41,4,0,0.52,0.37,0.65,8.5,4.92,1.54,1.08,0.81,1.5769230769230769,4.152555258859957,31,75,6011
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,mbball,Greenville,"Schreiber-Rivera,Joseph",0,G,09,23,15,89,202,34,112,40,27,239,1,23,26,406,30,31,61,46,0,18,1,0,0.44,0.3,0.68,10.39,2.65,1.13,1.0,0.04,0.782608695652174,3.834359880094155,32,75,5963
