conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,composite_score,rank,rating,global_rank
ccc,Conference of New England (CCC),2025-26,mlax,Endicott College,Cam Fernandez,,,,18,18,0.0,0.0,0.0,0.0,0.0,2.0,24.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,40.0,10.0,1082:00,38.0,0.0,1.0,81.0,161.0,0.0,101.0,53.0,48.0,0.503,,,,,,,,,,,,,,,17.29743608724438,1,99,6
ccc,Conference of New England (CCC),2025-26,mlax,Endicott College,Nick Graap,,,,18,18,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,30.0,0.0,7.0,12.0,1082:00,38.0,0.0,1.0,105.0,157.0,0.0,67.0,17.0,50.0,0.669,,,,,,,,,,,,,,,11.463713522610561,2,96,74
ccc,Conference of New England (CCC),2025-26,mlax,Wentworth Institute of Technology,Erik Vogt,,,,19,19,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,33.0,0.0,26.0,10.0,1145:00,95.0,0.0,1.0,70.0,98.0,0.0,70.0,23.0,47.0,0.714,,,,,,,,,,,,,,,11.352059799903742,3,95,79
ccc,Conference of New England (CCC),2025-26,mlax,Wentworth Institute of Technology,Tyler Longo,,,,19,0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,29.0,2.0,00:00,0.0,0.0,1.0,52.0,115.0,0.0,65.0,44.0,21.0,0.452,,,,,,,,,,,,,,,10.505053639966007,4,94,103
ccc,Conference of New England (CCC),2025-26,mlax,Wentworth Institute of Technology,Drew Bouley,,,,19,0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,33.0,0.0,42.0,6.0,00:00,0.0,0.0,1.0,73.0,129.0,0.0,62.0,32.0,30.0,0.566,,,,,,,,,,,,,,,9.448538200647832,5,93,135
ccc,Conference of New England (CCC),2025-26,mlax,Endicott College,Tommy Tyksinski,,,,18,0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,27.0,4.0,00:00,0.0,0.0,1.0,67.0,109.0,0.0,58.0,18.0,40.0,0.615,,,,,,,,,,,,,,,8.578792940920847,6,93,188
ccc,Conference of New England (CCC),2025-26,mlax,Roger Williams University,Jack Kester,,,,18,14,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,47.0,0.0,40.0,4.0,844:00,105.0,0.0,1.0,39.0,74.0,0.0,53.0,36.0,17.0,0.527,,,,,,,,,,,,,,,8.240954571927965,7,92,200
ccc,Conference of New England (CCC),2025-26,mlax,Endicott College,Guerin Favreau,,,,17,0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,18.0,2.0,00:00,0.0,0.0,1.0,51.0,93.0,0.0,53.0,24.0,29.0,0.548,,,,,,,,,,,,,,,8.239983717093912,8,92,199
ccc,Conference of New England (CCC),2025-26,mlax,University of Hartford,Aidan Ezra,,,,17,17,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,13.0,1.0,1011:00,62.0,0.0,1.0,60.0,96.0,0.0,47.0,19.0,28.0,0.625,,,,,,,,,,,,,,,7.172942335491625,9,91,277
ccc,Conference of New England (CCC),2025-26,mlax,Roger Williams University,Eric Brooks,,,,18,15,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,0.0,34.0,5.0,904:00,105.0,2.0,1.0,59.0,133.0,0.0,49.0,16.0,33.0,0.444,,,,,,,,,,,,,,,6.911618030843076,10,91,305
ccc,Conference of New England (CCC),2025-26,mlax,Western New England University,Jack Houlden,,,,19,19,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,28.0,10.0,1148:00,66.0,0.0,1.0,64.0,96.0,0.0,46.0,6.0,40.0,0.667,,,,,,,,,,,,,,,6.721231160465292,11,90,313
ccc,Conference of New England (CCC),2025-26,mlax,Wentworth Institute of Technology,Brendan Kroll,,,,19,13,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,9.0,3.0,785:00,95.0,0.0,1.0,64.0,101.0,0.0,43.0,10.0,33.0,0.634,,,,,,,,,,,,,,,6.529894474662957,12,90,318
ccc,Conference of New England (CCC),2025-26,mlax,Roger Williams University,Matt Hemmert,,,,12,12,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,27.0,2.0,724:00,105.0,0.0,1.0,62.0,104.0,0.0,47.0,10.0,37.0,0.596,,,,,,,,,,,,,,,6.413612315534757,13,89,349
ccc,Conference of New England (CCC),2025-26,mlax,University of New England,Shea Fogarty,,,,16,15,0.0,0.0,0.0,0.0,0.0,4.0,23.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,44.0,12.0,1051:00,83.0,0.0,1.0,66.0,113.0,0.0,45.0,16.0,29.0,0.584,,,,,,,,,,,,,,,6.385110455380962,14,89,350
ccc,Conference of New England (CCC),2025-26,mlax,Wentworth Institute of Technology,Gabe Cobham,,,,19,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,2.0,00:00,0.0,0.0,1.0,72.0,133.0,0.0,44.0,15.0,29.0,0.541,,,,,,,,,,,,,,,6.37970423304466,15,88,338
ccc,Conference of New England (CCC),2025-26,mlax,Wentworth Institute of Technology,Kobi Buffa,,,,18,17,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,19.0,3.0,1025:00,95.0,0.0,1.0,41.0,88.0,0.0,39.0,15.0,24.0,0.466,,,,,,,,,,,,,,,5.611190358071479,16,88,425
ccc,Conference of New England (CCC),2025-26,mlax,Endicott College,Matt Wright,,,,18,16,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,19.0,3.0,962:00,38.0,0.0,1.0,43.0,61.0,0.0,38.0,13.0,25.0,0.705,,,,,,,,,,,,,,,5.439093790083169,17,88,446
ccc,Conference of New England (CCC),2025-26,mlax,Nichols College,Dylan DeRubeis,,,,17,17,0.0,0.0,0.0,0.0,0.0,1.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,34.0,0.0,48.0,6.0,999:00,94.0,1.0,1.0,68.0,103.0,0.0,42.0,18.0,24.0,0.66,,,,,,,,,,,,,,,5.400075878794962,18,87,474
