conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,composite_score,rank,rating,global_rank
e8,Empire 8 (E8),2025-26,mlax,St. John Fisher,Brady Mason,,,,20,19,0.0,0.0,0.0,0.0,0.0,3.0,17.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,19.0,3.0,1138:00,64.0,0.0,1.0,78.0,124.0,0.0,85.0,26.0,59.0,0.629,,,,,,,,,,,,,,,12.778861031874833,1,99,27
e8,Empire 8 (E8),2025-26,mlax,St. John Fisher,Timmy Salit,,,,21,20,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,33.0,0.0,32.0,4.0,1198:00,78.0,0.0,1.0,53.0,85.0,0.0,71.0,50.0,21.0,0.624,,,,,,,,,,,,,,,10.878440178289036,2,96,64
e8,Empire 8 (E8),2025-26,mlax,Nazareth,Quinn McKercher,,,,19,19,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,32.0,8.0,1138:00,181.0,0.0,1.0,86.0,154.0,0.0,75.0,30.0,45.0,0.558,,,,,,,,,,,,,,,10.807608093233753,3,95,65
e8,Empire 8 (E8),2025-26,mlax,Geneseo,"Henselder, Riley",,,,18,18,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,28.0,0.0,29.0,6.0,1057:00,136.0,0.0,1.0,58.0,81.0,0.0,64.0,32.0,32.0,0.716,,,,,,,,,,,,,,,9.270842085635048,4,94,111
e8,Empire 8 (E8),2025-26,mlax,Nazareth,Matthew Farrington,,,,19,19,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,29.0,6.0,1138:00,181.0,0.0,1.0,63.0,84.0,0.0,61.0,24.0,37.0,0.75,,,,,,,,,,,,,,,8.368995049285038,5,93,138
e8,Empire 8 (E8),2025-26,mlax,Russell Sage,Anthony Marrone,,,,18,18,0.0,0.0,0.0,0.0,0.0,3.0,105.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,18.0,0.0,38.0,6.0,1019:00,1.0,1.0,1.0,111.0,193.0,0.0,68.0,6.0,62.0,0.575,,,,,,,,,,,,,,,8.33549947086271,6,92,136
e8,Empire 8 (E8),2025-26,mlax,Geneseo,"Atkinson, Jimmy",,,,18,18,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,3.0,1057:00,136.0,0.0,1.0,67.0,107.0,0.0,58.0,15.0,43.0,0.626,,,,,,,,,,,,,,,7.797699339177114,7,92,179
e8,Empire 8 (E8),2025-26,mlax,Utica,Ryan Considine,,,,16,16,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,42.0,0.0,31.0,5.0,984:00,260.0,0.0,1.0,78.0,142.0,0.0,52.0,20.0,32.0,0.549,,,,,,,,,,,,,,,7.0150342476098615,8,91,224
e8,Empire 8 (E8),2025-26,mlax,St. John Fisher,Braeden McNeill,,,,21,16,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,19.0,4.0,958:00,78.0,0.0,1.0,41.0,67.0,0.0,47.0,24.0,23.0,0.612,,,,,,,,,,,,,,,6.422382191607042,9,91,279
e8,Empire 8 (E8),2025-26,mlax,Alfred,Kevin Matson,,,,13,13,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,13.0,10.0,740:00,41.0,0.0,1.0,66.0,113.0,0.0,44.0,11.0,33.0,0.584,,,,,,,,,,,,,,,6.4101418919813264,10,90,278
