conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,composite_score,rank,rating,global_rank
ll,Liberty League (LL),2025-26,mlax,RIT,Clifford Gaston,,,,20,20,0.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,48.0,0.0,17.0,9.0,1203:00,96.0,0.0,1.0,110.0,177.0,0.0,88.0,18.0,70.0,0.621,,,,,,,,,,,,,,,13.904687504808154,1,99,24
ll,Liberty League (LL),2025-26,mlax,RIT,Nate Senez,,,,23,23,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,39.0,0.0,21.0,4.0,1383:00,132.0,0.0,1.0,47.0,69.0,0.0,78.0,48.0,30.0,0.681,,,,,,,,,,,,,,,12.53052238399674,2,96,31
ll,Liberty League (LL),2025-26,mlax,RPI,Tyler Ruffini,,,,20,20,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0,43.0,8.0,1771:00,254.0,0.0,1.0,72.0,101.0,0.0,81.0,44.0,37.0,0.713,,,,,,,,,,,,,,,11.810825557826819,3,95,42
ll,Liberty League (LL),2025-26,mlax,RPI,Easton Morse,,,,20,20,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,39.0,0.0,34.0,5.0,1771:00,254.0,0.0,1.0,75.0,121.0,0.0,71.0,23.0,48.0,0.62,,,,,,,,,,,,,,,10.076262599297097,4,94,95
ll,Liberty League (LL),2025-26,mlax,RPI,Erik Ojert,,,,19,18,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,39.0,0.0,19.0,7.0,1651:00,208.0,0.0,1.0,55.0,89.0,0.0,55.0,30.0,25.0,0.618,,,,,,,,,,,,,,,8.535959085497515,5,93,134
ll,Liberty League (LL),2025-26,mlax,RIT,Ian Dinga,,,,23,1,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,24.0,3.0,60:00,0.0,0.0,1.0,55.0,89.0,0.0,57.0,29.0,28.0,0.618,,,,,,,,,,,,,,,8.046461919653595,6,92,173
ll,Liberty League (LL),2025-26,mlax,RIT,Ethan Harkins,,,,23,23,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,18.0,7.0,1383:00,132.0,0.0,1.0,68.0,90.0,0.0,54.0,12.0,42.0,0.756,,,,,,,,,,,,,,,7.679561954625544,7,92,197
ll,Liberty League (LL),2025-26,mlax,St. Lawrence,Jamie Rosenzweig,,,,19,18,0.0,0.0,0.0,0.0,1.0,4.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,33.0,7.0,1087:00,109.0,0.0,1.0,39.0,64.0,0.0,51.0,28.0,23.0,0.609,,,,,,,,,,,,,,,6.939888754708369,8,91,235
ll,Liberty League (LL),2025-26,mlax,Clarkson,Robert Fox,,,,16,14,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,0.0,26.0,7.0,843:00,118.0,0.0,1.0,39.0,56.0,0.0,48.0,29.0,19.0,0.696,,,,,,,,,,,,,,,6.924768470158275,9,91,238
ll,Liberty League (LL),2025-26,mlax,Ithaca,Kyle Proctor,,,,19,19,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,23.0,1.0,1154:00,181.0,0.0,1.0,38.0,61.0,0.0,49.0,26.0,23.0,0.623,,,,,,,,,,,,,,,6.817623738981605,10,90,247
