conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,composite_score,rank,rating,global_rank
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Adrian,Michael Jonas,,,,18,18,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,34.0,9.0,1080:00,103.0,0.0,1.0,94.0,125.0,0.0,112.0,45.0,67.0,0.752,,,,,,,,,,,,,,,16.066021913070465,1,99,2
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Adrian,Austin Selvage,,,,18,17,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,0.0,12.0,2.0,1020:00,103.0,0.0,1.0,61.0,97.0,0.0,63.0,28.0,35.0,0.629,,,,,,,,,,,,,,,8.792527027488713,2,95,105
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Adrian,Derek Hassel,,,,18,18,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,24.0,0.0,18.0,3.0,1080:00,103.0,0.0,1.0,41.0,64.0,0.0,57.0,35.0,22.0,0.641,,,,,,,,,,,,,,,7.946237459483858,3,94,130
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Albion,Cal Stearns,,,,21,0,0.0,0.0,0.0,0.0,0.0,3.0,32.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,41.0,10.0,00:00,0.0,0.0,1.0,120.0,217.0,0.0,64.0,12.0,52.0,0.553,,,,,,,,,,,,,,,7.556602476770597,4,93,159
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Trine,Collin Custer,,,,20,0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,17.0,2.0,00:00,0.0,0.0,1.0,72.0,107.0,0.0,53.0,10.0,43.0,0.673,,,,,,,,,,,,,,,6.5109434376758895,5,92,232
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Albion,Brendan Mercier,,,,21,21,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,29.0,0.0,62.0,4.0,1234:00,166.0,0.0,1.0,80.0,125.0,0.0,59.0,20.0,39.0,0.64,,,,,,,,,,,,,,,6.163035989161035,6,91,265
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Albion,Andrew Miller,,,,21,19,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,49.0,9.0,1124:00,132.0,0.0,1.0,67.0,103.0,0.0,54.0,20.0,34.0,0.65,,,,,,,,,,,,,,,6.1016594213834745,7,90,262
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Calvin,Thomas Smith,,,,16,15,0.0,0.0,0.0,0.0,0.0,1.0,19.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,22.0,4.0,894:00,43.0,0.0,1.0,79.0,142.0,0.0,50.0,14.0,36.0,0.556,,,,,,,,,,,,,,,6.017883335773517,8,90,271
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Calvin,Braden Carpenter,,,,16,16,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,34.0,8.0,954:00,43.0,0.0,1.0,63.0,93.0,0.0,51.0,17.0,34.0,0.677,,,,,,,,,,,,,,,5.979343894698457,9,89,273
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Alma,Kevin Koenn,,,,14,14,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,0.0,44.0,5.0,834:00,43.0,0.0,1.0,42.0,76.0,0.0,50.0,33.0,17.0,0.553,,,,,,,,,,,,,,,5.9546889915326044,10,88,281
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Albion,Luke Schuemann,,,,21,0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,22.0,4.0,00:00,0.0,0.0,1.0,58.0,89.0,0.0,44.0,16.0,28.0,0.652,,,,,,,,,,,,,,,5.202632472645807,11,88,345
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Kalamazoo,Dylan Adkins,,,,14,1,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,31.0,3.0,60:00,0.0,0.0,1.0,58.0,90.0,0.0,46.0,16.0,30.0,0.644,,,,,,,,,,,,,,,5.169875141584198,12,87,353
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Kalamazoo,Logan Gillis,,,,13,13,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,38.0,0.0,44.0,3.0,770:00,34.0,0.0,1.0,55.0,103.0,0.0,45.0,23.0,22.0,0.534,,,,,,,,,,,,,,,4.98557607505136,13,87,382
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Calvin,Cole McKenney,,,,15,14,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,22.0,14.0,834:00,43.0,0.0,1.0,32.0,50.0,0.0,37.0,25.0,12.0,0.64,,,,,,,,,,,,,,,4.946174338461246,14,86,358
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Hope,Nick McCreery,,,,15,15,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,20.0,10.0,883:00,121.0,0.0,1.0,51.0,80.0,0.0,38.0,12.0,26.0,0.638,,,,,,,,,,,,,,,4.5967647652150845,15,86,413
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Hope,Gibson Heethuis,,,,16,15,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,25.0,0.0,46.0,3.0,883:00,121.0,0.0,1.0,46.0,82.0,0.0,44.0,23.0,21.0,0.561,,,,,,,,,,,,,,,4.557261534530925,16,85,434
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Hope,Sam Bowen,,,,15,9,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,16.0,4.0,526:00,81.0,0.0,1.0,44.0,64.0,0.0,38.0,18.0,20.0,0.688,,,,,,,,,,,,,,,4.484988547840888,17,85,433
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Trine,Rocco Curatola,,,,20,20,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,37.0,0.0,36.0,12.0,1198:00,97.0,0.0,1.0,36.0,75.0,0.0,37.0,18.0,19.0,0.48,,,,,,,,,,,,,,,4.2756323625660215,18,84,454
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Calvin,Jordan Warners,,,,16,15,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,18.0,1.0,894:00,43.0,0.0,1.0,34.0,55.0,0.0,36.0,22.0,14.0,0.618,,,,,,,,,,,,,,,4.135954875805967,19,84,499
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Adrian,Cameron Reed,,,,18,18,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,1.0,2.0,78.0,0.0,12.0,55.0,1080:00,103.0,3.0,1.0,17.0,28.0,0.0,17.0,5.0,12.0,0.607,,,,,,,,,,,,,,,4.072396116014706,20,84,409
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Calvin,Christian Coler,,,,16,16,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,10.0,11.0,954:00,43.0,0.0,1.0,33.0,44.0,0.0,28.0,8.0,20.0,0.75,,,,,,,,,,,,,,,3.959467583638738,21,83,508
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Trine,Jj Boos,,,,20,0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,21.0,3.0,00:00,0.0,0.0,1.0,64.0,98.0,0.0,37.0,6.0,31.0,0.653,,,,,,,,,,,,,,,3.950796245097264,22,83,537
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Trine,Vin Pantano,,,,20,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,20.0,1.0,00:00,0.0,0.0,1.0,40.0,63.0,0.0,34.0,25.0,9.0,0.635,,,,,,,,,,,,,,,3.851671552406834,23,82,552
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,mlax,Alma,MJ Humphreys,,,,13,12,0.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,38.0,4.0,714:00,43.0,0.0,1.0,63.0,121.0,0.0,41.0,5.0,36.0,0.521,,,,,,,,,,,,,,,3.7114599253281586,24,82,590
