conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,composite_score,rank,rating,global_rank
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Tufts,Jack Regnery,,,,20,20,0.0,0.0,0.0,0.0,0.0,2.0,40.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,28.0,2.0,1205:00,81.0,0.0,1.0,,,,,,,,,,,,,,,133.0,249.0,0.0,103.0,25.0,78.0,0.534,13.940505674023148,1,99,10
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Bowdoin,Patrick Fitzgerald,,,,20,19,0.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,36.0,0.0,24.0,3.0,1145:00,61.0,0.0,1.0,,,,,,,,,,,,,,,149.0,218.0,0.0,99.0,15.0,84.0,0.683,13.324436236635478,2,97,19
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Bowdoin,Casey Ryan,,,,20,20,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,0.0,45.0,8.0,1205:00,61.0,0.0,1.0,,,,,,,,,,,,,,,62.0,115.0,0.0,91.0,65.0,26.0,0.539,12.903901765604928,3,96,20
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Wesleyan,Jack Raba,,,,19,19,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,38.0,5.0,1141:00,26.0,0.0,1.0,,,,,,,,,,,,,,,35.0,53.0,0.0,86.0,62.0,24.0,0.66,12.157231446247673,4,95,26
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Tufts,Brooks Hauser,,,,23,23,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,37.0,0.0,34.0,4.0,1387:00,137.0,0.0,1.0,,,,,,,,,,,,,,,93.0,168.0,0.0,81.0,27.0,54.0,0.554,10.640300888560992,5,94,46
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Tufts,Max Ettinghausen,,,,23,23,0.0,0.0,0.0,0.0,1.0,3.0,16.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,0.0,27.0,3.0,1387:00,137.0,0.0,1.0,,,,,,,,,,,,,,,98.0,164.0,0.0,77.0,15.0,62.0,0.598,10.041549268192114,6,94,62
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Middlebury,Billy Curtis,,,,18,18,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,31.0,7.0,1082:00,4.0,0.0,1.0,,,,,,,,,,,,,,,75.0,113.0,0.0,69.0,33.0,36.0,0.664,9.291731760070135,7,93,88
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Bowdoin,Jason Lach,,,,20,19,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,39.0,0.0,23.0,15.0,1145:00,61.0,0.0,1.0,,,,,,,,,,,,,,,102.0,158.0,0.0,64.0,17.0,47.0,0.646,9.050303883876685,8,93,101
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Wesleyan,CK Giancola,,,,18,16,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,24.0,5.0,961:00,26.0,0.0,1.0,,,,,,,,,,,,,,,86.0,179.0,0.0,68.0,13.0,55.0,0.48,8.508858306757686,9,92,113
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Tufts,Charlie Tagliaferri,,,,23,1,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,19.0,1.0,60:00,38.0,0.0,1.0,,,,,,,,,,,,,,,76.0,123.0,0.0,62.0,30.0,32.0,0.618,8.406237585606418,10,92,117
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Tufts,Will Emsing,,,,23,1,0.0,0.0,0.0,0.0,0.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,6.0,60:00,38.0,0.0,1.0,,,,,,,,,,,,,,,44.0,79.0,0.0,56.0,27.0,29.0,0.557,7.404650948330641,11,92,170
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Tufts,Garrett Kelly,,,,22,1,0.0,0.0,0.0,0.0,2.0,0.0,32.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,21.0,4.0,60:00,38.0,0.0,1.0,,,,,,,,,,,,,,,66.0,110.0,0.0,57.0,16.0,41.0,0.6,7.16085003556472,12,91,182
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Wesleyan,Will Miller,,,,18,17,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,19.0,2.0,1021:00,26.0,0.0,1.0,,,,,,,,,,,,,,,57.0,116.0,0.0,54.0,23.0,31.0,0.491,6.83059120818709,13,91,203
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Wesleyan,Ben Burns,,,,19,19,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,16.0,8.0,1141:00,26.0,0.0,1.0,,,,,,,,,,,,,,,75.0,144.0,0.0,53.0,8.0,45.0,0.521,6.830420054067943,14,90,205
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Williams,Harrison Cross,,,,17,16,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,29.0,1.0,962:00,81.0,0.0,1.0,,,,,,,,,,,,,,,79.0,111.0,0.0,56.0,18.0,38.0,0.712,6.7547445088241975,15,90,201
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Williams,Jesse Shapiro,,,,17,17,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,30.0,0.0,31.0,1.0,1022:00,81.0,0.0,1.0,,,,,,,,,,,,,,,86.0,135.0,0.0,57.0,10.0,47.0,0.637,6.438383151809,16,90,221
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Trinity,Bo Page,,,,17,17,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,34.0,0.0,27.0,3.0,1010:00,77.0,0.0,1.0,,,,,,,,,,,,,,,70.0,117.0,0.0,52.0,16.0,36.0,0.598,6.302900435100573,17,90,240
nescac,New England Small College Athletic Conference (NESCAC),2025-26,mlax,Bates,Riley McClure,,,,16,15,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,22.0,7.0,885:00,150.0,0.0,1.0,,,,,,,,,,,,,,,76.0,118.0,0.0,49.0,14.0,35.0,0.644,6.161375628263364,18,89,258
