conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,composite_score,rank,rating,global_rank
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Baldwin Wallace,Bennet Trout,,,,18,18,0.0,0.0,0.0,0.0,0.0,1.0,36.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,35.0,15.0,1035:00,62.0,0.0,1.0,,,,,,,,,,,,,,,84.0,135.0,0.0,96.0,43.0,53.0,0.622,14.54473898570912,1,99,9
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Mount Union,Talen Osmun,,,,17,17,0.0,0.0,0.0,0.0,0.0,2.0,26.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,23.0,0.0,24.0,8.0,1007:00,110.0,0.0,1.0,,,,,,,,,,,,,,,104.0,150.0,0.0,83.0,12.0,71.0,0.693,10.575247658937341,2,96,41
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Ohio Northern,Colin Willits,,,,21,21,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,52.0,0.0,27.0,20.0,1244:00,104.0,0.0,1.0,,,,,,,,,,,,,,,81.0,125.0,0.0,68.0,13.0,55.0,0.648,9.582028588952912,3,94,76
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Baldwin Wallace,Noah Dodgion,,,,18,18,0.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,39.0,0.0,22.0,2.0,1079:00,47.0,0.0,1.0,,,,,,,,,,,,,,,90.0,136.0,0.0,71.0,15.0,56.0,0.662,9.09759415332837,4,93,89
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Ohio Northern,Mitchel Luck,,,,21,20,0.0,0.0,0.0,0.0,0.0,4.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,22.0,7.0,1184:00,104.0,0.0,1.0,,,,,,,,,,,,,,,57.0,98.0,0.0,62.0,25.0,37.0,0.582,8.7688880193207,5,92,109
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Baldwin Wallace,Paxton Allison,,,,17,17,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,35.0,0.0,16.0,12.0,1019:00,47.0,0.0,1.0,,,,,,,,,,,,,,,62.0,110.0,0.0,59.0,25.0,34.0,0.564,8.73428532560122,6,92,112
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Ohio Northern,Caleb Bennett,,,,21,21,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,41.0,7.0,1244:00,104.0,0.0,1.0,,,,,,,,,,,,,,,53.0,76.0,0.0,61.0,31.0,30.0,0.697,8.227940714534068,7,91,128
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Marietta,Nate Neal,,,,16,15,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,43.0,49.0,47.0,0.0,27.0,3.0,898:00,95.0,92.0,1.0,,,,,,,,,,,,,,,87.0,147.0,0.0,60.0,14.0,46.0,0.592,7.484202984606151,8,90,147
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Mount Union,Spencer Logsdon,,,,17,17,0.0,0.0,0.0,0.0,0.0,2.0,18.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,23.0,0.0,33.0,4.0,1007:00,110.0,0.0,1.0,,,,,,,,,,,,,,,57.0,81.0,0.0,60.0,24.0,36.0,0.704,7.4244321839612235,9,90,167
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Otterbein,Max Graham,,,,14,13,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,36.0,0.0,17.0,6.0,780:00,0.0,0.0,1.0,,,,,,,,,,,,,,,81.0,136.0,0.0,54.0,10.0,44.0,0.596,6.833704874797584,10,89,189
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Baldwin Wallace,Reichen Geiselhart,,,,18,17,0.0,0.0,0.0,0.0,0.0,2.0,11.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,18.0,1.0,1019:00,47.0,0.0,1.0,,,,,,,,,,,,,,,66.0,117.0,0.0,57.0,11.0,46.0,0.564,6.707928382217579,11,89,195
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Capital,Mason Spaulding,,,,15,14,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,41.0,15.0,840:00,0.0,0.0,1.0,,,,,,,,,,,,,,,78.0,117.0,0.0,55.0,12.0,43.0,0.667,6.581918670698008,12,88,209
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Marietta,Chase Franklin,,,,16,16,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,34.0,0.0,45.0,12.0,958:00,95.0,0.0,1.0,,,,,,,,,,,,,,,65.0,104.0,0.0,54.0,19.0,35.0,0.625,6.424188952032034,13,88,233
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Mount Union,Liam Erwin,,,,17,17,0.0,0.0,0.0,0.0,0.0,2.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,16.0,14.0,1007:00,110.0,0.0,1.0,,,,,,,,,,,,,,,52.0,68.0,0.0,47.0,15.0,32.0,0.765,6.402794364918337,14,87,237
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Mount Union,Grant Dunmire,,,,17,17,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,10.0,3.0,1007:00,110.0,0.0,1.0,,,,,,,,,,,,,,,55.0,117.0,0.0,41.0,17.0,24.0,0.47,5.166778873745851,15,87,346
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Otterbein,Dom Dean,,,,13,12,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,19.0,0.0,30.0,5.0,720:00,0.0,0.0,1.0,,,,,,,,,,,,,,,53.0,81.0,0.0,44.0,17.0,27.0,0.654,4.915984490965265,16,86,374
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Mount Union,Braylon Li,,,,16,8,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,12.0,4.0,476:00,50.0,1.0,1.0,,,,,,,,,,,,,,,52.0,99.0,0.0,39.0,10.0,29.0,0.525,4.360240470491461,17,86,428
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Marietta,Aiden Evans,,,,15,15,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,22.0,3.0,898:00,95.0,0.0,1.0,,,,,,,,,,,,,,,58.0,92.0,0.0,40.0,9.0,31.0,0.63,4.283203210930627,18,85,436
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Muskingum,Evan Cosgrove,,,,14,14,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44.0,0.0,34.0,5.0,840:00,0.0,0.0,1.0,,,,,,,,,,,,,,,32.0,82.0,0.0,33.0,19.0,14.0,0.39,3.7530480353120774,19,85,594
