conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,composite_score,rank,rating,global_rank
usa_south_athletic_confe,USA South Athletic Conference,2025-26,mlax,Southern Virginia,Tyson Mauri,,,,18,18,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,57.0,0.0,52.0,13.0,1056:00,247.0,0.0,1.0,68.0,108.0,0.0,95.0,59.0,36.0,0.63,,,,,,,,,,,,,,,12.242162413256507,1,99,13
usa_south_athletic_confe,USA South Athletic Conference,2025-26,mlax,Pfeiffer,Ethan Miles,,,,17,16,0.0,0.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,25.0,1.0,31.0,9.0,961:00,232.0,0.0,1.0,88.0,127.0,0.0,95.0,39.0,56.0,0.693,,,,,,,,,,,,,,,11.754416974216207,2,95,18
usa_south_athletic_confe,USA South Athletic Conference,2025-26,mlax,Pfeiffer,Mason Tardiff,,,,19,17,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,21.0,11.0,1012:00,256.0,0.0,1.0,79.0,114.0,0.0,81.0,27.0,54.0,0.693,,,,,,,,,,,,,,,9.985729413539072,3,94,34
usa_south_athletic_confe,USA South Athletic Conference,2025-26,mlax,Pfeiffer,Andrew Brown,,,,19,19,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,23.0,5.0,1132:00,280.0,0.0,1.0,75.0,110.0,0.0,82.0,34.0,48.0,0.682,,,,,,,,,,,,,,,9.872392863638522,4,93,35
usa_south_athletic_confe,USA South Athletic Conference,2025-26,mlax,Greensboro,Justin Barry,,,,18,18,0.0,0.0,0.0,0.0,0.0,1.0,26.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,43.0,0.0,56.0,7.0,1060:00,136.0,0.0,1.0,94.0,174.0,0.0,85.0,26.0,59.0,0.54,,,,,,,,,,,,,,,9.356511496922092,5,92,47
usa_south_athletic_confe,USA South Athletic Conference,2025-26,mlax,Pfeiffer,Zach Gignac,,,,18,18,0.0,0.0,0.0,0.0,0.0,2.0,17.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,35.0,0.0,23.0,7.0,1072:00,270.0,2.0,1.0,54.0,79.0,0.0,61.0,28.0,33.0,0.684,,,,,,,,,,,,,,,7.335361927959541,6,91,115
usa_south_athletic_confe,USA South Athletic Conference,2025-26,mlax,Methodist,Jay Legg,,,,19,19,0.0,0.0,0.0,0.0,0.0,2.0,23.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,32.0,6.0,1140:00,76.0,0.0,1.0,82.0,133.0,0.0,60.0,15.0,45.0,0.617,,,,,,,,,,,,,,,6.635524650078661,7,90,150
usa_south_athletic_confe,USA South Athletic Conference,2025-26,mlax,Piedmont,Isaac Harrington,,,,15,14,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,19.0,0.0,14.0,3.0,778:00,144.0,1.0,1.0,61.0,107.0,0.0,57.0,22.0,35.0,0.57,,,,,,,,,,,,,,,6.533184680378161,8,90,154
usa_south_athletic_confe,USA South Athletic Conference,2025-26,mlax,Piedmont,Ian Parr,,,,15,15,0.0,0.0,0.0,0.0,0.0,1.0,11.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,44.0,9.0,875:00,166.0,0.0,1.0,67.0,112.0,0.0,60.0,23.0,37.0,0.598,,,,,,,,,,,,,,,6.190746096924149,9,89,184
usa_south_athletic_confe,USA South Athletic Conference,2025-26,mlax,Pfeiffer,Khyler Johnson,,,,19,5,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0,14.0,4.0,292:00,90.0,0.0,1.0,64.0,81.0,0.0,54.0,19.0,35.0,0.79,,,,,,,,,,,,,,,6.038345342834243,10,88,192
usa_south_athletic_confe,USA South Athletic Conference,2025-26,mlax,William Peace,William English,,,,14,2,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,36.0,5.0,275:00,153.0,0.0,1.0,59.0,103.0,0.0,53.0,28.0,25.0,0.573,,,,,,,,,,,,,,,5.378970123913849,11,88,246
usa_south_athletic_confe,USA South Athletic Conference,2025-26,mlax,Huntingdon,Kelcey Marston,,,,14,14,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,40.0,3.0,840:00,0.0,0.0,1.0,59.0,90.0,0.0,54.0,24.0,30.0,0.656,,,,,,,,,,,,,,,5.346978406564448,12,87,250
usa_south_athletic_confe,USA South Athletic Conference,2025-26,mlax,William Peace,Jamar Bell,,,,14,14,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,23.0,10.0,820:00,191.0,0.0,1.0,53.0,80.0,0.0,47.0,10.0,37.0,0.663,,,,,,,,,,,,,,,5.158431819691727,13,87,270
usa_south_athletic_confe,USA South Athletic Conference,2025-26,mlax,Pfeiffer,Dylan Sullivan,,,,19,1,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,24.0,6.0,60:00,0.0,0.0,1.0,38.0,54.0,0.0,44.0,17.0,27.0,0.704,,,,,,,,,,,,,,,4.461482139026076,14,86,334
usa_south_athletic_confe,USA South Athletic Conference,2025-26,mlax,Methodist,Cy Horner,,,,19,18,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,25.0,0.0,24.0,6.0,1080:00,76.0,2.0,1.0,72.0,126.0,0.0,44.0,12.0,32.0,0.571,,,,,,,,,,,,,,,4.413603856190134,15,86,344
usa_south_athletic_confe,USA South Athletic Conference,2025-26,mlax,William Peace,Brandon Goad,,,,14,11,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,0.0,0.0,2.0,2.0,34.0,0.0,23.0,21.0,556:00,236.0,4.0,1.0,45.0,76.0,0.0,37.0,10.0,27.0,0.592,,,,,,,,,,,,,,,4.30631053152542,16,85,365
