conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,composite_score,rank,rating,global_rank
lec,Little East Conference (LEC),2025-26,msoc,Western Connecticut,Nickolas Santana,0,,11,21,19,0.0,0.0,31.0,67.0,43.0,5.0,19.0,1.0,1.0,3.19,1.48,2.05,0.905,0.238,12.0,0.0,0.0,0.0,8.0,1.0,6.0,0.286,4.0,0.0,2.0,0.0,0.19,0.1,0.0,0.0,0.0,,1189:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,18.069374506360667,1,99,11
lec,Little East Conference (LEC),2025-26,msoc,UMass Boston,"Arruda, John",0,,9,20,11,0.0,0.0,23.0,57.0,26.0,4.0,11.0,0.0,0.0,2.85,1.15,1.3,0.55,0.2,12.0,0.0,0.0,0.0,3.0,4.0,1.0,0.05,15.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,,1041:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,10.987269095622251,2,96,82
lec,Little East Conference (LEC),2025-26,msoc,UMass Boston,"Doherty, Ryan",0,,27,20,15,0.0,0.0,20.0,47.0,23.0,7.0,8.0,1.0,0.0,2.35,1.0,1.15,0.4,0.35,12.0,1.0,1.0,0.0,1.0,3.0,3.0,0.15,22.0,0.0,2.0,0.0,1.1,0.1,0.0,0.0,0.0,,1196:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,10.176462408225495,3,94,106
lec,Little East Conference (LEC),2025-26,msoc,VTSU Castleton,Matt Spiller,0,,16,16,16,0.0,0.0,16.0,29.0,18.0,8.0,5.0,1.0,1.0,1.81,1.0,1.13,0.313,0.5,11.0,0.0,0.0,0.0,1.0,2.0,2.0,0.125,4.0,0.0,2.0,0.0,0.25,0.13,0.0,0.0,0.0,,1100:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,8.27809415551068,4,93,178
lec,Little East Conference (LEC),2025-26,msoc,Eastern Connecticut,"Kadlof, Sebastian",0,,8,17,16,0.0,0.0,11.0,29.0,17.0,9.0,4.0,0.0,0.0,1.71,0.65,1.0,0.235,0.529,7.0,1.0,0.0,0.0,2.0,2.0,2.0,0.118,7.0,0.0,1.0,0.0,0.41,0.06,0.0,0.0,0.0,,1230:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,8.052645072878693,5,92,186
lec,Little East Conference (LEC),2025-26,msoc,Southern Maine,Alex Graver,0,,26,12,11,0.0,0.0,16.0,37.0,19.0,3.0,8.0,4.0,3.0,3.08,1.33,1.58,0.667,0.25,8.0,2.0,1.0,0.0,2.0,3.0,1.0,0.083,1.0,0.0,3.0,0.0,0.08,0.25,0.0,0.0,0.0,,980:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,7.337886681056975,6,91,240
lec,Little East Conference (LEC),2025-26,msoc,Western Connecticut,Matthews Rocha,0,,20,21,14,0.0,0.0,12.0,28.0,17.0,3.0,7.0,0.0,0.0,1.33,0.57,0.81,0.333,0.143,5.0,0.0,0.0,0.0,1.0,2.0,1.0,0.048,4.0,0.0,1.0,0.0,0.19,0.05,0.0,0.0,0.0,,981:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,6.625334654019347,7,91,286
lec,Little East Conference (LEC),2025-26,msoc,UMass Dartmouth,"Jordan, Daniel",0,,17,18,4,0.0,0.0,21.0,30.0,16.0,2.0,7.0,1.0,0.0,1.67,1.17,0.89,0.389,0.111,14.0,1.0,1.0,0.0,0.0,2.0,2.0,0.111,6.0,0.0,1.0,0.0,0.33,0.06,0.0,0.0,0.0,,605:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,6.3229370845261865,8,90,314
lec,Little East Conference (LEC),2025-26,msoc,Eastern Connecticut,"Melgar, Eliot",0,,14,17,14,0.0,0.0,18.0,32.0,15.0,3.0,6.0,1.0,1.0,1.88,1.06,0.88,0.353,0.176,12.0,1.0,0.0,0.0,0.0,1.0,2.0,0.118,6.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,,1078:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,6.173058452898714,9,89,335
lec,Little East Conference (LEC),2025-26,msoc,UMass Boston,"Lima, Ryan",0,,8,15,13,0.0,0.0,22.0,44.0,13.0,5.0,4.0,1.0,1.0,2.93,1.47,0.87,0.267,0.333,18.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,1.0,0.0,0.6,0.07,0.0,0.0,0.0,,870:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.898424157349614,10,89,368
