conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,composite_score,rank,rating,global_rank
arc,American Rivers Conference (ARC),2025-26,softball,Simpson,Megan Heidelbauer,,,,43,43,144.0,56.0,71.0,68.0,14.0,6.0,15.0,15.0,3.0,7.0,10.0,1.0,14.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.557,142.0,172.0,14.0,1.0,0.493,0.986,357.0,13.0,2.0,0.0,0.0,0.0,0.0,22.0,0.0,372.0,0.995,0.0,0.0,6.0,5.0,26.0,37.0,"25,41",0.61,25.0,41.0,"45,88",0.51,45.0,88.0,"39,72",0.54,39.0,72.0,"4,11",0.36,4.0,11.0,0.0,0.0,0.0,0.0,"11,16","8,18","68,104",60,0.0,0.0,0.0,0,0.0,0.0,0.0,17.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.603539673971996,1,99,3
arc,American Rivers Conference (ARC),2025-26,softball,Simpson,Ashlyn Steen,,,,43,43,147.0,66.0,72.0,34.0,12.0,5.0,5.0,15.0,0.0,7.0,9.0,3.0,29.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,109.0,173.0,32.0,0.906,0.49,0.741,45.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,0.979,0.0,0.0,6.0,8.0,30.0,30.0,"21,38",0.55,21.0,38.0,"31,66",0.47,31.0,66.0,"18,43",0.42,18.0,43.0,"3,8",0.38,3.0,8.0,0.0,0.0,0.0,0.0,"41,65","7,9","50,76",96,0.0,0.0,0.0,0,0.0,0.0,0.0,9.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.21674137867762,2,95,32
arc,American Rivers Conference (ARC),2025-26,softball,Simpson,Alexis Ehlers,,,,43,44,131.0,33.0,45.0,41.0,16.0,0.0,8.0,24.0,1.0,4.0,15.0,7.0,11.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445,85.0,166.0,12.0,0.917,0.344,0.649,72.0,108.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,194.0,0.928,0.0,0.0,3.0,2.0,19.0,56.0,"17,55",0.31,17.0,55.0,"27,85",0.32,27.0,85.0,"19,63",0.3,19.0,63.0,"2,10",0.2,2.0,10.0,0.0,0.0,0.0,0.0,"4,11","14,22","50,98",38,0.0,0.0,0.0,0,0.0,0.0,0.0,15.0,36.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.509076190694377,3,93,63
arc,American Rivers Conference (ARC),2025-26,softball,Wartburg,Sydney Fellows,,,,42,42,138.0,42.0,57.0,27.0,9.0,0.0,8.0,22.0,0.0,1.0,16.0,6.0,9.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497,90.0,163.0,13.0,0.692,0.413,0.652,34.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.975,0.0,0.0,7.0,3.0,27.0,33.0,"14,28",0.5,14.0,28.0,"21,49",0.43,21.0,49.0,"14,36",0.39,14.0,36.0,"5,19",0.26,5.0,19.0,0.0,0.0,0.0,0.0,"42,76","4,9","31,54",13,0.0,0.0,0.0,0,0.0,0.0,0.0,7.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.325650989047228,4,92,65
arc,American Rivers Conference (ARC),2025-26,softball,Luther,Raven Allen,,,,41,41,145.0,44.0,56.0,25.0,10.0,1.0,3.0,22.0,0.0,0.0,11.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.467,77.0,168.0,14.0,0.929,0.386,0.531,71.0,95.0,15.0,0.0,0.0,0.0,0.0,5.0,0.0,181.0,0.917,0.0,0.0,7.0,6.0,38.0,34.0,"15,43",0.35,15.0,43.0,"25,65",0.38,25.0,65.0,"18,43",0.42,18.0,43.0,"3,9",0.33,3.0,9.0,0.0,0.0,0.0,0.0,"26,56","6,7","38,70",153,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,31.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.725592337774896,5,91,176
arc,American Rivers Conference (ARC),2025-26,softball,Univ. of Dubuque,Stevenson Grace,,,,38,38,132.0,43.0,43.0,25.0,11.0,2.0,5.0,13.0,0.0,3.0,11.0,2.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.396,73.0,153.0,5.0,1.0,0.326,0.553,58.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.924,0.0,0.0,6.0,8.0,34.0,42.0,"11,33",0.33,11.0,33.0,"28,80",0.35,28.0,80.0,"14,42",0.33,14.0,42.0,"7,16",0.44,7.0,16.0,0.0,0.0,0.0,0.0,"8,20","9,17","43,90",80,0.0,0.0,0.0,0,0.0,0.0,0.0,11.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.553390981950051,6,90,188
arc,American Rivers Conference (ARC),2025-26,softball,Coe,Marisa Vodicka,,,,40,40,108.0,28.0,28.0,29.0,8.0,0.0,8.0,20.0,0.0,1.0,20.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.371,60.0,132.0,0.0,0.0,0.259,0.556,77.0,53.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,139.0,0.935,0.0,0.0,7.0,3.0,22.0,35.0,"10,30",0.33,10.0,30.0,"15,65",0.23,15.0,65.0,"12,46",0.26,12.0,46.0,"4,14",0.29,4.0,14.0,0.0,0.0,0.0,0.0,"10,23","7,12","37,76",7,0.0,0.0,0.0,0,0.0,0.0,0.0,15.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.341122614782869,7,89,202
arc,American Rivers Conference (ARC),2025-26,softball,Simpson,Kate Kriegel,,,,42,42,95.0,35.0,26.0,28.0,5.0,1.0,7.0,32.0,0.0,0.0,24.0,7.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.453,54.0,132.0,6.0,1.0,0.274,0.568,78.0,71.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,161.0,0.925,0.0,0.0,3.0,1.0,18.0,28.0,"9,32",0.28,9.0,32.0,"14,54",0.26,14.0,54.0,"11,42",0.26,11.0,42.0,"0,6",0.0,0.0,6.0,0.0,0.0,0.0,0.0,"16,27","7,17","31,68",28,0.0,0.0,0.0,0,0.0,0.0,0.0,11.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.290920996656913,8,88,213
arc,American Rivers Conference (ARC),2025-26,softball,Central,Haley Bach,,,,36,34,115.0,38.0,51.0,30.0,7.0,3.0,0.0,16.0,1.0,3.0,10.0,1.0,20.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522,64.0,136.0,25.0,0.8,0.443,0.557,69.0,61.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,133.0,0.977,0.0,0.0,3.0,4.0,26.0,25.0,"15,29",0.52,15.0,29.0,"24,54",0.44,24.0,54.0,"19,42",0.45,19.0,42.0,"1,3",0.33,1.0,3.0,0.0,0.0,0.0,0.0,"32,54","7,11","41,59",227,0.0,0.0,0.0,1,0.0,0.0,0.0,13.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9075217422639144,9,87,294
arc,American Rivers Conference (ARC),2025-26,softball,Nebraska Wesleyan,Lyndsey Roth,,,,43,43,119.0,31.0,52.0,33.0,15.0,2.0,3.0,28.0,1.0,0.0,15.0,8.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.537,80.0,151.0,4.0,0.75,0.437,0.672,54.0,9.0,0.0,2.0,0.0,9.0,2.0,1.0,0.0,63.0,1.0,11.0,0.818,3.0,8.0,21.0,28.0,"12,38",0.32,12.0,38.0,"30,72",0.42,30.0,72.0,"24,52",0.46,24.0,52.0,"1,7",0.14,1.0,7.0,0.0,0.0,0.0,0.0,"12,16","9,14","51,82",24,0.0,0.0,0.0,22,0.0,0.0,0.0,11.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9019575926833845,10,86,275
