conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,composite_score,rank,rating,global_rank
odac,Old Dominion Athletic Conference (ODAC),2025-26,softball,Virginia Wesleyan,Morgan Tucker,,,,55,51,155,37,74,76,15,5,5,11,0,0,8,5,6,1,1,4,0,0,0,0,0,0,0,0.5,114,171,7,0.857,0.477,0.735,95,6,1,0,0,0,0,4,0,102,0.99,0,0.0,10,4,25,43,"20,43",0.47,20,43,"45,92",0.49,45,92,"39,79",0.49,39,79,"9,15",0.6,9,15,0,0,0,0,"18,34","25,31","73,101",376,0.0,0,0,169,0.0,0,0,22,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.099971758060704,1,99,30
odac,Old Dominion Athletic Conference (ODAC),2025-26,softball,Virginia Wesleyan,Laci Campbell,,,,56,56,149,69,58,33,4,3,2,25,0,11,5,4,52,1,1,4,0,0,0,1,0,2,0,0.497,74,190,53,0.981,0.389,0.497,82,72,2,0,0,0,0,6,0,156,0.987,0,0.0,2,14,37,49,"20,51",0.39,20,51,"31,88",0.35,31,88,"22,62",0.35,22,62,"2,12",0.17,2,12,0,0,0,0,"9,24","19,29","60,103",56,0.0,0,0,0,0.0,0,0,15,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.650058610786761,2,95,34
odac,Old Dominion Athletic Conference (ODAC),2025-26,softball,Randolph-Macon College,Amanda Lanyon,,,,56,56,193,47,68,31,17,2,4,9,0,7,10,6,25,2,3,2,0,0,0,0,0,2,0,0.398,101,214,27,0.926,0.352,0.523,91,1,1,0,0,0,0,0,0,93,0.989,0,0.0,7,2,35,78,"20,57",0.35,20,57,"27,75",0.36,27,75,"20,43",0.47,20,43,"8,23",0.35,8,23,0,0,0,0,"39,84","8,12","43,84",75,0.0,0,0,0,0.0,0,0,13,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.760274227552203,3,94,62
odac,Old Dominion Athletic Conference (ODAC),2025-26,softball,Virginia Wesleyan,Mackenzie Myers,,,,53,53,138,43,49,49,11,4,3,23,0,3,16,5,26,3,3,10,0,0,0,0,0,1,0,0.431,77,177,29,0.897,0.355,0.558,31,65,9,0,0,0,0,2,0,105,0.914,0,0.0,3,6,24,58,"14,41",0.34,14,41,"28,82",0.34,28,82,"25,65",0.38,25,65,"5,11",0.45,5,11,0,0,0,0,"8,21","26,31","56,101",98,0.0,0,0,22,0.0,0,0,23,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.247337919944047,4,93,67
odac,Old Dominion Athletic Conference (ODAC),2025-26,softball,Randolph-Macon College,Tori Powell,,,,56,56,157,43,49,34,12,1,6,18,0,2,28,7,15,1,6,3,0,0,0,0,0,0,0,0.383,81,186,16,0.938,0.312,0.516,116,66,11,0,0,0,0,3,0,193,0.943,0,0.0,8,9,32,49,"14,48",0.29,14,48,"25,84",0.3,25,84,"22,66",0.33,22,66,"5,17",0.29,5,17,0,0,0,0,"16,32","11,13","56,101",155,0.0,0,0,0,0.0,0,0,14,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.105189567630336,5,92,89
odac,Old Dominion Athletic Conference (ODAC),2025-26,softball,Virginia Wesleyan,Olivia Knight,,,,51,47,126,23,47,32,8,0,6,16,0,5,9,2,3,1,1,1,0,0,0,0,1,1,0,0.459,73,149,4,0.75,0.373,0.579,159,20,4,4,0,16,8,1,0,183,0.978,24,0.667,3,3,22,47,"16,51",0.31,16,51,"25,81",0.31,25,81,"17,55",0.31,17,55,"5,12",0.42,5,12,0,0,0,0,"15,18","11,20","39,86",186,0.0,0,0,6,0.0,0,0,10,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2852082427698885,6,91,171
odac,Old Dominion Athletic Conference (ODAC),2025-26,softball,Lynchburg,Sarah Watts,,,,43,43,132,35,44,31,11,2,5,19,0,0,13,4,11,2,0,1,0,0,0,1,0,1,0,0.414,74,152,13,0.846,0.333,0.561,72,75,11,0,0,0,0,8,0,158,0.93,0,0.0,5,5,26,45,"5,40",0.13,5,40,"26,77",0.34,26,77,"15,45",0.33,15,45,"3,11",0.27,3,11,0,0,0,0,"17,24","5,6","44,83",1,0.0,0,0,0,0.0,0,0,12,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.217126272901257,7,90,145
odac,Old Dominion Athletic Conference (ODAC),2025-26,softball,Eastern Mennonite University,Meaghan Dean,,,,38,38,126,13,55,25,9,0,6,6,0,3,4,0,0,1,0,1,0,0,0,2,0,3,0,0.471,82,136,1,0.0,0.437,0.651,167,2,2,0,0,0,0,4,0,171,0.988,0,0.0,3,4,28,35,"20,43",0.47,20,43,"34,77",0.44,34,77,"21,51",0.41,21,51,"3,4",0.75,3,4,0,0,0,0,"10,16","6,14","48,80",14,0.0,0,0,22,0.0,0,0,11,16,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,99.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,"2,2","1,1",0.0,0,5.821641662500837,8,89,230
odac,Old Dominion Athletic Conference (ODAC),2025-26,softball,Virginia Wesleyan,Sarah Prosser,,,,56,56,170,57,59,24,8,0,0,18,0,2,17,4,36,6,1,0,0,0,0,0,0,1,0,0.416,67,191,42,0.857,0.347,0.394,53,4,3,0,0,0,0,0,0,60,0.95,0,0.0,11,7,63,22,"13,33",0.39,13,33,"33,78",0.42,33,78,"29,62",0.47,29,62,"7,14",0.5,7,14,0,0,0,0,"30,71","12,20","57,81",52,0.0,0,0,0,0.0,0,0,16,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.318549902420257,9,88,130
odac,Old Dominion Athletic Conference (ODAC),2025-26,softball,Randolph-Macon College,Reagan Hill,,,,56,56,171,28,57,28,8,0,3,11,0,2,12,3,8,0,5,1,0,0,0,0,0,1,0,0.378,74,190,8,1.0,0.333,0.433,325,5,4,0,0,0,0,2,0,334,0.988,0,0.0,9,10,45,51,"14,51",0.27,14,51,"33,100",0.33,33,100,"23,69",0.33,23,69,"4,18",0.22,4,18,0,0,0,0,"15,34","9,14","58,108",73,0.0,0,0,0,0.0,0,0,22,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.987370399126018,10,88,254
