conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Kirkham,Caydee",0,G,4,26,26,185,393,49,127,91,79,498,0,40,148,893,19,129,148,51,2,94,0,0,0.47,0.39,0.87,19.15,5.69,5.69,1.54,0.0,3.6153846153846154,13.420527672812261,1,99,19
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Strum,Haylie",0,G,0,27,27,156,342,21,77,115,90,423,32,62,112,916,42,98,140,80,0,80,2,0,0.46,0.27,0.78,15.67,5.19,4.15,2.3,1.19,2.962962962962963,11.899663311201701,2,95,47
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Krager,Bradi",0,G,22,27,27,152,296,37,101,104,83,424,18,54,49,866,75,129,204,57,0,56,0,0,0.51,0.37,0.8,15.7,7.56,1.81,2.0,0.67,2.074074074074074,11.41671645475723,3,93,69
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Beaver,Natalie",0,F,5,24,24,144,316,39,122,79,63,390,20,33,32,708,54,138,192,47,0,57,3,0,0.46,0.32,0.8,16.25,8.0,1.33,1.38,0.83,2.375,11.122582040908998,4,92,85
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Helmrichs,Audrie",0,F,33,26,26,176,263,0,3,82,63,415,8,21,29,769,84,119,203,67,0,53,1,0,0.67,0.0,0.77,15.96,7.81,1.12,0.81,0.31,2.0384615384615383,10.66839442329443,5,91,99
arc,American Rivers Conference (ARC),2025-26,wbball,Wartburg,"Boulanger,Katie",0,G,8,27,27,157,320,61,129,100,85,460,10,35,20,738,62,73,135,45,0,64,1,0,0.49,0.47,0.85,17.04,5.0,0.74,1.3,0.37,2.3703703703703702,9.880666282005166,6,90,165
arc,American Rivers Conference (ARC),2025-26,wbball,Loras,"Wagner,Claire",0,F,12,25,25,157,296,1,12,69,52,367,8,29,18,655,67,122,189,50,0,39,1,0,0.53,0.08,0.75,14.68,7.56,0.72,1.16,0.32,1.56,9.762131319877113,7,89,174
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"DeVault,Maddax",0,G,10,26,26,170,409,50,159,68,60,450,1,54,75,814,9,46,55,46,0,93,0,0,0.42,0.31,0.88,17.31,2.12,2.88,2.08,0.04,3.576923076923077,9.713796866797274,8,88,171
arc,American Rivers Conference (ARC),2025-26,wbball,Loras,"Kelderman,Ashtyn",0,G,15,25,25,108,256,48,127,49,38,302,41,53,52,731,22,95,117,43,0,27,0,0,0.42,0.38,0.78,12.08,4.68,2.08,2.12,1.64,1.08,9.507643343437927,9,88,183
arc,American Rivers Conference (ARC),2025-26,wbball,Univ. of Dubuque,"Simonetti,Christina",0,F,31,25,19,108,247,0,1,128,90,306,18,25,21,628,94,151,245,79,0,65,3,0,0.44,0.0,0.7,12.24,9.8,0.84,1.0,0.72,2.6,8.666050241855816,10,87,333
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Walker,Mary",0,G,10,27,27,128,322,37,126,108,74,367,7,41,58,857,29,73,102,59,0,80,0,0,0.4,0.29,0.69,13.59,3.78,2.15,1.52,0.26,2.962962962962963,7.7980745512584235,11,86,414
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Anderson,Ella",0,F,42,26,26,113,183,8,26,43,25,259,4,40,39,800,74,99,173,31,0,37,0,0,0.62,0.31,0.58,9.96,6.65,1.5,1.54,0.15,1.4230769230769231,7.465374548025423,12,86,453
arc,American Rivers Conference (ARC),2025-26,wbball,Wartburg,"Hennessy,Grace",0,G,14,27,27,107,269,52,160,37,26,292,49,40,28,754,13,82,95,44,0,41,0,0,0.4,0.33,0.7,10.81,3.52,1.04,1.48,1.81,1.5185185185185186,7.243025896999888,13,85,505
arc,American Rivers Conference (ARC),2025-26,wbball,Nebraska Wesleyan,"Black,Carney",0,C,23,25,25,95,215,8,37,50,35,233,14,31,32,771,30,179,209,48,0,50,1,0,0.44,0.22,0.7,9.32,8.36,1.28,1.24,0.56,2.0,7.024095461388123,14,84,572
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Boettcher,Tyme",0,G,23,27,25,111,317,31,139,33,29,282,7,48,55,708,18,142,160,42,0,64,0,0,0.35,0.22,0.88,10.44,5.93,2.04,1.78,0.26,2.3703703703703702,6.988434816587049,15,84,584
arc,American Rivers Conference (ARC),2025-26,wbball,Wartburg,"Harrison,Corrie",0,F,7,19,17,80,146,0,0,48,32,192,8,21,31,411,44,78,122,32,0,53,0,0,0.55,0.0,0.67,10.11,6.42,1.63,1.11,0.42,2.789473684210526,6.655513589519296,16,83,622
arc,American Rivers Conference (ARC),2025-26,wbball,Buena Vista,"Yanga,Adeeya",0,F,24,27,24,117,232,5,17,68,51,290,44,21,22,596,20,88,108,66,0,55,2,0,0.5,0.29,0.75,10.74,4.0,0.81,0.78,1.63,2.037037037037037,6.650624939755916,17,83,603
arc,American Rivers Conference (ARC),2025-26,wbball,Central,"Naughton,Emily",0,G,4,26,26,99,267,22,84,88,70,290,10,36,64,675,18,77,95,75,1,74,2,0,0.37,0.26,0.8,11.15,3.65,2.46,1.38,0.38,2.8461538461538463,6.499709841223606,18,82,653
arc,American Rivers Conference (ARC),2025-26,wbball,Nebraska Wesleyan,"Pettlon,Anastyn",0,G,11,19,18,93,260,43,142,24,14,243,3,31,32,568,5,45,50,27,0,65,0,0,0.36,0.3,0.58,12.79,2.63,1.68,1.63,0.16,3.4210526315789473,6.328502253872901,19,82,693
arc,American Rivers Conference (ARC),2025-26,wbball,Univ. of Dubuque,"Figlinski,Felicity",0,G,30,14,14,42,114,23,69,18,15,122,5,25,39,479,9,47,56,23,0,32,1,0,0.37,0.33,0.83,8.71,4.0,2.79,1.79,0.36,2.2857142857142856,5.883900011409101,20,81,766
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Kravig,Taryn",0,G,1,26,26,87,209,49,121,44,36,259,5,19,72,764,21,62,83,41,0,57,1,0,0.42,0.4,0.82,9.96,3.19,2.77,0.73,0.19,2.1923076923076925,5.7449062338842705,21,81,768
arc,American Rivers Conference (ARC),2025-26,wbball,Central,"Moore,CeCe",0,F,22,26,23,67,168,8,30,77,57,199,36,15,31,576,37,134,171,31,0,40,0,0,0.4,0.27,0.74,7.65,6.58,1.19,0.58,1.38,1.5384615384615385,5.720569272722914,22,80,826
arc,American Rivers Conference (ARC),2025-26,wbball,Simpson,"Hansen,Taylor",0,G,44,26,26,89,217,33,92,73,62,273,2,22,40,703,25,58,83,47,0,44,0,0,0.41,0.36,0.85,10.5,3.19,1.54,0.85,0.08,1.6923076923076923,5.57746596148607,23,80,832
arc,American Rivers Conference (ARC),2025-26,wbball,Wartburg,"Golinghorst,Lauren",0,F,4,20,8,70,163,24,64,36,30,194,9,20,22,471,31,55,86,35,0,38,1,0,0.43,0.38,0.83,9.7,4.3,1.1,1.0,0.45,1.9,5.527813380968156,24,80,864
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Panka,Abigail",0,F,32,27,27,84,228,10,40,76,52,230,9,19,21,606,51,98,149,53,0,40,2,0,0.37,0.25,0.68,8.52,5.52,0.78,0.7,0.33,1.4814814814814814,4.9135267518158425,25,79,1021
