conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,Ohio Wesleyan,"Miller,Macy",0,C,45,23,22,155,307,0,0,74,53,363,37,48,35,626,95,173,268,59,0,42,3,0,0.5,0.0,0.72,15.78,11.65,1.52,2.09,1.61,1.826086956521739,12.646271346562848,1,99,20
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,Denison,"Taute,Ada",0,G,11,26,26,140,298,20,81,94,53,353,10,60,89,746,62,110,172,53,0,47,0,0,0.47,0.25,0.56,13.58,6.62,3.42,2.31,0.38,1.8076923076923077,10.157553318716195,2,94,95
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,DePauw,"Mont,Riley",0,G,5,28,28,143,379,46,142,111,79,411,1,66,52,817,73,99,172,36,0,46,0,0,0.38,0.32,0.71,14.68,6.14,1.86,2.36,0.04,1.6428571428571428,9.2767504123523,3,92,154
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,Oberlin,"Kumler,Angela",0,F,4,25,25,107,252,6,43,102,70,290,31,97,108,776,24,116,140,67,0,97,2,0,0.42,0.14,0.69,11.6,5.6,4.32,3.88,1.24,3.88,9.171822804586455,4,91,146
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,Wooster,"Riccitelli,Mackenzie",0,G,14,25,25,149,379,45,134,97,75,418,3,74,49,788,24,60,84,56,0,79,0,0,0.39,0.34,0.77,16.72,3.36,1.96,2.96,0.12,3.16,9.06286616485567,5,89,162
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,DePauw,"Hart,Olivia",0,F,34,28,28,147,336,0,5,114,85,379,23,26,28,837,63,138,201,59,0,33,0,0,0.44,0.0,0.75,13.54,7.18,1.0,0.93,0.82,1.1785714285714286,8.575505799757524,6,88,212
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,John Carroll,"Ryncarz,Ava",0,F,33,28,28,143,387,83,242,41,37,406,2,30,44,826,19,182,201,32,0,48,0,0,0.37,0.34,0.9,14.5,7.18,1.57,1.07,0.07,1.7142857142857142,8.552440359595229,7,87,219
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,Denison,"Cooch,Abby",0,G,3,26,26,114,302,41,132,87,72,341,4,41,102,760,9,83,92,42,0,61,2,0,0.38,0.31,0.83,13.12,3.54,3.92,1.58,0.15,2.3461538461538463,8.056236942535575,8,86,277
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,John Carroll,"Semptimphelter,Graci",0,G,14,28,28,142,314,71,165,48,41,396,5,43,55,784,34,81,115,58,0,57,0,0,0.45,0.43,0.85,14.14,4.11,1.96,1.54,0.18,2.0357142857142856,7.924821964540253,9,85,291
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,Wooster,"Sturdivant,Ace",0,G,21,25,25,113,249,22,69,73,59,307,13,50,96,747,21,106,127,49,0,106,2,0,0.45,0.32,0.81,12.28,5.08,3.84,2.0,0.52,4.24,7.396589682468656,10,85,341
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,John Carroll,"Perusek,Carly",0,G,24,27,26,100,187,0,2,92,59,259,16,55,61,630,93,86,179,45,0,48,0,0,0.53,0.0,0.64,9.59,6.63,2.26,2.04,0.59,1.7777777777777777,7.140563524462032,11,84,383
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,Wittenberg,"Karlblom,Karsen",0,G,32,21,19,97,219,50,122,24,19,263,4,25,39,618,15,78,93,36,0,32,0,0,0.44,0.41,0.79,12.52,4.43,1.86,1.19,0.19,1.5238095238095237,7.11509717742673,12,83,392
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,Denison,"Mad-toingué,Anelly",0,C,23,26,26,83,168,0,0,52,32,198,66,26,15,540,105,153,258,57,0,42,2,0,0.49,0.0,0.62,7.62,9.92,0.58,1.0,2.54,1.6153846153846154,6.68024247374781,13,82,452
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,Wittenberg,"Mossing,Molly",0,F,10,25,14,121,267,18,54,51,45,305,9,25,31,630,59,71,130,66,0,59,3,0,0.45,0.33,0.88,12.2,5.2,1.24,1.0,0.36,2.36,6.233262669354002,14,82,534
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,Oberlin,"Montas,Krystal",0,F,30,26,24,91,241,12,49,71,52,246,34,28,42,797,66,99,165,71,0,57,0,0,0.38,0.24,0.73,9.46,6.35,1.62,1.08,1.31,2.1923076923076925,5.842946620471603,15,81,606
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,Ohio Wesleyan,"Ebbert,Maddie",0,G,11,24,23,78,186,4,19,104,65,225,8,34,53,559,59,74,133,62,0,44,2,0,0.42,0.21,0.63,9.38,5.54,2.21,1.42,0.33,1.8333333333333333,5.778523741646242,16,80,629
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,Ohio Wesleyan,"Griner,Alyssa",0,C,15,24,24,93,251,0,4,89,63,249,3,27,18,575,44,87,131,42,0,36,1,0,0.37,0.0,0.71,10.38,5.46,0.75,1.13,0.13,1.5,5.164841011112791,17,80,752
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,Oberlin,"Csiszar, Katherine",0,F,40,15,12,47,121,5,21,23,17,116,17,16,25,348,14,91,105,34,0,32,1,0,0.39,0.24,0.74,7.73,7.0,1.67,1.07,1.13,2.1333333333333333,4.977865756216552,18,79,774
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,Wittenberg,"Moore,Karley",0,G,25,26,26,85,230,2,10,70,49,221,23,47,38,616,42,72,114,80,0,49,5,0,0.37,0.2,0.7,8.5,4.38,1.46,1.81,0.88,1.8846153846153846,4.79194083031431,19,79,831
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,Oberlin,"Peña-Hilzen,Gabby",0,F,32,23,15,89,212,7,38,63,32,217,24,26,17,600,45,63,108,68,0,57,3,0,0.42,0.18,0.51,9.43,4.7,0.74,1.13,1.04,2.4782608695652173,4.44417164764504,20,78,893
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,Wittenberg,"Buddenberg,Catherine",0,G,13,16,0,55,135,23,66,37,28,161,4,15,15,283,18,25,43,33,1,24,0,0,0.41,0.35,0.76,10.06,2.69,0.94,0.94,0.25,1.5,4.280931386595992,21,77,958
ncac,North Coast Athletic Conference (NCAC),2025-26,wbball,Kenyon,"Mollabashy,Kiana",0,G,11,25,23,79,235,50,121,39,27,235,26,32,30,591,16,84,100,52,0,67,0,0,0.34,0.41,0.69,9.4,4.0,1.2,1.28,1.04,2.68,4.245537781285722,22,77,941
