conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
saa,Southern Athletic Association (SAA),2025-26,wbball,Oglethorpe,"Rivera,Keimarya",0,F,20,26,26,184,347,2,11,168,138,508,26,30,46,810,78,157,235,64,1,63,2,0,0.53,0.18,0.82,19.54,9.04,1.77,1.15,1.0,2.423076923076923,11.158807827739677,1,99,17
saa,Southern Athletic Association (SAA),2025-26,wbball,Millsaps,"Freeman,Garin",0,G,1,28,28,160,380,15,56,248,162,497,14,65,183,991,38,93,131,88,2,128,2,0,0.42,0.27,0.65,17.75,4.68,6.54,2.32,0.5,4.571428571428571,10.170501172297184,2,94,24
saa,Southern Athletic Association (SAA),2025-26,wbball,Millsaps,"Warren,Elyse",0,C,23,27,27,147,274,0,1,202,108,402,12,32,9,808,164,302,466,73,0,63,1,0,0.54,0.0,0.53,14.89,17.26,0.33,1.19,0.44,2.3333333333333335,9.656155051689638,3,92,39
saa,Southern Athletic Association (SAA),2025-26,wbball,Millsaps,"Anderson,Tia",0,F,32,28,28,177,393,65,195,60,41,460,14,46,37,999,53,168,221,31,0,55,0,0,0.45,0.33,0.68,16.43,7.89,1.32,1.64,0.5,1.9642857142857142,8.716640020422455,4,90,79
saa,Southern Athletic Association (SAA),2025-26,wbball,Trinity,"Minter,Kylie",0,G,3,27,27,154,337,51,131,117,96,455,2,56,78,853,19,80,99,40,1,56,0,0,0.46,0.39,0.82,16.85,3.67,2.89,2.07,0.07,2.074074074074074,8.37720060553832,5,88,86
saa,Southern Athletic Association (SAA),2025-26,wbball,Centre,"Reid,Lilly",0,G,32,26,26,149,375,32,117,92,61,391,8,70,97,792,36,96,132,27,1,69,0,0,0.4,0.27,0.66,15.04,5.08,3.73,2.69,0.31,2.6538461538461537,8.345884516096572,6,87,94
saa,Southern Athletic Association (SAA),2025-26,wbball,Southwestern,"Castillo,Neela",0,G,4,26,26,129,338,57,170,77,50,365,12,64,66,776,35,96,131,68,0,59,2,0,0.38,0.34,0.65,14.04,5.04,2.54,2.46,0.46,2.269230769230769,7.357188284376509,7,86,178
saa,Southern Athletic Association (SAA),2025-26,wbball,Sewanee,"Falvey,Olivia",0,G,23,25,25,120,336,42,139,143,99,381,2,31,59,727,51,95,146,85,1,88,3,0,0.36,0.3,0.69,15.24,5.84,2.36,1.24,0.08,3.52,6.284692491458944,8,85,278
saa,Southern Athletic Association (SAA),2025-26,wbball,Trinity,"Sauvageau,Livy",0,G,12,24,24,128,305,55,146,29,23,334,0,48,54,699,10,46,56,58,2,41,0,0,0.42,0.38,0.79,13.92,2.33,2.25,2.0,0.0,1.7083333333333333,6.096223841905344,9,84,328
saa,Southern Athletic Association (SAA),2025-26,wbball,Rhodes,"Marsh,Avery",0,G,10,25,25,104,279,21,86,125,92,321,16,51,95,859,12,81,93,53,0,105,1,0,0.37,0.24,0.74,12.84,3.72,3.8,2.04,0.64,4.2,5.871116251460011,10,83,363
saa,Southern Athletic Association (SAA),2025-26,wbball,Oglethorpe,"Battle,Marlie",0,G,12,26,26,110,253,9,49,101,47,276,7,80,85,761,46,99,145,62,0,84,1,0,0.43,0.18,0.47,10.62,5.58,3.27,3.08,0.27,3.230769230769231,5.788337214318335,11,82,371
saa,Southern Athletic Association (SAA),2025-26,wbball,Rhodes,"Bongiovanni,Alyssa",0,G,33,24,22,88,203,16,49,54,39,231,10,18,61,719,72,202,274,36,0,63,0,0,0.43,0.33,0.72,9.63,11.42,2.54,0.75,0.42,2.625,5.770683053591565,12,82,373
saa,Southern Athletic Association (SAA),2025-26,wbball,Sewanee,"Cleveland,Hannah",0,F,50,25,25,118,261,30,95,100,80,346,1,17,43,642,42,110,152,56,0,65,2,0,0.45,0.32,0.8,13.84,6.08,1.72,0.68,0.04,2.6,5.705915758422471,13,81,364
saa,Southern Athletic Association (SAA),2025-26,wbball,Berry,"Callihan,Elly",0,*,1,26,26,102,267,20,73,111,84,308,13,53,20,747,43,124,167,55,0,50,0,0,0.38,0.27,0.76,11.85,6.42,0.77,2.04,0.5,1.9230769230769231,5.621929744272694,14,80,430
saa,Southern Athletic Association (SAA),2025-26,wbball,Berry,"Lewis,Briaiah",0,*,7,27,27,117,277,0,6,143,97,331,11,42,77,842,39,100,139,54,0,91,1,0,0.42,0.0,0.68,12.26,5.15,2.85,1.56,0.41,3.3703703703703702,5.558100236692414,15,79,411
saa,Southern Athletic Association (SAA),2025-26,wbball,Southwestern,"Benitez,Trinity",0,C,34,26,26,104,215,1,4,143,101,310,9,21,27,652,58,122,180,83,0,48,5,0,0.48,0.25,0.71,11.92,6.92,1.04,0.81,0.35,1.8461538461538463,5.465332553928123,16,79,444
saa,Southern Athletic Association (SAA),2025-26,wbball,Sewanee,"Boyd,Janie",0,G,12,25,25,118,275,30,102,73,55,321,8,49,47,711,26,72,98,95,0,90,6,0,0.43,0.29,0.75,12.84,3.92,1.88,1.96,0.32,3.6,4.992828688631315,17,78,519
saa,Southern Athletic Association (SAA),2025-26,wbball,Rhodes,"Milam,AC",0,G,23,22,21,88,266,35,116,53,38,249,5,32,58,622,22,70,92,43,0,55,0,0,0.33,0.3,0.72,11.32,4.18,2.64,1.45,0.23,2.5,4.693754723429105,18,77,568
