conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,La Verne,"Smith,Alyssa",0,F,20,25,25,144,400,38,144,161,106,432,7,34,67,831,73,195,268,63,0,95,1,0,0.36,0.26,0.66,17.28,10.72,2.68,1.36,0.28,3.8,9.15948108185942,1,99,49
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Redlands,Aj Wick,0,*,45,25,25,145,328,0,0,115,87,377,19,46,62,772,95,172,267,69,0,75,3,0,0.44,0.0,0.76,15.08,10.68,2.48,1.84,0.76,3.0,9.10585159157611,2,94,55
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,California Lutheran,"Ballard,Alline",0,F,21,23,21,132,317,0,4,113,84,348,20,30,36,619,90,175,265,66,1,76,0,0,0.42,0.0,0.74,15.13,11.52,1.57,1.3,0.87,3.3043478260869565,8.506613532231716,3,92,91
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Claremont-Mudd-Scripps,"Edwards,Caleigh",0,G,10,33,33,151,370,36,91,147,113,451,4,88,79,1164,98,202,300,81,3,84,1,0,0.41,0.4,0.77,13.67,9.09,2.39,2.67,0.12,2.5454545454545454,7.841817422398641,4,90,121
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Occidental,"Yasukochi,Paige",0,G,35,24,24,139,310,18,63,50,42,338,24,29,53,800,34,97,131,46,0,53,1,0,0.45,0.29,0.84,14.08,5.46,2.21,1.21,1.0,2.2083333333333335,7.26926721322172,5,89,185
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Chapman,"Woods,Layla",0,F,25,25,25,157,346,0,0,47,36,350,8,46,28,670,38,146,184,82,0,46,2,0,0.45,0.0,0.77,14.0,7.36,1.12,1.84,0.32,1.84,7.1562306733188885,6,88,198
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Pomona-Pitzer,"Lee,Jadyn",0,G,44,28,16,139,289,13,33,52,45,336,18,60,90,825,28,117,145,40,0,47,0,0,0.48,0.39,0.87,12.0,5.18,3.21,2.14,0.64,1.6785714285714286,7.094923796399169,7,87,189
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Claremont-Mudd-Scripps,"Resendiz,Katie",0,F,32,32,32,164,383,21,66,101,75,424,50,66,25,871,67,130,197,115,0,72,9,0,0.43,0.32,0.74,13.25,6.16,0.78,2.06,1.56,2.25,6.957832889439814,8,86,225
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,California Lutheran,"Holley,Janna",0,G,22,26,26,118,258,19,58,103,74,329,4,57,86,919,61,79,140,57,0,53,1,0,0.46,0.33,0.72,12.65,5.38,3.31,2.19,0.15,2.0384615384615383,6.934787483383242,9,85,201
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Redlands,Teagan McIlroy,0,0,3,27,22,98,226,27,85,78,65,288,20,50,100,770,40,123,163,37,0,40,0,0,0.43,0.32,0.83,10.67,6.04,3.7,1.85,0.74,1.4814814814814814,6.814335978460842,10,84,223
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Whittier,"Perkins,Kennedy",0,*,15,24,24,115,280,19,74,113,79,328,26,42,29,698,55,82,137,62,0,54,4,0,0.41,0.26,0.7,13.67,5.71,1.21,1.75,1.08,2.25,6.726617459211521,11,83,251
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Chapman,"Nakaji,Maile",0,G,23,27,21,131,335,67,200,53,43,372,4,78,53,818,44,40,84,56,0,44,1,0,0.39,0.34,0.81,13.78,3.11,1.96,2.89,0.15,1.6296296296296295,6.492185864972737,12,82,259
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Claremont-Mudd-Scripps,"Ghai,Tanya",0,G,5,33,33,144,378,56,193,107,85,429,25,68,88,1235,25,114,139,79,0,75,0,0,0.38,0.29,0.79,13.0,4.21,2.67,2.06,0.76,2.272727272727273,6.48572411455125,13,82,265
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Caltech,"Phaychanpheng,Kyra",0,G,2,21,20,97,281,9,38,137,97,300,15,40,23,711,33,97,130,60,0,61,2,0,0.35,0.24,0.71,14.29,6.19,1.1,1.9,0.71,2.9047619047619047,6.365629346348133,14,81,295
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Redlands,Leila Hosn,0,*,20,27,27,89,235,16,45,119,93,287,10,43,106,775,33,136,169,74,0,67,3,0,0.38,0.36,0.78,10.63,6.26,3.93,1.59,0.37,2.4814814814814814,5.842483820357643,15,80,347
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Occidental,"Cabading,Dominique",0,G,1,24,24,84,248,22,93,81,56,246,5,55,85,704,10,128,138,69,0,63,3,0,0.34,0.24,0.69,10.25,5.75,3.54,2.29,0.21,2.625,5.2407944346299375,16,80,428
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,California Lutheran,"Mack,Kaiya",0,G,41,26,26,90,268,31,92,96,82,293,4,44,58,801,40,80,120,37,0,39,1,0,0.34,0.34,0.85,11.27,4.62,2.23,1.69,0.15,1.5,5.127687875739851,17,79,485
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Caltech,"Goktepe,Zeynep",0,G,3,22,22,112,236,19,46,84,47,290,4,29,40,794,23,71,94,37,0,70,0,0,0.47,0.41,0.56,13.18,4.27,1.82,1.32,0.18,3.1818181818181817,5.081880875423651,18,78,487
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Pomona-Pitzer,"Homan,Abigail",0,G,22,28,24,101,235,22,52,62,49,273,18,38,48,883,45,130,175,54,0,41,3,0,0.43,0.42,0.79,9.75,6.25,1.71,1.36,0.64,1.4642857142857142,5.008611900542487,19,78,527
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Whittier,"Giles,Brooklyn",0,*,5,24,23,107,253,1,11,80,45,260,15,33,35,680,46,141,187,75,1,71,3,0,0.42,0.09,0.56,10.83,7.79,1.46,1.38,0.63,2.9583333333333335,5.006618178431022,20,77,516
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Caltech,"Lo,Isabella",0,G,11,22,20,95,241,22,74,45,32,244,3,46,60,831,15,78,93,51,0,76,0,0,0.39,0.3,0.71,11.09,4.23,2.73,2.09,0.14,3.4545454545454546,4.314821782726741,21,77,608
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Whittier,"Krikorian,Shushan",0,*,10,22,21,93,213,17,46,58,46,249,5,17,52,728,26,40,66,26,0,49,0,0,0.44,0.37,0.79,11.32,3.0,2.36,0.77,0.23,2.227272727272727,4.260223166070838,22,76,658
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Claremont-Mudd-Scripps,"Wang,Haylie",0,F,22,31,14,107,262,11,62,119,72,297,19,34,46,800,45,85,130,62,0,38,1,0,0.41,0.18,0.61,9.58,4.19,1.48,1.1,0.61,1.2258064516129032,4.126671171835615,23,76,712
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Whittier,"Hood,Xochitl",0,*,6,22,18,77,172,4,11,62,45,203,5,52,43,524,42,56,98,65,0,55,2,0,0.45,0.36,0.73,9.23,4.45,1.95,2.36,0.23,2.5,3.8534893432000126,24,75,720
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Occidental,"Shelsta,Ainsley",0,C,53,8,6,36,69,0,1,35,14,86,1,4,5,136,28,22,50,13,0,8,0,0,0.52,0.0,0.4,10.75,6.25,0.63,0.5,0.13,1.0,3.7943461754492045,25,75,834
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Chapman,"Sherfey,Aidan",0,F,14,27,27,67,149,7,21,89,60,201,23,33,46,817,34,104,138,74,0,39,1,0,0.45,0.33,0.67,7.44,5.11,1.7,1.22,0.85,1.4444444444444444,3.5571803037120437,26,74,853
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbball,Redlands,Colbi Zorich,0,*,32,27,27,103,241,0,0,58,44,250,14,25,23,799,45,57,102,54,0,26,1,0,0.43,0.0,0.76,9.26,3.78,0.85,0.93,0.52,0.9629629629629629,3.555735878113434,27,74,869
