conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wbball,Southern Virginia,"Snyder,Abigail",0,G,11,27,27,186,431,66,170,96,81,519,6,63,93,914,48,143,191,67,0,108,2,0,0.43,0.39,0.84,19.22,7.07,3.44,2.33,0.22,4.0,11.158773443803781,1,99,26
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wbball,Brevard,"Miller, Olivia",0,0,24,28,28,173,301,7,16,33,22,375,23,58,89,863,63,177,240,41,0,68,0,0,0.57,0.44,0.67,13.39,8.57,3.18,2.07,0.82,2.4285714285714284,9.5953700235881,2,94,70
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wbball,Pfeiffer,"Hairston,Ava",0,G,24,25,24,126,336,18,76,127,97,367,8,81,70,724,46,74,120,49,1,78,0,0,0.38,0.24,0.76,14.68,4.8,2.8,3.24,0.32,3.12,8.111551576722261,3,92,155
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wbball,N.C. Wesleyan,"Hall,Anaya",0,F,11,26,25,152,324,0,1,149,115,419,4,34,26,700,79,82,161,51,0,66,0,0,0.47,0.0,0.77,16.12,6.19,1.0,1.31,0.15,2.5384615384615383,7.923797567614117,4,91,188
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wbball,Pfeiffer,"Horton,Miya",0,G,14,17,5,95,210,0,3,73,46,236,2,70,45,460,28,47,75,47,1,59,0,0,0.45,0.0,0.63,13.88,4.41,2.65,4.12,0.12,3.4705882352941178,7.746911190985347,5,89,184
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wbball,Brevard,"Johnson, Kayden",0,0,23,28,24,131,223,8,27,61,49,319,42,28,50,710,76,107,183,60,0,46,1,0,0.59,0.3,0.8,11.39,6.54,1.79,1.0,1.5,1.6428571428571428,7.363831165867367,6,88,242
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wbball,William Peace,"Henderson,Zikira",0,G,5,27,27,109,331,44,155,137,109,371,2,50,95,901,28,127,155,53,0,103,0,0,0.33,0.28,0.8,13.74,5.74,3.52,1.85,0.07,3.814814814814815,6.999648471982122,7,87,294
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wbball,N.C. Wesleyan,"Jordan,Dorinda",0,F,5,25,21,117,279,0,0,99,67,301,7,64,33,587,77,118,195,45,0,51,0,0,0.42,0.0,0.68,12.04,7.8,1.32,2.56,0.28,2.04,6.938529442961564,8,86,287
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wbball,Brevard,"Petty-Wilkins, Jada",0,0,11,28,28,104,349,58,211,78,55,321,10,80,85,816,36,111,147,42,0,57,0,0,0.3,0.27,0.71,11.46,5.25,3.04,2.86,0.36,2.0357142857142856,6.631580582406814,9,85,310
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wbball,Greensboro,"Stewart,Kensly",0,,12,26,26,144,471,44,191,83,39,371,2,101,53,561,53,43,96,71,0,100,3,0,0.31,0.23,0.47,14.27,3.69,2.04,3.88,0.08,3.8461538461538463,6.565877312168446,10,85,329
