conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,composite_score,rank,rating,global_rank
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Mount St. Joseph,Alyssa Young,,,,11,11,0.0,11.0,0.0,0.0,0.0,0.0,39.0,2.0,14.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,19.0,10.0,664:00,19.0,0.0,1.0,,,,,,,,,,,,,,,62.0,68.0,14.0,59.0,11.0,48.0,0.912,8.793479108827405,1,99,272
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Sarah Weist,,,,16,16,0.0,11.0,0.0,0.0,0.0,5.0,33.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,3.0,46.0,18.0,945:00,0.0,0.0,1.0,,,,,,,,,,,,,,,62.0,87.0,17.0,54.0,10.0,44.0,0.713,7.64123363225297,2,93,379
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Lauren Brown,,,,16,16,0.0,4.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,102.0,59.0,25.0,945:00,0.0,0.0,1.0,,,,,,,,,,,,,,,29.0,40.0,12.0,35.0,24.0,11.0,0.725,6.814977597547929,3,91,584
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Transylvania,Charlotte Green,,,,13,11,0.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,78.0,33.0,17.0,653:00,39.0,0.0,1.0,,,,,,,,,,,,,,,54.0,68.0,1.0,47.0,8.0,39.0,0.794,6.544132914960233,4,89,465
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Transylvania,TaNya Barbee,,,,11,11,0.0,1.0,0.0,0.0,0.0,2.0,24.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,15.0,4.0,660:00,0.0,0.0,1.0,,,,,,,,,,,,,,,40.0,58.0,1.0,42.0,14.0,28.0,0.69,6.1241232427273085,5,88,552
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Spalding,Taylor Young,,,,16,16,0.0,11.0,0.0,0.0,0.0,1.0,27.0,1.0,2.0,1.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,36.0,35.0,21.0,952:00,56.0,0.0,1.0,,,,,,,,,,,,,,,58.0,72.0,20.0,38.0,7.0,31.0,0.806,5.407859908650755,6,86,602
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Mount St. Joseph,Abby Cole,,,,13,13,0.0,10.0,0.0,0.0,0.0,1.0,28.0,2.0,5.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,45.0,35.0,21.0,784:00,19.0,0.0,1.0,,,,,,,,,,,,,,,60.0,76.0,25.0,40.0,6.0,34.0,0.789,5.362662880242927,7,85,608
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Transylvania,Avery Kirkhope,,,,13,12,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,19.0,9.0,713:00,39.0,0.0,1.0,,,,,,,,,,,,,,,29.0,39.0,3.0,34.0,15.0,19.0,0.744,5.241953177586487,8,84,693
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Transylvania,Sophie Garrett,,,,12,12,0.0,4.0,0.0,0.0,0.0,3.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,26.0,16.0,5.0,713:00,39.0,0.0,1.0,,,,,,,,,,,,,,,45.0,66.0,10.0,38.0,9.0,29.0,0.682,5.034725415045135,9,83,663
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Spalding,Emma Beach,,,,14,14,0.0,5.0,0.0,0.0,0.0,0.0,33.0,1.0,6.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,49.0,36.0,15.0,840:00,0.0,0.0,1.0,,,,,,,,,,,,,,,69.0,94.0,19.0,37.0,2.0,35.0,0.734,4.260699293600102,10,82,736
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Julia Jarrells,,,,16,16,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,54.0,30.0,13.0,945:00,0.0,0.0,1.0,,,,,,,,,,,,,,,46.0,65.0,7.0,33.0,5.0,28.0,0.708,3.976115723043945,11,81,818
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Katte Escobar,,,,15,14,0.0,4.0,0.0,0.0,0.0,2.0,9.0,0.0,4.0,1.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,11.0,34.0,13.0,825:00,0.0,0.0,1.0,,,,,,,,,,,,,,,44.0,61.0,12.0,28.0,5.0,23.0,0.721,3.213861715616064,12,80,986
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Abby Mensing,,,,10,10,0.0,7.0,0.0,0.0,0.0,2.0,17.0,1.0,5.0,1.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,25.0,36.0,13.0,594:00,52.0,0.0,1.0,,,,,,,,,,,,,,,41.0,54.0,14.0,30.0,1.0,29.0,0.759,3.124704642280306,13,79,940
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Franklin,Addie Whitman,,,,9,9,0.0,3.0,0.0,0.0,1.0,2.0,20.0,4.0,5.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,40.0,31.0,14.0,528:00,30.0,0.0,1.0,,,,,,,,,,,,,,,43.0,66.0,9.0,29.0,2.0,27.0,0.652,3.1091826788125365,14,79,920
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Avery Jarosinski,,,,16,15,0.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,27.0,14.0,885:00,0.0,0.0,1.0,,,,,,,,,,,,,,,38.0,48.0,3.0,26.0,6.0,20.0,0.792,3.037048240491689,15,78,1026
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Hanover,Quinn Cherry,,,,10,10,0.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,16.0,5.0,594:00,52.0,0.0,1.0,,,,,,,,,,,,,,,20.0,31.0,7.0,23.0,10.0,13.0,0.645,2.9836756495073176,16,77,1069
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Transylvania,Lula Thompson,,,,12,12,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.0,25.0,5.0,713:00,39.0,0.0,1.0,,,,,,,,,,,,,,,31.0,38.0,3.0,27.0,6.0,21.0,0.816,2.9800147655192863,17,76,1037
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Anderson,Natalie Hay,,,,16,15,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,12.0,36.0,12.0,900:00,0.0,0.0,1.0,,,,,,,,,,,,,,,14.0,23.0,4.0,18.0,10.0,8.0,0.609,2.718165327527564,18,76,1152
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,wlax,Spalding,Grace Mitchell,,,,16,16,0.0,2.0,0.0,0.0,0.0,1.0,17.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,40.0,39.0,5.0,954:00,52.0,0.0,1.0,,,,,,,,,,,,,,,38.0,48.0,9.0,28.0,4.0,24.0,0.792,2.6454878739477503,19,75,1122
