conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,composite_score,rank,rating,global_rank
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Capital,Grace Osborn,,,,14,14,0.0,35.0,0.0,0.0,0.0,7.0,66.0,3.0,15.0,4.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,166.0,42.0,22.0,831:00,28.0,0.0,1.0,154.0,192.0,46.0,143.0,25.0,118.0,0.802,,,,,,,,,,,,,,,11.815585590827594,1,99,3
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Mount Union,Katie Clark,,,,18,18,0.0,3.0,0.0,0.0,0.0,1.0,17.0,1.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,37.0,8.0,1079:00,39.0,0.0,1.0,57.0,75.0,8.0,115.0,75.0,40.0,0.76,,,,,,,,,,,,,,,9.675560900398086,2,94,9
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Capital,Andi Henry,,,,14,14,0.0,10.0,0.0,0.0,0.0,0.0,27.0,0.0,3.0,3.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,38.0,41.0,15.0,831:00,28.0,0.0,1.0,51.0,72.0,17.0,90.0,52.0,38.0,0.708,,,,,,,,,,,,,,,7.256167518607809,3,92,40
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Mount Union,Eden Kesler,,,,18,17,0.0,9.0,0.0,0.0,0.0,2.0,46.0,3.0,4.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,93.0,22.0,32.0,1019:00,39.0,0.0,1.0,82.0,116.0,15.0,72.0,17.0,55.0,0.707,,,,,,,,,,,,,,,6.643571556001846,4,91,76
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Muskingum,Riley Hudock,,,,16,16,0.0,14.0,0.0,0.0,0.0,2.0,30.0,3.0,10.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,81.0,33.0,26.0,960:00,23.0,0.0,1.0,101.0,121.0,28.0,74.0,11.0,63.0,0.835,,,,,,,,,,,,,,,6.149477333382692,5,90,113
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Mount Union,Ella Nejad,,,,18,18,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,67.0,20.0,11.0,1079:00,39.0,0.0,1.0,76.0,94.0,1.0,76.0,11.0,65.0,0.809,,,,,,,,,,,,,,,5.654401200337317,6,88,136
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Baldwin Wallace,Clare Alic,,,,18,17,0.0,19.0,0.0,0.0,0.0,3.0,50.0,2.0,7.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,73.0,43.0,20.0,1017:00,26.0,0.0,1.0,93.0,128.0,31.0,70.0,14.0,56.0,0.727,,,,,,,,,,,,,,,5.368830944092536,7,87,170
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Otterbein,Alyssa Glenn,,,,16,16,0.0,5.0,0.0,0.0,0.0,5.0,27.0,1.0,14.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,69.0,31.0,26.0,919:00,58.0,0.0,1.0,95.0,130.0,10.0,65.0,8.0,57.0,0.731,,,,,,,,,,,,,,,5.115718121324572,8,86,204
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Ohio Northern,Keaghan Burden,,,,18,18,0.0,5.0,0.0,0.0,0.0,1.0,15.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,61.0,47.0,9.0,1078:00,107.0,0.0,1.0,55.0,68.0,11.0,73.0,31.0,42.0,0.809,,,,,,,,,,,,,,,4.913122258374129,9,86,184
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Marietta,Hope Adams,,,,15,15,0.0,17.0,0.0,0.0,0.0,1.0,35.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,60.0,22.0,8.0,919:00,52.0,0.0,1.0,77.0,103.0,24.0,63.0,16.0,47.0,0.748,,,,,,,,,,,,,,,4.371277479001832,10,85,247
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Otterbein,Ava Robey,,,,16,15,0.0,5.0,0.0,0.0,0.0,2.0,15.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,39.0,84.0,23.0,859:00,58.0,0.0,1.0,64.0,88.0,12.0,68.0,36.0,32.0,0.727,,,,,,,,,,,,,,,4.314294584667037,11,84,245
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Capital,Ava Vendetti,,,,12,12,0.0,8.0,0.0,0.0,0.0,2.0,14.0,0.0,7.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,47.0,22.0,8.0,711:00,28.0,0.0,1.0,56.0,63.0,12.0,57.0,18.0,39.0,0.889,,,,,,,,,,,,,,,4.01952335152804,12,83,297
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Ohio Northern,Emma Hoersten,,,,18,18,0.0,17.0,0.0,0.0,0.0,1.0,47.0,1.0,6.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,23.0,62.0,10.0,1078:00,107.0,0.0,1.0,91.0,122.0,29.0,70.0,12.0,58.0,0.746,,,,,,,,,,,,,,,3.640620328334197,13,83,331
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Muskingum,Hannah Heyboer,,,,16,16,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,41.0,4.0,960:00,23.0,0.0,1.0,20.0,26.0,6.0,55.0,44.0,11.0,0.769,1.0,5:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.524946619730194,14,82,329
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Muskingum,Haley Clifton,,,,16,16,0.0,5.0,0.0,0.0,0.0,2.0,12.0,1.0,8.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,21.0,9.0,960:00,23.0,0.0,1.0,64.0,85.0,11.0,51.0,11.0,40.0,0.753,,,,,,,,,,,,,,,3.3367689477630416,15,81,392
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Mount Union,Reese Fuenfstueck,,,,18,18,0.0,0.0,0.0,0.0,0.0,3.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,23.0,5.0,1079:00,39.0,0.0,1.0,52.0,68.0,1.0,51.0,19.0,32.0,0.765,,,,,,,,,,,,,,,3.1536140664582155,16,81,400
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Baldwin Wallace,Carley House,,,,19,19,0.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,7.0,35.0,10.0,1137:00,26.0,0.0,1.0,47.0,55.0,8.0,48.0,22.0,26.0,0.855,,,,,,,,,,,,,,,3.0310569136691394,17,80,426
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Baldwin Wallace,Mariana Melgoza,,,,19,19,0.0,4.0,0.0,0.0,0.0,0.0,16.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,22.0,10.0,1137:00,26.0,0.0,1.0,55.0,73.0,9.0,46.0,18.0,28.0,0.753,,,,,,,,,,,,,,,3.0023033435178044,18,79,435
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Ohio Northern,Elena Martin,,,,18,18,0.0,8.0,0.0,0.0,0.0,2.0,25.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,71.0,52.0,21.0,1078:00,107.0,0.0,1.0,53.0,74.0,20.0,47.0,14.0,33.0,0.716,,,,,,,,,,,,,,,3.0012558107896954,19,79,462
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Muskingum,Riley Zwagerman,,,,16,15,0.0,6.0,0.0,0.0,0.0,2.0,16.0,0.0,11.0,1.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,39.0,24.0,15.0,900:00,23.0,0.0,1.0,45.0,64.0,9.0,42.0,12.0,30.0,0.703,,,,,,,,,,,,,,,2.885117049676569,20,78,486
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Baldwin Wallace,Annette Doren,,,,13,13,0.0,7.0,0.0,0.0,0.0,0.0,21.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,37.0,24.0,15.0,775:00,22.0,0.0,1.0,42.0,64.0,12.0,42.0,12.0,30.0,0.656,,,,,,,,,,,,,,,2.794976876216223,21,78,501
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Muskingum,Megan Lang,,,,16,16,0.0,3.0,0.0,0.0,0.0,1.0,16.0,1.0,5.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,26.0,28.0,5.0,960:00,23.0,0.0,1.0,56.0,73.0,6.0,45.0,15.0,30.0,0.767,,,,,,,,,,,,,,,2.330097019938112,22,77,559
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Mount Union,Emily Funk,,,,18,17,0.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,19.0,5.0,1019:00,39.0,0.0,1.0,33.0,44.0,5.0,39.0,16.0,23.0,0.75,,,,,,,,,,,,,,,2.123739394087917,23,77,617
oac,Ohio Athletic Conference (OAC),2025-26,wlax,Marietta,Mallory Wiles,,,,15,15,0.0,10.0,0.0,0.0,0.0,1.0,27.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,50.0,1.0,919:00,52.0,0.0,1.0,75.0,99.0,20.0,51.0,12.0,39.0,0.758,,,,,,,,,,,,,,,2.0157972051507764,24,76,612
