conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,composite_score,rank,rating,global_rank
pac,Presidents Athletic Conference (PAC),2025-26,wlax,Thiel,Ashlyn Wightman,,,,16,16,0.0,39.0,0.0,0.0,0.0,5.0,89.0,2.0,15.0,7.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,118.0,28.0,32.0,912:00,124.0,0.0,1.0,155.0,193.0,51.0,134.0,21.0,113.0,0.803,,,,,,,,,,,,,,,13.798977928092263,1,99,2
pac,Presidents Athletic Conference (PAC),2025-26,wlax,Westminster,Julia Ravazza,,,,17,17,0.0,4.0,0.0,0.0,0.0,2.0,37.0,2.0,2.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,59.0,55.0,6.0,1026:00,18.0,0.0,1.0,96.0,127.0,22.0,117.0,57.0,60.0,0.756,,,,,,,,,,,,,,,10.957744281352884,2,95,14
pac,Presidents Athletic Conference (PAC),2025-26,wlax,Grove City,Taylor Blythe,,,,19,16,0.0,2.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,57.0,5.0,1139:00,157.0,0.0,1.0,58.0,72.0,9.0,74.0,42.0,32.0,0.806,,,,,,,,,,,,,,,6.451646385111884,3,93,161
pac,Presidents Athletic Conference (PAC),2025-26,wlax,Grove City,Jess Robinette,,,,19,18,0.0,2.0,0.0,0.0,0.0,3.0,13.0,0.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,17.0,26.0,23.0,1263:00,164.0,0.0,1.0,68.0,84.0,4.0,67.0,19.0,48.0,0.81,,,,,,,,,,,,,,,6.270790284146908,4,92,158
pac,Presidents Athletic Conference (PAC),2025-26,wlax,Allegheny,Lauren Petrarca,,,,17,17,0.0,14.0,0.0,0.0,0.0,3.0,41.0,1.0,9.0,1.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,138.0,48.0,40.0,1020:00,0.0,0.0,1.0,91.0,125.0,19.0,65.0,11.0,54.0,0.728,,,,,,,,,,,,,,,6.221526380526022,5,91,156
pac,Presidents Athletic Conference (PAC),2025-26,wlax,W&J,Mya Bolinda,,,,15,15,0.0,14.0,0.0,0.0,0.0,4.0,31.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,59.0,48.0,11.0,1032:00,64.0,0.0,1.0,73.0,85.0,21.0,74.0,25.0,49.0,0.859,,,,,,,,,,,,,,,6.201605633899469,6,90,173
pac,Presidents Athletic Conference (PAC),2025-26,wlax,Franciscan,Theresa Lyle,,,,15,15,0.0,4.0,0.0,0.0,0.0,3.0,17.0,2.0,8.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,81.0,34.0,28.0,903:00,39.0,0.0,1.0,76.0,98.0,15.0,64.0,16.0,48.0,0.776,,,,,,,,,,,,,,,6.2008237119564305,7,89,159
pac,Presidents Athletic Conference (PAC),2025-26,wlax,Chatham,Sam Beall-Dennell,,,,16,16,0.0,7.0,0.0,0.0,0.0,1.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,69.0,34.0,24.0,948:00,128.0,0.0,1.0,58.0,81.0,12.0,58.0,28.0,30.0,0.716,,,,,,,,,,,,,,,5.783742624695619,8,88,198
pac,Presidents Athletic Conference (PAC),2025-26,wlax,Franciscan,Gianna Dinoto,,,,11,11,0.0,13.0,0.0,0.0,0.0,2.0,28.0,3.0,6.0,3.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,81.0,34.0,20.0,663:00,39.0,0.0,1.0,63.0,74.0,19.0,63.0,19.0,44.0,0.851,,,,,,,,,,,,,,,5.607511965147407,9,87,213
pac,Presidents Athletic Conference (PAC),2025-26,wlax,Chatham,Erin Goodwin,,,,18,18,0.0,6.0,0.0,0.0,0.0,1.0,28.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,41.0,36.0,6.0,1017:00,258.0,0.0,1.0,61.0,93.0,13.0,63.0,25.0,38.0,0.656,,,,,,,,,,,,,,,5.342557554650068,10,86,241
