conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,composite_score,rank,rating,global_rank
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Meredith,Reese Walker,,,,22,22,0.0,11.0,0.0,0.0,0.0,3.0,44.0,1.0,6.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,38.0,42.0,1283:00,10.0,0.0,1.0,107.0,141.0,25.0,173.0,98.0,75.0,0.759,,,,,,,,,,,,,,,15.765872976169103,1,99,1
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Meredith,Kenzie Todd,,,,21,21,0.0,12.0,0.0,0.0,0.0,1.0,35.0,0.0,2.0,3.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,12.0,58.0,13.0,1230:00,51.0,0.0,1.0,102.0,149.0,25.0,121.0,51.0,70.0,0.685,,,,,,,,,,,,,,,9.013377831118774,2,95,11
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Piedmont,Ava Trankina,,,,19,19,0.0,9.0,0.0,0.0,0.0,2.0,19.0,1.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,71.0,29.0,29.0,1116:00,52.0,0.0,1.0,51.0,63.0,10.0,82.0,40.0,42.0,0.81,,,,,,,,,,,,,,,7.319514982470783,3,93,30
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Methodist,Mikayla Ramos,,,,19,19,0.0,1.0,0.0,0.0,0.0,4.0,26.0,1.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,38.0,7.0,1069:00,52.0,0.0,1.0,65.0,83.0,5.0,87.0,48.0,39.0,0.783,,,,,,,,,,,,,,,6.290938586186272,4,91,50
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Meredith,Lauryn Turner,,,,21,21,0.0,12.0,0.0,0.0,0.0,2.0,38.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,4.0,27.0,16.0,1226:00,32.0,0.0,1.0,82.0,98.0,19.0,80.0,22.0,58.0,0.837,,,,,,,,,,,,,,,6.104112005709937,5,90,70
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Southern Virginia,Ellie Patterson,,,,18,18,0.0,17.0,0.0,0.0,0.0,2.0,33.0,1.0,7.0,2.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,49.0,27.0,32.0,1080:00,0.0,0.0,1.0,66.0,83.0,30.0,71.0,24.0,47.0,0.795,,,,,,,,,,,,,,,6.10253106747847,6,89,74
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Methodist,Kennedy Martin,,,,19,19,0.0,8.0,0.0,0.0,0.0,2.0,25.0,1.0,4.0,2.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,109.0,41.0,57.0,1108:00,8.0,0.0,1.0,58.0,73.0,14.0,59.0,23.0,36.0,0.795,,,,,,,,,,,,,,,6.0046863324574336,7,88,89
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Piedmont,Aly Reece,,,,19,19,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,38.0,12.0,1142:00,24.0,0.0,1.0,39.0,46.0,6.0,78.0,47.0,31.0,0.848,,,,,,,,,,,,,,,5.432117986681822,8,87,93
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Piedmont,Merryn Bumpass,,,,19,18,0.0,8.0,0.0,0.0,0.0,3.0,17.0,3.0,8.0,4.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,19.0,16.0,1059:00,40.0,0.0,1.0,87.0,109.0,15.0,66.0,14.0,52.0,0.798,,,,,,,,,,,,,,,4.9603079351610555,9,87,183
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Southern Virginia,Makenzie Mickelsen,,,,18,18,0.0,13.0,0.0,0.0,0.0,1.0,32.0,2.0,5.0,2.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,101.0,33.0,22.0,1070:00,8.0,0.0,1.0,69.0,83.0,19.0,66.0,16.0,50.0,0.831,,,,,,,,,,,,,,,4.952338336104585,10,86,179
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Piedmont,Savannah Limehouse,,,,17,14,0.0,9.0,0.0,0.0,0.0,2.0,19.0,1.0,6.0,2.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,32.0,29.0,840:00,8.0,0.0,1.0,75.0,88.0,16.0,62.0,11.0,51.0,0.852,,,,,,,,,,,,,,,4.809130373416725,11,85,203
usa_south_athletic_confe,USA South Athletic Conference,2025-26,wlax,Methodist,Kaitlyn Coleman,,,,19,19,0.0,10.0,0.0,0.0,0.0,2.0,33.0,1.0,6.0,2.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,51.0,30.0,30.0,1108:00,8.0,0.0,1.0,89.0,118.0,25.0,61.0,9.0,52.0,0.754,,,,,,,,,,,,,,,4.744508599108463,12,84,209
