conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,composite_score,rank,rating,global_rank
asc,American Southwest Conference (ASC),2025-26,wsoc,Howard Payne,"Douthit, Brenna",0,,10,16,16,0,0,24,46,20,4,8,1,1,2.88,1.5,1.25,0.5,0.25,16,1,0,0,1,3,1,0.063,11,0,0,0,0.69,0.0,0.0,0.0,0,,1318:00,0,0.0,0.0,,,,,,,,,,,,,,,,,10.97587959268797,1,99,228
asc,American Southwest Conference (ASC),2025-26,wsoc,Hardin-Simmons,"Barnett, Tatum",0,,30,17,17,0,0,18,42,20,4,8,0,0,2.47,1.06,1.18,0.471,0.235,10,1,0,0,2,4,2,0.118,6,0,0,0,0.35,0.0,0.0,0.0,0,,1222:00,0,0.0,0.0,,,,,,,,,,,,,,,,,10.77759244042007,2,94,245
asc,American Southwest Conference (ASC),2025-26,wsoc,Hardin-Simmons,"Koch, Taylor",0,,11,17,3,0,0,18,34,15,5,5,0,0,2.0,1.06,0.88,0.294,0.294,13,0,0,0,1,0,1,0.059,6,0,1,0,0.35,0.06,0.0,0.0,0,,538:00,0,0.0,0.0,,,,,,,,,,,,,,,,,8.363657892030133,3,92,416
asc,American Southwest Conference (ASC),2025-26,wsoc,Mary Hardin-Baylor,"Ruthven, Gracie",0,,5,19,15,0,0,35,59,14,2,6,0,0,3.11,1.84,0.74,0.316,0.105,29,0,0,0,2,1,0,0.0,9,0,0,0,0.47,0.0,0.0,0.0,0,,1172:00,0,0.0,0.0,,,,,,,,,,,,,,,,,7.660852369572537,4,90,453
asc,American Southwest Conference (ASC),2025-26,wsoc,Hardin-Simmons,"Thiessen, Presleigh",0,,16,16,15,0,0,15,38,13,5,4,0,0,2.38,0.94,0.81,0.25,0.313,11,0,0,0,2,2,1,0.063,6,0,0,0,0.38,0.0,0.0,0.0,0,,865:00,0,0.0,0.0,,,,,,,,,,,,,,,,,7.478265530711326,5,89,485
asc,American Southwest Conference (ASC),2025-26,wsoc,Howard Payne,"Lopez, Alayna",0,,5,16,14,0,0,24,33,11,5,3,1,0,2.06,1.5,0.69,0.188,0.313,21,0,0,0,1,1,0,0.0,11,0,1,0,0.69,0.06,0.0,0.0,0,,1044:00,0,0.0,0.0,,,,,,,,,,,,,,,,,6.546160977080132,6,88,600
asc,American Southwest Conference (ASC),2025-26,wsoc,Mary Hardin-Baylor,"Harlien, Audrey",0,,15,16,10,0,0,20,31,10,2,4,0,0,1.94,1.25,0.63,0.25,0.125,16,1,0,0,2,1,2,0.125,8,0,0,0,0.5,0.0,0.0,0.0,0,,863:00,0,0.0,0.0,,,,,,,,,,,,,,,,,5.14935042168489,7,86,776
asc,American Southwest Conference (ASC),2025-26,wsoc,Hardin-Simmons,"Floyd, Belle",0,,10,17,17,0,0,17,38,10,2,4,2,1,2.24,1.0,0.59,0.235,0.118,13,0,0,0,2,1,2,0.118,5,0,1,0,0.29,0.06,0.0,0.0,0,,948:00,0,0.0,0.0,,,,,,,,,,,,,,,,,4.828563597126847,8,85,875
asc,American Southwest Conference (ASC),2025-26,wsoc,East Texas Baptist,"Duncan, Mallory",0,,21,17,17,0,0,16,25,9,1,4,0,0,1.47,0.94,0.53,0.235,0.059,12,0,0,0,2,3,1,0.059,1,0,0,0,0.06,0.0,0.0,0.0,0,,1307:00,0,0.0,0.0,,,,,,,,,,,,,,,,,4.185774185978617,9,85,1004
asc,American Southwest Conference (ASC),2025-26,wsoc,Howard Payne,"Wetzel, Abbie",0,,2,16,11,0,0,11,17,9,1,4,0,0,1.06,0.69,0.56,0.25,0.063,7,0,0,0,4,0,3,0.188,5,0,0,0,0.31,0.0,0.0,0.0,0,,950:00,0,0.0,0.0,,,,,,,,,,,,,,,,,4.0205348924220345,10,84,1054
asc,American Southwest Conference (ASC),2025-26,wsoc,Hardin-Simmons,"Dugan, Abbey",0,,12,16,0,0,0,12,22,10,0,5,0,0,1.38,0.75,0.63,0.313,0.0,7,0,0,0,0,1,0,0.0,5,0,1,0,0.31,0.06,0.0,0.0,0,,470:00,0,0.0,0.0,,,,,,,,,,,,,,,,,4.008446735457201,11,83,1089
asc,American Southwest Conference (ASC),2025-26,wsoc,Hardin-Simmons,"Connerty, Maeve",0,,23,17,5,0,0,11,29,7,3,2,0,0,1.71,0.65,0.41,0.118,0.176,9,0,0,0,1,1,0,0.0,8,0,0,0,0.47,0.0,0.0,0.0,0,,832:00,0,0.0,0.0,,,,,,,,,,,,,,,,,3.667520426926146,12,82,1147
asc,American Southwest Conference (ASC),2025-26,wsoc,Mary Hardin-Baylor,"Dowell, Jayme",0,,9,20,3,0,0,12,21,6,2,2,1,0,1.05,0.6,0.3,0.1,0.1,10,0,0,0,1,1,1,0.05,4,0,0,0,0.2,0.0,0.0,0.0,0,,773:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.869183484776457,13,81,1367
asc,American Southwest Conference (ASC),2025-26,wsoc,Mary Hardin-Baylor,"Cunningham, Leila",0,,2,18,3,0,0,6,9,6,2,2,0,0,0.5,0.33,0.33,0.111,0.111,4,0,0,0,2,0,1,0.056,3,0,0,0,0.17,0.0,0.0,0.0,0,,486:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.6708963325085575,14,81,1482
asc,American Southwest Conference (ASC),2025-26,wsoc,Howard Payne,"LaDart, Madison",0,,8,16,10,0,0,5,13,4,4,0,0,0,0.81,0.31,0.25,0.0,0.25,5,0,0,0,0,0,0,0.0,14,0,0,0,0.88,0.0,0.0,0.0,0,,803:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.284834008301353,15,80,1614
asc,American Southwest Conference (ASC),2025-26,wsoc,East Texas Baptist,"Shurley, Grace",0,,15,17,12,0,0,9,10,6,0,3,0,0,0.59,0.53,0.35,0.176,0.0,6,0,0,0,0,2,0,0.0,5,0,0,0,0.29,0.0,0.0,0.0,0,,769:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.115162340529445,16,79,1652
