conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,composite_score,rank,rating,global_rank
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,North Central,"Lange, Jordan",0,,44,22,22,0,0,48,77,37,9,14,2,2,3.5,2.18,1.68,0.636,0.409,34,0,0,0,2,9,4,0.182,25,0,1,0,1.14,0.05,0.0,0.0,0,,1703:00,0,0.0,0.0,,,,,,,,,,,,,,,,,16.533326454015583,1,99,29
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Elmhurst,"Nevins, Lauren",0,,8,21,21,0,0,33,61,29,3,13,3,2,2.9,1.57,1.38,0.619,0.143,20,0,1,0,4,6,3,0.143,22,0,3,0,1.05,0.14,0.0,0.0,0,,1568:00,0,0.0,0.0,,,,,,,,,,,,,,,,,11.248923994529777,2,95,105
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Illinois Wesleyan,"Wiley, Liza",0,,24,19,19,0,0,25,55,21,7,7,0,0,2.89,1.32,1.11,0.368,0.368,18,2,0,0,3,2,1,0.053,30,0,2,0,1.58,0.11,0.0,0.0,0,,1600:00,0,0.0,0.0,,,,,,,,,,,,,,,,,8.838818894694443,3,94,187
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,North Park,"Svensson, Sofia",0,,23,16,15,0,0,21,38,22,2,10,0,0,2.38,1.31,1.38,0.625,0.125,11,1,0,0,2,0,5,0.313,6,0,1,0,0.38,0.06,0.0,0.0,0,,1214:00,0,0.0,0.0,,,,,,,,,,,,,,,,,8.39571059500913,4,93,239
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Elmhurst,"Coughlin, Kelli",0,,23,17,16,0,0,30,48,19,5,7,2,2,2.82,1.76,1.12,0.412,0.294,23,0,0,0,5,3,4,0.235,10,0,0,0,0.59,0.0,0.0,0.0,0,,1112:00,0,0.0,0.0,,,,,,,,,,,,,,,,,8.287447322740482,5,92,224
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,North Park,"Sjøstedt, Caroline",0,,4,19,19,0,0,26,64,17,9,4,0,0,3.37,1.37,0.89,0.211,0.474,22,1,0,0,1,2,1,0.053,7,0,0,0,0.37,0.0,0.0,0.0,0,,1582:00,0,0.0,0.0,,,,,,,,,,,,,,,,,8.146375285524503,6,91,217
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,North Central,"Waishwell, Kara",0,,20,22,20,0,0,22,42,17,9,4,0,0,1.91,1.0,0.77,0.182,0.409,18,0,0,0,0,2,0,0.0,10,0,0,0,0.45,0.0,0.0,0.0,0,,1592:00,0,0.0,0.0,,,,,,,,,,,,,,,,,8.02885355183905,7,90,225
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,North Central,"Mattio, Gabriella",0,,9,22,16,0,0,17,27,21,3,9,0,0,1.23,0.77,0.95,0.409,0.136,8,1,0,0,3,3,3,0.136,18,0,2,0,0.82,0.09,0.0,0.0,0,,950:00,0,0.0,0.0,,,,,,,,,,,,,,,,,7.828887115955895,8,90,275
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,North Central,"DeVriendt, Madison",0,,17,20,20,0,0,12,27,18,8,5,1,1,1.35,0.6,0.9,0.25,0.4,7,0,0,0,4,1,2,0.1,16,0,1,0,0.8,0.05,0.0,0.0,0,,1326:00,0,0.0,0.0,,,,,,,,,,,,,,,,,7.696741931471984,9,89,259
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Elmhurst,"Cummings, Maddie",0,,29,21,20,0,0,20,35,17,3,7,0,0,1.67,0.95,0.81,0.333,0.143,13,1,0,0,2,6,2,0.095,9,0,0,0,0.43,0.0,0.0,0.0,0,,1356:00,0,0.0,0.0,,,,,,,,,,,,,,,,,6.80776021794486,10,88,346
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Augustana,"Swanson, Skylar",0,,25,18,18,0,0,19,40,13,5,4,0,0,2.22,1.06,0.72,0.222,0.278,15,0,0,0,3,3,2,0.111,18,0,0,0,1.0,0.0,0.0,0.0,0,,1373:00,0,0.0,0.0,,,,,,,,,,,,,,,,,5.5689467104109776,11,88,467
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Illinois Wesleyan,"Robinson, Keira",0,,19,15,14,0,0,25,43,15,1,7,1,1,2.87,1.67,1.0,0.467,0.067,18,1,0,0,4,1,3,0.2,13,0,1,0,0.87,0.07,0.0,0.0,0,,962:00,0,0.0,0.0,,,,,,,,,,,,,,,,,5.524975098709077,12,87,513
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Illinois Wesleyan,"Mapes, Ava",0,,12,17,16,0,0,21,35,13,3,5,0,0,2.06,1.24,0.76,0.294,0.176,16,0,0,0,0,1,0,0.0,7,0,1,0,0.41,0.06,0.0,0.0,0,,1073:00,0,0.0,0.0,,,,,,,,,,,,,,,,,4.996458905809276,13,87,565
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Carthage,"Amberg, Emma",0,,9,18,18,0,0,12,27,12,4,4,1,0,1.5,0.67,0.67,0.222,0.222,8,0,0,0,3,0,3,0.167,4,0,0,0,0.22,0.0,0.0,0.0,0,,1116:00,0,0.0,0.0,,,,,,,,,,,,,,,,,4.77034229117044,14,86,586
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Millikin,"Jones, Izzy",0,,24,17,16,0,0,18,34,12,2,5,0,0,2.0,1.06,0.71,0.294,0.118,13,0,0,0,1,0,0,0.0,9,0,0,0,0.53,0.0,0.0,0.0,0,,1295:00,0,0.0,0.0,,,,,,,,,,,,,,,,,4.559180736014798,15,86,637
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Illinois Wesleyan,"Carew, Kayley",0,,17,19,19,0,0,15,41,12,6,3,1,1,2.16,0.79,0.63,0.158,0.316,12,0,0,0,1,2,1,0.053,15,0,3,0,0.79,0.16,0.0,0.0,0,,1442:00,0,0.0,0.0,,,,,,,,,,,,,,,,,4.514514199836527,16,85,622
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Wheaton,"Martin, Olivia",0,,18,19,13,0,0,12,35,11,3,4,0,0,1.84,0.63,0.58,0.211,0.158,8,1,0,0,2,2,1,0.053,10,0,0,0,0.53,0.0,0.0,0.0,0,,1146:00,0,0.0,0.0,,,,,,,,,,,,,,,,,4.177400905879445,17,85,690
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,Carroll,"Nowak, Carmella",0,,7,14,13,0,0,20,29,11,1,5,3,3,2.07,1.43,0.79,0.357,0.071,15,0,0,0,4,3,1,0.071,9,0,0,0,0.64,0.0,0.0,0.0,0,,991:00,0,0.0,0.0,,,,,,,,,,,,,,,,,4.025000217566529,18,85,745
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,North Park,"Applequist, Maja",0,,5,19,19,0,0,13,26,10,4,3,0,0,1.37,0.68,0.53,0.158,0.211,10,0,0,0,0,2,1,0.053,13,0,0,0,0.68,0.0,0.0,0.0,0,,1662:00,0,0.0,0.0,,,,,,,,,,,,,,,,,4.001284109693633,19,84,711
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,North Central,"Burk, Lucy",0,,8,22,0,0,0,8,20,11,3,4,0,0,0.91,0.36,0.5,0.182,0.136,4,1,0,0,1,0,2,0.091,5,0,1,0,0.23,0.05,0.0,0.0,0,,969:00,0,0.0,0.0,,,,,,,,,,,,,,,,,3.8160746564333836,20,84,772
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wsoc,North Central,"Salviola, Kassandra",0,,11,22,22,0,0,23,56,11,1,5,0,0,2.55,1.05,0.5,0.227,0.045,18,0,0,0,2,1,0,0.0,46,0,3,0,2.09,0.14,0.0,0.0,0,,1827:00,0,0.0,0.0,,,,,,,,,,,,,,,,,3.381727970548794,21,83,955
