conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,composite_score,rank,rating,global_rank
e8,Empire 8 (E8),2025-26,wsoc,St. John Fisher,"Woolingham, Emily",0,,10,20,20,0.0,0.0,27.0,40.0,29.0,7.0,11.0,1.0,1.0,2.0,1.35,1.45,0.55,0.35,16.0,0.0,0.0,0.0,2.0,2.0,2.0,0.1,7.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,,1167:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,14.40185445636663,1,99,69
e8,Empire 8 (E8),2025-26,wsoc,St. John Fisher,"Wania, Madelyn",0,,5,20,19,0.0,0.0,40.0,70.0,24.0,8.0,8.0,0.0,0.0,3.5,2.0,1.2,0.4,0.4,32.0,0.0,0.0,0.0,2.0,2.0,2.0,0.1,6.0,0.0,1.0,0.0,0.3,0.05,0.0,0.0,0.0,,1218:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,12.593150941891697,2,96,103
e8,Empire 8 (E8),2025-26,wsoc,Utica,"Piersma, Amber",0,,27,19,19,0.0,0.0,24.0,42.0,24.0,2.0,11.0,2.0,2.0,2.21,1.26,1.26,0.579,0.105,13.0,1.0,0.0,0.0,4.0,3.0,3.0,0.158,4.0,0.0,2.0,0.0,0.21,0.11,0.0,0.0,0.0,,1411:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,10.028712001339068,3,95,193
e8,Empire 8 (E8),2025-26,wsoc,Houghton,Hope Russell,0,,2,23,13,0.0,0.0,43.0,77.0,21.0,1.0,10.0,0.0,0.0,3.35,1.87,0.91,0.435,0.043,33.0,0.0,0.0,0.0,4.0,4.0,5.0,0.217,5.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,,1326:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,9.653432523703948,4,94,214
e8,Empire 8 (E8),2025-26,wsoc,Brockport,"Breton, Amelia",0,,6,19,13,0.0,0.0,34.0,55.0,21.0,3.0,9.0,1.0,0.0,2.89,1.79,1.11,0.474,0.158,25.0,0.0,0.0,0.0,2.0,3.0,4.0,0.211,8.0,0.0,1.0,0.0,0.42,0.05,0.0,0.0,0.0,,1216:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,9.633879752314037,5,93,218
e8,Empire 8 (E8),2025-26,wsoc,Houghton,Elena Esh,0,,14,23,19,0.0,0.0,23.0,40.0,21.0,3.0,9.0,0.0,0.0,1.74,1.0,0.91,0.391,0.13,14.0,0.0,0.0,0.0,4.0,0.0,5.0,0.217,10.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,,1293:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,9.600889872024231,6,92,221
e8,Empire 8 (E8),2025-26,wsoc,Houghton,Taylor Curyto,0,,4,22,21,0.0,0.0,19.0,30.0,19.0,5.0,7.0,0.0,0.0,1.36,0.86,0.86,0.318,0.227,12.0,0.0,0.0,0.0,3.0,4.0,2.0,0.091,4.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,,1750:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,9.176852368520237,7,92,251
e8,Empire 8 (E8),2025-26,wsoc,Russell Sage,Gianna Viscusi,0,,9,14,14,0.0,0.0,20.0,41.0,19.0,3.0,8.0,0.0,0.0,2.93,1.43,1.36,0.571,0.214,12.0,0.0,1.0,0.0,2.0,3.0,3.0,0.214,6.0,0.0,1.0,0.0,0.43,0.07,0.0,0.0,0.0,,1169:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,8.31236532259956,8,91,299
e8,Empire 8 (E8),2025-26,wsoc,Alfred,Lina Young,0,,12,19,19,0.0,0.0,18.0,41.0,17.0,3.0,7.0,2.0,2.0,2.16,0.95,0.89,0.368,0.158,11.0,1.0,0.0,0.0,3.0,3.0,4.0,0.211,21.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,,1526:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,7.68620935564443,9,91,354
e8,Empire 8 (E8),2025-26,wsoc,Nazareth,"Overton, Tatum",0,,21,19,18,0.0,0.0,18.0,42.0,16.0,2.0,7.0,1.0,1.0,2.21,0.95,0.84,0.368,0.105,11.0,0.0,0.0,0.0,4.0,3.0,3.0,0.158,7.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,,1238:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,6.956721508838029,10,90,424
