conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,rank,rating,global_rank
arc,American Rivers Conference (ARC),2025-26,wvball,Wartburg,"Sash, Anna",0,,17,98,39,0.307,584.0,71.0,250.0,19.0,3.0,110.0,0.0,30.0,49.0,337.0,0.0,0.0,2.0,1.0,65.0,120.0,3.0,70.0,50.0,365.0,1.0,2.55,0.19,0.66,1.22,0.31,3.72,6.85796475388736,1,99,66
arc,American Rivers Conference (ARC),2025-26,wvball,Buena Vista,"Hernandez, Charley",0,,1,75,36,0.219,762.0,91.0,258.0,25.0,8.0,157.0,0.0,27.0,28.0,262.0,0.0,0.0,408.0,12.0,254.0,16.0,4.0,10.0,6.0,296.0,1.0,3.44,0.33,3.39,0.21,0.36,3.95,6.51341879213642,2,95,73
arc,American Rivers Conference (ARC),2025-26,wvball,Univ. of Dubuque,"Winkel, Delainey",0,,14,116,49,0.223,1276.0,124.0,409.0,17.0,5.0,134.0,0.0,38.0,26.0,422.0,0.0,0.0,647.0,22.0,352.0,23.0,3.0,20.0,3.0,460.0,2.0,3.53,0.15,3.03,0.2,0.33,3.97,6.219932790497209,3,94,96
arc,American Rivers Conference (ARC),2025-26,wvball,Loras,"Finch, Autumn",0,,9,100,26,0.266,563.0,90.0,240.0,7.0,0.0,55.0,0.0,53.0,48.0,430.0,0.0,0.0,16.0,2.0,90.0,76.0,3.0,49.0,27.0,344.5,7.0,2.4,0.07,0.9,0.76,0.53,3.45,5.951760828736144,4,92,139
arc,American Rivers Conference (ARC),2025-26,wvball,Nebraska Wesleyan,"Plucker, Macy",0,,11,89,59,0.146,910.0,164.0,297.0,9.0,2.0,86.0,0.0,30.0,31.0,294.0,0.0,0.0,461.0,35.0,205.0,23.0,3.0,18.0,5.0,341.0,0.0,3.34,0.1,2.3,0.26,0.34,3.83,5.667011228012054,5,91,159
arc,American Rivers Conference (ARC),2025-26,wvball,Simpson,"Mitchell, Peyton",0,,12,105,27,0.299,546.0,76.0,239.0,12.0,5.0,71.0,0.0,35.0,31.0,251.0,0.0,0.0,5.0,1.0,42.0,100.0,4.0,74.0,26.0,337.0,0.0,2.28,0.11,0.4,0.95,0.33,3.21,5.59349620090885,6,90,196
arc,American Rivers Conference (ARC),2025-26,wvball,Simpson,"DenBeste, Morgan",0,,11,107,39,0.212,552.0,57.0,174.0,606.0,17.0,1984.0,0.0,39.0,26.0,433.0,0.0,0.0,7.0,0.0,236.0,34.0,3.0,23.0,11.0,235.5,3.0,1.63,5.66,2.21,0.32,0.36,2.2,5.468126655761426,7,90,226
arc,American Rivers Conference (ARC),2025-26,wvball,Central,"Snow, Leslie",0,,17,109,51,0.165,1119.0,177.0,362.0,26.0,7.0,127.0,0.0,31.0,59.0,372.0,0.0,0.0,756.0,51.0,355.0,22.0,8.0,13.0,9.0,408.5,0.0,3.32,0.24,3.26,0.2,0.28,3.75,5.3092088521396175,8,89,222
arc,American Rivers Conference (ARC),2025-26,wvball,Simpson,"Schmidt, Jada",0,,8,107,39,0.209,823.0,116.0,288.0,27.0,4.0,107.0,0.0,22.0,33.0,183.0,0.0,0.0,343.0,23.0,175.0,58.0,4.0,45.0,13.0,345.5,1.0,2.69,0.25,1.64,0.54,0.21,3.23,4.906756535983895,9,88,314
arc,American Rivers Conference (ARC),2025-26,wvball,Coe,"Maahs, Maddy",0,,18,118,45,0.1,281.0,39.0,67.0,1153.0,28.0,3301.0,0.0,36.0,29.0,403.0,0.0,0.0,5.0,0.0,309.0,31.0,6.0,28.0,3.0,120.0,5.0,0.57,9.77,2.62,0.26,0.31,1.02,4.906341604941381,10,87,387
