conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,rank,rating,global_rank
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,Hadley Helenbrook,0,,3,106,33,0.207,1100.0,217.0,445.0,41.0,6.0,180.0,0.0,48.0,76.0,371.0,0.0,0.0,739.0,44.0,293.0,29.0,5.0,24.0,5.0,510.0,1.0,4.2,0.39,2.76,0.27,0.45,4.81,6.193589169644161,1,99,26
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Hutzler, Haley",0,,12,100,41,0.225,1076.0,106.0,348.0,24.0,4.0,149.0,0.0,41.0,31.0,379.0,0.0,0.0,647.0,73.0,363.0,24.0,3.0,21.0,3.0,402.5,0.0,3.48,0.24,3.63,0.24,0.41,4.03,5.68272706637846,2,95,50
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Sanders, Emma",0,,13,94,36,0.301,793.0,68.0,307.0,9.0,2.0,104.0,0.0,41.0,20.0,263.0,0.0,0.0,71.0,3.0,229.0,34.0,1.0,34.0,0.0,365.0,1.0,3.27,0.1,2.44,0.36,0.44,3.88,5.591280201925732,3,93,62
ccc,Conference of New England (CCC),2025-26,wvball,Western New England University,"Barber, Léa",0,,9,86,25,0.127,979.0,163.0,287.0,10.0,1.0,105.0,0.0,44.0,45.0,303.0,0.0,0.0,640.0,73.0,288.0,29.0,1.0,29.0,0.0,346.0,2.0,3.34,0.12,3.35,0.34,0.51,4.02,5.479795436643479,4,92,71
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,Dresback Ava grace,0,,12,106,33,0.154,1080.0,187.0,353.0,40.0,0.0,155.0,0.0,41.0,29.0,381.0,0.0,0.0,560.0,38.0,273.0,31.0,3.0,27.0,4.0,411.5,0.0,3.33,0.38,2.58,0.29,0.39,3.88,4.873150656665112,5,90,121
ccc,Conference of New England (CCC),2025-26,wvball,Endicott College,Hannah Maguire,0,,7,107,33,0.231,238.0,24.0,79.0,1056.0,32.0,2959.0,0.0,59.0,37.0,437.0,0.0,0.0,4.0,1.0,267.0,26.0,3.0,24.0,2.0,152.0,1.0,0.74,9.87,2.5,0.24,0.55,1.42,4.588074317718857,6,89,149
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Zimmerman, Annie",0,,22,103,40,0.19,990.0,107.0,295.0,23.0,2.0,136.0,0.0,43.0,17.0,354.0,0.0,0.0,539.0,36.0,324.0,24.0,3.0,23.0,1.0,350.5,0.0,2.86,0.22,3.15,0.23,0.42,3.4,4.518961724710204,7,89,173
ccc,Conference of New England (CCC),2025-26,wvball,University of Hartford,"Murphy, Jordan",0,,12,71,19,0.183,661.0,105.0,226.0,2.0,13.0,98.0,0.0,9.0,16.0,60.0,0.0,0.0,263.0,18.0,120.0,29.0,1.0,24.0,5.0,252.0,0.0,3.18,0.03,1.69,0.41,0.13,3.55,4.246372103983677,8,88,230
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"McLane, Kate",0,,1,82,29,0.232,766.0,102.0,280.0,1.0,4.0,35.0,0.0,1.0,0.0,6.0,0.0,0.0,230.0,39.0,80.0,27.0,1.0,25.0,2.0,295.5,0.0,3.41,0.01,0.98,0.33,0.01,3.6,4.023712989540866,9,87,273
ccc,Conference of New England (CCC),2025-26,wvball,University of New England,Ellijah Hanley,0,,23,83,23,0.166,841.0,119.0,259.0,12.0,3.0,66.0,0.0,15.0,12.0,171.0,0.0,0.0,312.0,25.0,165.0,22.0,3.0,22.0,0.0,285.0,0.0,3.12,0.14,1.99,0.27,0.18,3.43,3.9904622262023386,10,86,278
ccc,Conference of New England (CCC),2025-26,wvball,University of New England,Hannah Nowell,0,,12,83,26,0.17,699.0,100.0,219.0,5.0,0.0,54.0,0.0,17.0,27.0,196.0,0.0,0.0,248.0,31.0,180.0,41.0,4.0,37.0,4.0,258.5,1.0,2.64,0.06,2.17,0.49,0.2,3.11,3.741287487885769,11,86,355
ccc,Conference of New England (CCC),2025-26,wvball,Gordon College,"Schmitt, Annika",0,,1,105,41,0.144,209.0,13.0,43.0,899.0,19.0,2573.0,0.0,70.0,49.0,482.0,0.0,0.0,10.0,0.0,270.0,16.0,3.0,16.0,0.0,121.0,3.0,0.41,8.56,2.57,0.15,0.67,1.15,3.6814357676709233,12,85,335
ccc,Conference of New England (CCC),2025-26,wvball,Western New England University,"Henkel, Charlei",0,,15,93,27,0.174,748.0,88.0,218.0,14.0,4.0,121.0,0.0,45.0,31.0,346.0,0.0,0.0,478.0,29.0,290.0,17.0,3.0,14.0,3.0,273.0,0.0,2.34,0.15,3.12,0.18,0.48,2.94,3.642736742163265,13,84,380
ccc,Conference of New England (CCC),2025-26,wvball,University of Hartford,"Murphy, Jenna",0,,11,72,21,0.228,298.0,43.0,111.0,6.0,5.0,42.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,19.0,97.0,13.0,68.0,29.0,174.0,0.0,1.54,0.08,0.26,1.35,0.0,2.42,3.340846758480321,14,84,489
ccc,Conference of New England (CCC),2025-26,wvball,Roger Williams University,"Fish, Kaydence",0,,14,77,23,0.282,248.0,36.0,106.0,9.0,3.0,60.0,0.0,22.0,36.0,138.0,0.0,0.0,2.0,0.0,39.0,86.0,11.0,73.0,13.0,177.5,2.0,1.38,0.12,0.51,1.12,0.29,2.31,3.179677063299613,15,83,541
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Vaughn, Olivia",0,,18,81,32,0.031,65.0,7.0,9.0,722.0,11.0,1907.0,0.0,41.0,14.0,380.0,0.0,0.0,4.0,0.0,184.0,20.0,0.0,20.0,0.0,60.0,2.0,0.11,8.91,2.27,0.25,0.51,0.74,3.175554586706481,16,83,508
ccc,Conference of New England (CCC),2025-26,wvball,Suffolk University,"Cervenka, Grace",0,,5,93,29,0.268,407.0,55.0,164.0,6.0,3.0,47.0,0.0,32.0,27.0,180.0,0.0,0.0,2.0,2.0,66.0,62.0,11.0,50.0,12.0,233.0,1.0,1.76,0.06,0.71,0.67,0.34,2.51,2.9496121373549617,17,82,625
ccc,Conference of New England (CCC),2025-26,wvball,Roger Williams University,"Jackson, Kaylee",0,,12,97,29,0.142,746.0,120.0,226.0,29.0,15.0,218.0,0.0,22.0,17.0,336.0,0.0,0.0,454.0,20.0,303.0,19.0,4.0,16.0,3.0,259.0,3.0,2.33,0.3,3.12,0.2,0.23,2.67,2.840916499764508,18,81,665
ccc,Conference of New England (CCC),2025-26,wvball,Wentworth Institute of Technology,"Swanson, Mika",0,,21,37,13,0.258,128.0,22.0,55.0,5.0,1.0,21.0,0.0,20.0,16.0,106.0,0.0,0.0,4.0,0.0,32.0,17.0,0.0,16.0,1.0,84.0,0.0,1.49,0.14,0.86,0.46,0.54,2.27,2.8363880436217372,19,81,662
ccc,Conference of New England (CCC),2025-26,wvball,Roger Williams University,"Felix, Peyton",0,,8,96,24,0.203,587.0,68.0,187.0,12.0,6.0,85.0,0.0,1.0,12.0,59.0,0.0,0.0,46.0,3.0,98.0,81.0,5.0,77.0,4.0,230.5,2.0,1.95,0.13,1.02,0.84,0.01,2.4,2.723652746048194,20,80,704
