conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,rank,rating,global_rank
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wvball,Illinois Wesleyan,"French, Taylor",0,,6,108,36,0.247,1181.0,157.0,449.0,16.0,2.0,88.0,0.0,77.0,72.0,488.0,0.0,0.0,590.0,21.0,325.0,27.0,2.0,24.0,3.0,541.0,1.0,4.16,0.15,3.01,0.25,0.71,5.01,7.728071892692139,1,99,12
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wvball,Carthage,"Manojlovic, Kristina",0,,14,126,36,0.24,1315.0,167.0,482.0,20.0,8.0,145.0,0.0,28.0,63.0,374.0,0.0,0.0,581.0,44.0,286.0,53.0,0.0,45.0,8.0,540.5,0.0,3.83,0.16,2.27,0.42,0.22,4.29,5.678065985982905,2,95,90
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wvball,Carthage,"Dettwiler, Ava",0,,3,126,36,0.226,717.0,110.0,272.0,686.0,17.0,1811.0,0.0,40.0,38.0,420.0,0.0,0.0,13.0,3.0,304.0,65.0,2.0,59.0,6.0,347.5,2.0,2.16,5.44,2.41,0.52,0.32,2.76,5.569922743448443,3,93,97
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wvball,Illinois Wesleyan,"Bardouniotis, Alex",0,,17,108,36,0.199,873.0,153.0,327.0,16.0,3.0,81.0,0.0,51.0,50.0,424.0,0.0,0.0,663.0,39.0,334.0,29.0,0.0,25.0,4.0,394.5,0.0,3.03,0.15,3.09,0.27,0.47,3.65,5.093605379297086,4,92,160
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wvball,Carroll,"Rowse, Bronwyn",0,,12,97,30,0.158,945.0,181.0,330.0,4.0,7.0,113.0,0.0,15.0,18.0,293.0,0.0,0.0,339.0,24.0,233.0,42.0,2.0,41.0,1.0,366.5,1.0,3.4,0.04,2.4,0.43,0.15,3.78,4.86126444206125,5,91,178
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wvball,Wheaton,"Benford, Jordan",0,,3,104,30,0.205,924.0,134.0,323.0,26.0,4.0,149.0,0.0,29.0,32.0,331.0,0.0,0.0,569.0,54.0,318.0,28.0,1.0,24.0,4.0,368.0,0.0,3.11,0.25,3.06,0.27,0.28,3.54,4.777827211606872,6,90,198
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wvball,Millikin,"Higgins, Delaney",0,,17,107,27,0.144,975.0,174.0,314.0,10.0,4.0,105.0,0.0,41.0,51.0,342.0,0.0,0.0,588.0,52.0,287.0,36.0,7.0,30.0,6.0,376.0,1.0,2.93,0.09,2.68,0.34,0.38,3.51,4.566379461513385,7,89,259
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wvball,Millikin,"Carothers, Kyra",0,,8,107,30,0.286,440.0,58.0,184.0,16.0,2.0,53.0,0.0,40.0,55.0,373.0,0.0,0.0,13.0,1.0,81.0,112.0,3.0,89.0,23.0,291.5,0.0,1.72,0.15,0.76,1.05,0.37,2.72,4.2394742801498415,8,88,352
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wvball,North Central,"Moser, Danni",0,,26,89,25,0.139,749.0,146.0,250.0,4.0,3.0,62.0,0.0,29.0,17.0,286.0,0.0,0.0,516.0,51.0,186.0,26.0,3.0,21.0,5.0,294.5,1.0,2.81,0.04,2.09,0.29,0.33,3.31,4.206302333106735,9,87,324
cciw,College Conference of Illinois and Wisconsin (CCIW),2025-26,wvball,Elmhurst,"Belfield, Paige",0,,13,91,24,0.191,754.0,83.0,227.0,13.0,3.0,70.0,0.0,35.0,25.0,330.0,0.0,0.0,491.0,48.0,208.0,27.0,3.0,23.0,4.0,277.5,1.0,2.49,0.14,2.29,0.3,0.38,3.05,4.16200274091015,10,87,347
