conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,rank,rating,global_rank
lec,Little East Conference (LEC),2025-26,wvball,Western Connecticut,"Stoliker, Julia",0,,23,95,49,0.211,1048.0,138.0,359.0,47.0,3.0,176.0,0.0,46.0,34.0,416.0,0.0,0.0,432.0,22.0,307.0,28.0,0.0,18.0,10.0,424.0,1.0,3.78,0.49,3.23,0.29,0.48,4.46,6.263166612816632,1,99,23
lec,Little East Conference (LEC),2025-26,wvball,Plymouth State,"Koelb, Ella",0,,10,111,70,0.213,941.0,127.0,327.0,506.0,8.0,1238.0,0.0,43.0,22.0,403.0,0.0,0.0,106.0,14.0,250.0,38.0,2.0,34.0,4.0,391.0,3.0,2.95,4.56,2.25,0.34,0.39,3.52,5.926268918601811,2,94,32
lec,Little East Conference (LEC),2025-26,wvball,UMass Dartmouth,"Pate, Allison",0,,1,103,69,0.226,1022.0,121.0,352.0,18.0,6.0,123.0,0.0,25.0,19.0,320.0,0.0,0.0,677.0,33.0,400.0,32.0,1.0,25.0,7.0,396.5,0.0,3.42,0.17,3.88,0.31,0.24,3.85,5.155328212481484,3,92,92
lec,Little East Conference (LEC),2025-26,wvball,VTSU Castleton,"Rojas, Alondra",0,,12,95,61,0.153,411.0,63.0,126.0,655.0,63.0,1470.0,0.0,89.0,63.0,414.0,0.0,0.0,7.0,0.0,286.0,15.0,4.0,12.0,3.0,224.0,6.0,1.33,6.89,3.01,0.16,0.94,2.36,5.034365458606166,4,91,69
lec,Little East Conference (LEC),2025-26,wvball,UMass Dartmouth,"Seutter, Olivia",0,,14,103,69,0.316,908.0,81.0,368.0,4.0,1.0,43.0,0.0,1.0,2.0,16.0,0.0,0.0,2.0,1.0,66.0,47.0,3.0,41.0,6.0,395.5,0.0,3.57,0.04,0.64,0.46,0.01,3.84,4.750154970546783,5,89,152
lec,Little East Conference (LEC),2025-26,wvball,Plymouth State,"McKay, Sya",0,,27,115,71,0.293,668.0,90.0,286.0,11.0,3.0,45.0,0.0,39.0,46.0,308.0,0.0,0.0,14.0,2.0,75.0,103.0,6.0,51.0,52.0,402.5,0.0,2.49,0.1,0.65,0.9,0.34,3.5,4.694833187406304,6,88,150
lec,Little East Conference (LEC),2025-26,wvball,Western Connecticut,"Ferguson, Maggie",0,,22,95,49,0.244,213.0,18.0,70.0,908.0,20.0,2238.0,0.0,47.0,51.0,359.0,0.0,0.0,6.0,1.0,277.0,41.0,10.0,38.0,3.0,139.0,3.0,0.74,9.56,2.92,0.43,0.49,1.46,4.614140195524514,7,87,124
lec,Little East Conference (LEC),2025-26,wvball,Rhode Island College,"Marines, Sarina",0,,11,95,54,0.157,833.0,125.0,256.0,24.0,3.0,117.0,0.0,23.0,33.0,295.0,0.0,0.0,528.0,34.0,255.0,41.0,7.0,33.0,8.0,303.5,0.0,2.69,0.25,2.68,0.43,0.24,3.19,3.7842744718068055,8,86,309
lec,Little East Conference (LEC),2025-26,wvball,Southern Maine,"Koehler, Ella",0,,2,47,27,0.225,334.0,50.0,125.0,9.0,2.0,31.0,0.0,14.0,11.0,135.0,0.0,0.0,232.0,22.0,117.0,10.0,2.0,8.0,2.0,145.0,0.0,2.66,0.19,2.49,0.21,0.3,3.09,3.7559997928150355,9,85,295
lec,Little East Conference (LEC),2025-26,wvball,Eastern Connecticut,"Robinson, Emma",0,,5,82,43,0.179,621.0,105.0,216.0,23.0,4.0,66.0,0.0,30.0,15.0,246.0,0.0,0.0,271.0,35.0,195.0,18.0,0.0,17.0,1.0,255.5,0.0,2.63,0.28,2.38,0.22,0.37,3.12,3.617500745513242,10,85,328
lec,Little East Conference (LEC),2025-26,wvball,Rhode Island College,"Williams, Andrayah",0,,9,74,44,0.327,379.0,51.0,175.0,2.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,59.0,18.0,38.0,21.0,215.0,0.0,2.36,0.03,0.2,0.8,0.0,2.91,3.5361908610260953,11,84,455
lec,Little East Conference (LEC),2025-26,wvball,UMass Boston,"Alves, Kesmyn",0,,13,43,13,0.086,420.0,75.0,111.0,3.0,5.0,45.0,0.0,14.0,20.0,122.0,0.0,0.0,219.0,24.0,105.0,8.0,0.0,5.0,3.0,130.5,1.0,2.58,0.07,2.44,0.19,0.33,3.03,3.4045563416972153,12,83,401
