conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,rank,rating,global_rank
ncac,North Coast Athletic Conference (NCAC),2025-26,wvball,John Carroll,"Glowe, Natalie",0,,25,109,56,0.218,1031.0,116.0,341.0,63.0,11.0,286.0,0.0,45.0,49.0,396.0,0.0,0.0,721.0,53.0,332.0,41.0,2.0,34.0,7.0,410.0,0.0,3.13,0.58,3.05,0.38,0.41,3.76,5.534217157872994,1,99,94
ncac,North Coast Athletic Conference (NCAC),2025-26,wvball,Oberlin,"Geiger, Mara",0,,17,83,50,0.151,703.0,141.0,247.0,12.0,4.0,81.0,0.0,52.0,44.0,297.0,0.0,0.0,272.0,29.0,152.0,20.0,4.0,15.0,5.0,311.5,1.0,2.98,0.14,1.83,0.24,0.63,3.75,5.232767557437084,2,94,134
ncac,North Coast Athletic Conference (NCAC),2025-26,wvball,Wittenberg,"Worcester, Kaili",0,,23,101,36,0.196,920.0,117.0,297.0,26.0,12.0,150.0,0.0,36.0,51.0,352.0,0.0,0.0,463.0,39.0,244.0,33.0,1.0,30.0,3.0,351.0,0.0,2.94,0.26,2.42,0.33,0.36,3.48,4.585490911597197,3,92,218
ncac,North Coast Athletic Conference (NCAC),2025-26,wvball,Wittenberg,"Colahan, Kait",0,,16,75,10,0.337,478.0,65.0,226.0,1.0,5.0,44.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,52.0,49.0,0.0,40.0,9.0,255.0,0.0,3.01,0.01,0.69,0.65,0.0,3.4,4.28647532059902,4,91,243
ncac,North Coast Athletic Conference (NCAC),2025-26,wvball,Kenyon,"Rumpca-Veronese, Mariyah",0,,18,126,83,0.151,1234.0,178.0,364.0,31.0,8.0,93.0,0.0,55.0,51.0,200.0,0.0,0.0,369.0,65.0,293.0,23.0,2.0,12.0,11.0,436.0,1.0,2.89,0.25,2.33,0.18,0.44,3.46,4.15682641107712,5,89,327
ncac,North Coast Athletic Conference (NCAC),2025-26,wvball,Wittenberg,"Sulfridge, Mary",0,,3,106,42,0.183,263.0,18.0,66.0,994.0,39.0,2748.0,0.0,25.0,32.0,343.0,0.0,0.0,7.0,1.0,234.0,50.0,6.0,44.0,6.0,119.0,2.0,0.62,9.38,2.21,0.47,0.24,1.12,3.9629918977651646,6,88,308
ncac,North Coast Athletic Conference (NCAC),2025-26,wvball,Ohio Wesleyan,"Dieball, Natalie",0,,9,105,46,0.131,1011.0,150.0,282.0,23.0,9.0,143.0,0.0,38.0,51.0,365.0,0.0,0.0,641.0,52.0,238.0,29.0,2.0,28.0,1.0,335.0,0.0,2.69,0.22,2.27,0.28,0.36,3.19,3.782743940104015,7,87,425
ncac,North Coast Athletic Conference (NCAC),2025-26,wvball,DePauw,"Proeh, Jen",0,,12,100,52,0.326,427.0,43.0,182.0,7.0,1.0,39.0,0.0,14.0,20.0,231.0,0.0,0.0,5.0,0.0,53.0,114.0,7.0,86.0,28.0,267.0,4.0,1.82,0.07,0.53,1.14,0.14,2.67,3.7595902551533986,8,86,378
ncac,North Coast Athletic Conference (NCAC),2025-26,wvball,John Carroll,"Sheehan, Mary Kate",0,,15,99,43,0.245,669.0,79.0,243.0,17.0,7.0,92.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,48.0,87.0,3.0,69.0,18.0,295.5,2.0,2.45,0.17,0.48,0.88,0.0,2.98,3.753186617586395,9,86,370
ncac,North Coast Athletic Conference (NCAC),2025-26,wvball,Oberlin,"Peters, Brylie",0,,7,85,51,0.171,744.0,113.0,240.0,9.0,4.0,93.0,0.0,23.0,37.0,214.0,0.0,0.0,196.0,22.0,192.0,17.0,5.0,15.0,2.0,272.5,3.0,2.82,0.11,2.26,0.2,0.27,3.21,3.7486174332782847,10,85,422
ncac,North Coast Athletic Conference (NCAC),2025-26,wvball,DePauw,"Ozersky, Madeline",0,,20,100,38,0.205,753.0,100.0,254.0,4.0,4.0,62.0,0.0,1.0,2.0,10.0,0.0,0.0,15.0,0.0,68.0,74.0,4.0,68.0,6.0,295.0,0.0,2.54,0.04,0.68,0.74,0.01,2.95,3.4567780272117155,11,84,469
ncac,North Coast Athletic Conference (NCAC),2025-26,wvball,Denison,"Moore, Devon",0,,16,59,16,0.124,558.0,94.0,163.0,7.0,2.0,41.0,0.0,7.0,5.0,86.0,0.0,0.0,189.0,18.0,72.0,13.0,0.0,6.0,7.0,180.0,0.0,2.76,0.12,1.22,0.22,0.12,3.05,3.2461421482326935,12,83,575
ncac,North Coast Athletic Conference (NCAC),2025-26,wvball,Wittenberg,"O'Malley, Clare",0,,10,107,42,0.284,560.0,68.0,227.0,7.0,9.0,54.0,0.0,1.0,2.0,20.0,0.0,0.0,5.0,1.0,29.0,97.0,6.0,74.0,23.0,288.0,0.0,2.12,0.07,0.27,0.91,0.01,2.69,3.2117236113157825,13,83,553
