conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,rank,rating,global_rank
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Wesleyan,"Lindus, Sophia",0,,21,92,41,0.229,869.0,99.0,298.0,23.0,5.0,107.0,0.0,37.0,21.0,383.0,0.0,0.0,435.0,13.0,267.0,40.0,5.0,37.0,3.0,356.5,0.0,3.24,0.25,2.9,0.43,0.4,3.88,4.96501748857194,1,99,58
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Middlebury,Molly Harrison,0,,8,89,33,0.226,922.0,89.0,297.0,22.0,4.0,113.0,0.0,24.0,20.0,352.0,0.0,0.0,281.0,26.0,275.0,36.0,1.0,31.0,5.0,341.5,0.0,3.34,0.25,3.09,0.4,0.27,3.84,4.78314520911306,2,95,78
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Bowdoin,Zoe Ryu,0,,10,77,49,0.224,607.0,85.0,221.0,11.0,1.0,52.0,0.0,40.0,35.0,283.0,0.0,0.0,359.0,34.0,187.0,39.0,8.0,34.0,5.0,283.0,1.0,2.87,0.14,2.43,0.51,0.52,3.68,4.66736958222714,3,93,83
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Conn. College,"Wartelle, Rae",0,,15,85,48,0.262,649.0,92.0,262.0,3.0,2.0,41.0,0.0,39.0,58.0,262.0,0.0,0.0,9.0,2.0,46.0,64.0,6.0,52.0,12.0,339.0,0.0,3.08,0.04,0.54,0.75,0.46,3.99,4.608233931627411,4,92,72
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Colby,Brady Moseley,0,,14,112,46,0.205,981.0,162.0,363.0,11.0,4.0,55.0,0.0,24.0,33.0,388.0,0.0,0.0,763.0,42.0,325.0,38.0,6.0,37.0,1.0,406.5,3.0,3.24,0.1,2.9,0.34,0.21,3.63,3.5993288870913966,5,91,212
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Wesleyan,"Steines, Siena",0,,6,91,18,0.299,633.0,78.0,267.0,6.0,1.0,53.0,0.0,6.0,14.0,109.0,0.0,0.0,132.0,4.0,127.0,59.0,1.0,52.0,7.0,306.0,0.0,2.93,0.07,1.4,0.65,0.07,3.36,3.4924842600387156,6,90,229
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Trinity,"Gordon, Ellie",0,,23,79,51,0.22,704.0,112.0,267.0,7.0,4.0,53.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,0.0,51.0,38.0,13.0,31.0,7.0,289.5,0.0,3.38,0.09,0.65,0.48,0.0,3.66,3.4783524520346685,7,89,238
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Bowdoin,Skye Lamendola,0,,4,73,52,0.23,538.0,69.0,193.0,12.0,1.0,54.0,0.0,23.0,28.0,254.0,0.0,0.0,465.0,33.0,193.0,23.0,1.0,13.0,10.0,232.5,0.0,2.64,0.16,2.64,0.32,0.32,3.18,3.4739791360785666,8,88,266
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Wesleyan,"Chan, Mila",0,,18,70,32,0.251,454.0,62.0,176.0,6.0,0.0,38.0,0.0,23.0,21.0,158.0,0.0,0.0,294.0,14.0,156.0,30.0,1.0,27.0,3.0,215.5,1.0,2.51,0.09,2.23,0.43,0.33,3.08,3.4209745134830203,9,88,268
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Amherst,"Lau, Addison",0,,9,48,14,0.209,296.0,55.0,117.0,6.0,0.0,37.0,0.0,16.0,18.0,146.0,0.0,0.0,221.0,15.0,96.0,20.0,0.0,19.0,1.0,143.5,1.0,2.44,0.13,2.0,0.42,0.33,2.99,3.2888094943785835,10,87,300
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Hamilton,"Trefren, Ayzlinn",0,,20,63,53,0.154,480.0,69.0,143.0,19.0,2.0,97.0,0.0,23.0,9.0,220.0,0.0,0.0,395.0,15.0,195.0,16.0,1.0,13.0,3.0,175.5,1.0,2.27,0.3,3.1,0.25,0.37,2.79,3.12094243730992,11,86,391
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Bowdoin,Alison Smith,0,,5,76,35,0.333,471.0,57.0,214.0,2.0,1.0,19.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,36.0,45.0,3.0,32.0,13.0,243.0,1.0,2.82,0.03,0.47,0.59,0.0,3.2,3.008335324908364,12,86,362
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Bates,Ami Evans,0,,8,74,71,0.147,511.0,90.0,165.0,16.0,3.0,56.0,0.0,29.0,29.0,232.0,0.0,0.0,343.0,38.0,188.0,32.0,4.0,26.0,6.0,213.0,1.0,2.23,0.22,2.54,0.43,0.39,2.88,3.004517232166916,13,85,376
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Williams,"Lane, Kate",0,,13,62,41,0.191,409.0,53.0,131.0,7.0,2.0,41.0,0.0,28.0,15.0,199.0,0.0,0.0,449.0,46.0,159.0,17.0,1.0,14.0,3.0,169.0,0.0,2.11,0.11,2.56,0.27,0.45,2.73,2.9959316377870127,14,85,428
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Bates,Sofia Castiglioni,0,,2,75,67,0.332,386.0,33.0,161.0,5.0,1.0,25.0,0.0,17.0,19.0,249.0,0.0,0.0,8.0,1.0,52.0,55.0,5.0,39.0,16.0,213.5,1.0,2.15,0.07,0.69,0.73,0.23,2.85,2.89132444590873,15,84,384
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Colby,Cyanne Jones,0,,23,107,45,0.238,432.0,71.0,174.0,22.0,0.0,60.0,0.0,40.0,29.0,389.0,0.0,0.0,7.0,1.0,88.0,119.0,9.0,95.0,24.0,285.5,1.0,1.63,0.21,0.82,1.11,0.37,2.67,2.8800963462753453,16,84,302
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Amherst,"Rasmussen, Charlotte",0,,21,42,18,0.178,314.0,51.0,107.0,3.0,0.0,22.0,0.0,7.0,12.0,113.0,0.0,0.0,189.0,16.0,66.0,15.0,3.0,14.0,1.0,122.0,0.0,2.55,0.07,1.57,0.36,0.17,2.9,2.78838428495416,17,83,475
