conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,rank,rating,global_rank
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Mount Holyoke,"Rimando, Elle",0,,7,102,39,0.183,1041.0,224.0,414.0,17.0,6.0,112.0,0.0,53.0,84.0,325.0,0.0,0.0,160.0,19.0,185.0,26.0,1.0,21.0,5.0,482.5,1.0,4.06,0.17,1.81,0.25,0.52,4.73,5.366696730125456,1,99,43
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Zhou, Ella",0,,13,105,48,0.231,963.0,124.0,346.0,24.0,1.0,117.0,0.0,53.0,40.0,397.0,0.0,0.0,486.0,25.0,314.0,25.0,4.0,25.0,0.0,411.5,0.0,3.3,0.23,2.99,0.24,0.5,3.92,4.928063424350436,2,95,85
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Smith,"Etheridge, Mia",0,,16,75,40,0.258,592.0,84.0,237.0,9.0,5.0,84.0,0.0,32.0,34.0,295.0,0.0,0.0,402.0,23.0,165.0,28.0,2.0,23.0,5.0,285.5,4.0,3.16,0.12,2.2,0.37,0.43,3.81,4.782145438519014,3,93,93
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Emerson,"Hokenson, Chloe",0,,13,113,58,0.185,648.0,108.0,228.0,625.0,26.0,1981.0,0.0,51.0,52.0,408.0,0.0,0.0,12.0,4.0,224.0,51.0,7.0,37.0,14.0,311.5,5.0,2.02,5.53,1.98,0.45,0.45,2.76,4.579331675464716,4,92,104
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Mount Holyoke,"Barton, Madeline",0,,10,104,40,0.137,1223.0,232.0,400.0,13.0,3.0,106.0,0.0,37.0,57.0,348.0,0.0,0.0,526.0,60.0,229.0,19.0,3.0,16.0,3.0,448.0,2.0,3.85,0.13,2.2,0.18,0.36,4.31,4.498203738994298,5,91,122
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Wellesley,Else Kunze-Hoeg,0,,12,77,43,0.229,293.0,32.0,99.0,596.0,15.0,1716.0,0.0,33.0,59.0,295.0,0.0,0.0,6.0,1.0,203.0,37.0,3.0,33.0,4.0,152.5,0.0,1.29,7.74,2.64,0.48,0.43,1.98,4.450685288968525,6,90,115
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Sadati, Eileen",0,,23,103,37,0.283,831.0,120.0,355.0,8.0,5.0,52.0,0.0,31.0,27.0,337.0,0.0,0.0,7.0,1.0,87.0,30.0,15.0,27.0,3.0,402.5,0.0,3.45,0.08,0.84,0.29,0.3,3.91,4.208409208532877,7,89,151
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Springfield,"Colosimo, Tori",0,,10,99,50,0.273,194.0,18.0,71.0,875.0,24.0,2303.0,0.0,54.0,35.0,398.0,0.0,0.0,5.0,1.0,229.0,40.0,10.0,32.0,8.0,149.0,3.0,0.72,8.84,2.31,0.4,0.55,1.51,4.165794342599611,8,88,146
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Gibbs, Ali",0,,8,108,52,0.37,629.0,69.0,302.0,11.0,1.0,54.0,0.0,30.0,42.0,382.0,0.0,0.0,0.0,0.0,81.0,76.0,3.0,65.0,11.0,375.5,0.0,2.8,0.1,0.75,0.7,0.28,3.48,4.113501532906926,9,87,169
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"May, Kayleigh",0,,16,105,51,0.292,137.0,6.0,46.0,1167.0,11.0,2910.0,0.0,41.0,42.0,424.0,0.0,0.0,1.0,0.0,240.0,52.0,6.0,50.0,2.0,114.0,2.0,0.44,11.11,2.29,0.5,0.39,1.09,4.11145592202117,10,87,147
