conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,rank,rating,global_rank
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,NJCU,"Fitzpatrick, Kai",0,,1,97,50,0.212,1191.0,234.0,486.0,24.0,7.0,141.0,0.0,43.0,54.0,324.0,0.0,0.0,554.0,55.0,305.0,23.0,3.0,18.0,5.0,543.0,2.0,5.01,0.25,3.14,0.24,0.44,5.6,6.793602915391215,1,99,5
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Kean,"Morrison, Cayley Elena",0,,24,117,43,0.396,793.0,105.0,419.0,5.0,4.0,29.0,0.0,2.0,9.0,17.0,0.0,0.0,8.0,0.0,38.0,125.0,17.0,79.0,46.0,506.5,2.0,3.58,0.04,0.32,1.07,0.02,4.33,5.450614293239382,2,94,33
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Ramapo,"Akar, Asya",0,,17,96,55,0.215,893.0,150.0,342.0,13.0,5.0,102.0,0.0,59.0,65.0,371.0,0.0,0.0,506.0,71.0,234.0,19.0,3.0,11.0,8.0,414.5,0.0,3.56,0.14,2.44,0.2,0.61,4.32,4.922354478784732,3,92,52
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Stockton,Kate Louer,0,,9,103,56,0.285,912.0,126.0,386.0,28.0,5.0,139.0,0.0,26.0,12.0,306.0,0.0,0.0,476.0,22.0,200.0,37.0,2.0,32.0,5.0,433.0,0.0,3.75,0.27,1.94,0.36,0.25,4.2,4.8693970100246196,4,91,61
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,NJCU,"Pugay, Diane",0,,14,97,44,0.159,930.0,181.0,329.0,16.0,3.0,118.0,0.0,42.0,61.0,303.0,0.0,0.0,330.0,28.0,245.0,38.0,6.0,37.0,1.0,390.5,1.0,3.39,0.16,2.53,0.39,0.43,4.03,4.476767110278923,5,89,99
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Kean,"Torok, Ashley",0,,9,121,45,0.213,1106.0,220.0,456.0,24.0,5.0,103.0,0.0,52.0,89.0,381.0,0.0,0.0,626.0,82.0,254.0,32.0,4.0,30.0,2.0,525.0,1.0,3.77,0.2,2.1,0.26,0.43,4.34,4.373444470635863,6,88,113
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Stockton,Nicole Palmer,0,,7,80,38,0.232,585.0,111.0,247.0,50.0,3.0,140.0,0.0,27.0,22.0,178.0,0.0,0.0,303.0,20.0,137.0,35.0,5.0,31.0,4.0,293.5,0.0,3.09,0.63,1.71,0.44,0.34,3.67,4.295895843734075,7,87,116
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Montclair State,"Muuss, Camryn",0,,16,111,51,0.194,1064.0,168.0,374.0,27.0,7.0,108.0,0.0,33.0,37.0,282.0,0.0,0.0,500.0,40.0,247.0,39.0,1.0,37.0,2.0,427.5,1.0,3.37,0.24,2.23,0.35,0.3,3.85,4.104038717403731,8,86,143
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Montclair State,"Bautista, Bryn",0,,4,111,53,0.205,921.0,134.0,323.0,28.0,2.0,185.0,0.0,47.0,14.0,472.0,0.0,0.0,464.0,31.0,337.0,19.0,1.0,18.0,1.0,380.0,0.0,2.91,0.25,3.04,0.17,0.42,3.42,3.7254759651562406,9,86,208
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Rowan,"Smart, Jessica",0,,11,94,38,0.29,756.0,120.0,339.0,1.0,3.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,53.0,25.0,4.0,19.0,6.0,354.5,2.0,3.61,0.01,0.56,0.27,0.0,3.77,3.4025110196488852,10,85,267
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Montclair State,"Cornelius, Lucy",0,,3,110,53,0.246,224.0,12.0,67.0,1025.0,17.0,2779.0,0.0,54.0,34.0,427.0,0.0,0.0,8.0,1.0,260.0,38.0,13.0,34.0,4.0,142.0,6.0,0.61,9.32,2.36,0.35,0.49,1.29,3.3843883399820185,11,84,200
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Rowan,"Kaul, Jena",0,,15,84,40,0.183,690.0,103.0,229.0,5.0,5.0,49.0,0.0,39.0,42.0,227.0,0.0,0.0,119.0,16.0,107.0,24.0,5.0,20.0,4.0,282.0,0.0,2.73,0.06,1.27,0.29,0.46,3.36,3.3535798277345616,12,83,287
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,William Paterson,"Elliott, Riley",0,,12,103,44,0.162,856.0,160.0,299.0,8.0,3.0,60.0,0.0,53.0,33.0,352.0,0.0,0.0,194.0,19.0,142.0,18.0,5.0,16.0,2.0,362.0,1.0,2.9,0.08,1.38,0.17,0.51,3.51,3.326296559646708,13,82,288
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Ramapo,"Bishop, Katie",0,,10,92,51,0.241,187.0,18.0,63.0,790.0,25.0,2330.0,0.0,58.0,27.0,428.0,0.0,0.0,5.0,0.0,194.0,17.0,4.0,14.0,3.0,131.0,2.0,0.68,8.59,2.11,0.18,0.63,1.42,3.2474430065300575,14,82,227
